stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.2655995786190033,0.19786673784255981,0.5325462818145752,0.37154844403266907
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,topk_bce,mlp_selector,0.1,3686,0.2878459095954895,0.22593258321285248,0.5325462818145752,0.42424967885017395
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.28459033370018005,0.22943927347660065,0.5325462818145752,0.43083444237709045
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.27835050225257874,0.22008204460144043,0.5325462818145752,0.4132637083530426
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,energy_regression,mlp_selector,0.1,3686,0.28893110156059265,0.22077739238739014,0.5325462818145752,0.4145694077014923
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.26424309611320496,0.1264503449201584,0.2316221296787262,0.5459337830543518
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.3868692219257355,0.15367470681667328,0.2316221296787262,0.6634715795516968
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.3865979313850403,0.15401968359947205,0.2316221296787262,0.6649609804153442
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.38442757725715637,0.15312936902046204,0.2316221296787262,0.6611171960830688
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.3790016174316406,0.152110293507576,0.2316221296787262,0.6567174196243286
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.5181769132614136,0.6011047959327698,0.961725652217865,0.6250272989273071
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,topk_bce,mlp_selector,0.1,3686,0.530113935470581,0.6177836656570435,0.961725652217865,0.6423699855804443
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.526044487953186,0.6001120209693909,0.961725652217865,0.6239950060844421
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.4978296160697937,0.5899840593338013,0.961725652217865,0.6134639978408813
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,energy_regression,mlp_selector,0.1,3686,0.5672816038131714,0.6436026692390442,0.961725652217865,0.669216513633728
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3030385375022888,0.12428373843431473,0.15973824262619019,0.7780462503433228
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.3665219843387604,0.12861551344394684,0.15973824262619019,0.8051642179489136
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.36272382736206055,0.12794673442840576,0.15973824262619019,0.8009774684906006
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.34943026304244995,0.1269906908273697,0.15973824262619019,0.7949923872947693
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.3969072103500366,0.13252831995487213,0.15973824262619019,0.8296592831611633
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.24199675023555756,0.24203234910964966,0.7609845399856567,0.31805160641670227
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,topk_bce,mlp_selector,0.1,3686,0.3442756235599518,0.33006975054740906,0.7609845399856567,0.43374040722846985
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.3418339788913727,0.33012494444847107,0.7609845399856567,0.4338129460811615
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.3459034264087677,0.3311328887939453,0.7609845399856567,0.43513748049736023
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,energy_regression,mlp_selector,0.1,3686,0.34237655997276306,0.3153840899467468,0.7609845399856567,0.41444218158721924
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.13455955684185028,0.297005832195282,0.4530535936355591
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.43678784370422363,0.19009670615196228,0.297005832195282,0.6400436758995056
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.4262072741985321,0.187574565410614,0.297005832195282,0.6315518021583557
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.437330424785614,0.1901382952928543,0.297005832195282,0.640183687210083
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.4218665063381195,0.18534806370735168,0.297005832195282,0.6240553259849548
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.1918068379163742,0.15955351293087006,0.5060114860534668,0.31531599164009094
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,topk_bce,mlp_selector,0.1,3686,0.20862723886966705,0.1885807365179062,0.5060114860534668,0.37268075346946716
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.19370591640472412,0.18126559257507324,0.5060114860534668,0.3582242727279663
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.20944112539291382,0.19122964143753052,0.5060114860534668,0.377915620803833
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,energy_regression,mlp_selector,0.1,3686,0.2140531688928604,0.1849460005760193,0.5060114860534668,0.3654976189136505
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.17091698944568634,0.1086612194776535,0.19262994825839996,0.5640930533409119
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.36245253682136536,0.13611143827438354,0.19262994825839996,0.7065954208374023
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.3499728739261627,0.1347469836473465,0.19262994825839996,0.6995121240615845
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.3545849025249481,0.1349436342716217,0.19262994825839996,0.7005329728126526
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.3103635311126709,0.1330478936433792,0.19262994825839996,0.6906916499137878
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34074878692626953,0.3137834072113037,0.650629997253418,0.4822762608528137
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,topk_bce,mlp_selector,0.1,3686,0.3922951817512512,0.3651553690433502,0.650629997253418,0.5612335205078125
