objective,candidate,base_method,reference_gap,task_count,mean_precision_at_keep,mean_energy_recall_total,mean_oracle_energy_recall_total,mean_relative_energy_recall_vs_oracle
endpoint_diff_baseline,endpoint_diff_baseline,linear,4,23,0.3100568529056466,0.2578457370400429,0.6033855663693469,0.4116023273571678
endpoint_diff_baseline,endpoint_diff_baseline,linear,8,19,0.3119484817511157,0.27749040722846985,0.6419753777353387,0.4117828874211562
endpoint_diff_baseline,endpoint_diff_baseline,linear,16,18,0.20097063968165052,0.2058291733264923,0.5684697247213788,0.3390035058061282
endpoint_diff_baseline,endpoint_diff_baseline,stage65_adapter,4,23,0.29103069072184357,0.13412074485550757,0.23996665620285532,0.5757957541424296
endpoint_diff_baseline,endpoint_diff_baseline,stage65_adapter,8,19,0.27700831074463694,0.13563174087750285,0.2529745478379099,0.5572832179696936
endpoint_diff_baseline,endpoint_diff_baseline,stage65_adapter,16,18,0.1901941259081165,0.11971673224535254,0.2512796148657799,0.49458976917796665
energy_regression,mlp_selector,linear,4,23,0.34324942593989166,0.29329851334509643,0.6033855663693469,0.4703915430151898
energy_regression,mlp_selector,linear,8,19,0.36375188905941813,0.32311024320752996,0.6419753777353387,0.4835715215457113
energy_regression,mlp_selector,linear,16,18,0.25655633754407364,0.24967463687062263,0.5684697247213788,0.41073499123255414
energy_regression,mlp_selector,stage65_adapter,4,23,0.4006463911222375,0.16134036170399707,0.23996665620285532,0.6860240153644396
energy_regression,mlp_selector,stage65_adapter,8,19,0.4136705014266466,0.16985669026249334,0.2529745478379099,0.6861344497454794
energy_regression,mlp_selector,stage65_adapter,16,18,0.3373726398373644,0.15512513783242968,0.2512796148657799,0.6353713091876771
energy_weighted_bce,mlp_selector,linear,4,23,0.3188091237907824,0.2885887052701867,0.6033855663693469,0.46524449146312213
energy_weighted_bce,mlp_selector,linear,8,19,0.3419053585905778,0.3209652586987144,0.6419753777353387,0.4818989258063467
energy_weighted_bce,mlp_selector,linear,16,18,0.25996261752314037,0.25016656435198253,0.5684697247213788,0.4168338187866741
energy_weighted_bce,mlp_selector,stage65_adapter,4,23,0.41018896128820337,0.16173726385054382,0.23996665620285532,0.687266715194868
energy_weighted_bce,mlp_selector,stage65_adapter,8,19,0.4208384501306634,0.17072841211369164,0.2529745478379099,0.6882316815225702
energy_weighted_bce,mlp_selector,stage65_adapter,16,18,0.33386085658437675,0.1538311466574669,0.2512796148657799,0.6284276379479302
hybrid_bce_energy,mlp_selector,linear,4,23,0.3249309969984967,0.289534467069999,0.6033855663693469,0.46574960972951807
hybrid_bce_energy,mlp_selector,linear,8,19,0.3432047249455201,0.31723618507385254,0.6419753777353387,0.47638117169079025
hybrid_bce_energy,mlp_selector,linear,16,18,0.2555465114613374,0.24857766181230545,0.5684697247213788,0.41251300937599605
hybrid_bce_energy,mlp_selector,stage65_adapter,4,23,0.4113685132368751,0.16183031188405078,0.23996665620285532,0.6875418165455693
hybrid_bce_energy,mlp_selector,stage65_adapter,8,19,0.41855384409427643,0.17024512981113635,0.2529745478379099,0.6861143833712527
hybrid_bce_energy,mlp_selector,stage65_adapter,16,18,0.3347953226831224,0.15376078751352099,0.2512796148657799,0.6281004796425501
topk_bce,mlp_selector,linear,4,23,0.32920097268146015,0.29305959849253943,0.6033855663693469,0.4703672748544942
topk_bce,mlp_selector,linear,8,19,0.35064397046440526,0.32177531876062093,0.6419753777353387,0.4822907981119658
topk_bce,mlp_selector,linear,16,18,0.2579128210329347,0.2517792292767101,0.5684697247213788,0.41649167074097526
topk_bce,mlp_selector,stage65_adapter,4,23,0.4132322079461554,0.16204810336880063,0.23996665620285532,0.6889743960422018
topk_bce,mlp_selector,stage65_adapter,8,19,0.42220921579160187,0.17060783230944684,0.2529745478379099,0.6881267146060341
topk_bce,mlp_selector,stage65_adapter,16,18,0.33598601383467513,0.1541641718811459,0.2512796148657799,0.6302359286281798
