model_name,feature_mode,objective,step,loss,batch_positive_rate,batch_energy_target_mean
stage100_base__topk_bce,stage100_base,topk_bce,1,1.2412071228027344,0.1002197265625,0.21811074018478394
stage100_base__topk_bce,stage100_base,topk_bce,50,1.0377181768417358,0.10107421875,0.21671077609062195
stage100_base__topk_bce,stage100_base,topk_bce,100,0.9902309775352478,0.0941162109375,0.21348252892494202
stage100_base__topk_bce,stage100_base,topk_bce,150,0.9778854846954346,0.09423828125,0.21146181225776672
stage100_base__topk_bce,stage100_base,topk_bce,200,1.0176211595535278,0.1024169921875,0.2186902016401291
stage100_base__topk_bce,stage100_base,topk_bce,250,0.984017014503479,0.09814453125,0.21505917608737946
stage100_base__topk_bce,stage100_base,topk_bce,300,1.0424513816833496,0.107421875,0.22032633423805237
stage100_base__energy_regression,stage100_base,energy_regression,1,0.11724250018596649,0.101806640625,0.21502143144607544
stage100_base__energy_regression,stage100_base,energy_regression,50,0.022737253457307816,0.0972900390625,0.21325910091400146
stage100_base__energy_regression,stage100_base,energy_regression,100,0.020055852830410004,0.0986328125,0.21732336282730103
stage100_base__energy_regression,stage100_base,energy_regression,150,0.019298695027828217,0.1024169921875,0.2149696946144104
stage100_base__energy_regression,stage100_base,energy_regression,200,0.02045874297618866,0.1026611328125,0.2157265841960907
stage100_base__energy_regression,stage100_base,energy_regression,250,0.018676968291401863,0.09814453125,0.21897554397583008
stage100_base__energy_regression,stage100_base,energy_regression,300,0.01932331919670105,0.104736328125,0.21575382351875305
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,1,1.267649531364441,0.10009765625,0.21698573231697083
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,50,1.045345425605774,0.10400390625,0.2174304574728012
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,100,1.0278584957122803,0.100830078125,0.21666142344474792
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,150,0.9835597276687622,0.103759765625,0.21831727027893066
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,200,0.9687408208847046,0.0999755859375,0.21628627181053162
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,250,0.9857279062271118,0.100830078125,0.21761229634284973
gap_endpoint_norms__topk_bce,gap_endpoint_norms,topk_bce,300,0.9866276383399963,0.1031494140625,0.21938493847846985
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,1,0.11769089102745056,0.097900390625,0.21333223581314087
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,50,0.022942520678043365,0.101318359375,0.21511214971542358
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,100,0.020100336521863937,0.09912109375,0.21683351695537567
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,150,0.019270122051239014,0.1033935546875,0.2168666571378708
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,200,0.019084179773926735,0.103759765625,0.2160801738500595
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,250,0.018187005072832108,0.09375,0.2134818136692047
gap_endpoint_norms__energy_regression,gap_endpoint_norms,energy_regression,300,0.019630076363682747,0.1029052734375,0.21596184372901917
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,1,1.2026869058609009,0.0936279296875,0.21425072848796844
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,50,1.0398743152618408,0.0986328125,0.2164621204137802
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,100,0.9881943464279175,0.099365234375,0.21519455313682556
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,150,0.9798328876495361,0.0963134765625,0.21516914665699005
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,200,0.991641640663147,0.1019287109375,0.21597912907600403
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,250,0.983756959438324,0.1041259765625,0.21725769340991974
gap_endpoint_rank__topk_bce,gap_endpoint_rank,topk_bce,300,0.9569494724273682,0.1025390625,0.21680544316768646
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,1,0.12216515839099884,0.1011962890625,0.2151409089565277
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,50,0.022847017273306847,0.10009765625,0.2156093418598175
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,100,0.020307812839746475,0.1015625,0.21479982137680054
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,150,0.018390562385320663,0.0965576171875,0.21519461274147034
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,200,0.020842857658863068,0.108154296875,0.22054694592952728
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,250,0.02035539783537388,0.1092529296875,0.22024494409561157
gap_endpoint_rank__energy_regression,gap_endpoint_rank,energy_regression,300,0.01795574091374874,0.0987548828125,0.21570271253585815
