stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,selector_scope,group_key,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.2655995786190033,0.19786673784255981,0.5325462818145752,0.37154844403266907
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.28269127011299133,0.22370198369026184,0.5325462818145752,0.4200611114501953
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.281334787607193,0.217212975025177,0.5325462818145752,0.40787625312805176
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.2791644036769867,0.2189454436302185,0.5325462818145752,0.4111294150352478
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.28486162424087524,0.21602989733219147,0.5325462818145752,0.4056546986103058
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.26424309611320496,0.1264503449201584,0.2316221296787262,0.5459337830543518
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.38551273941993713,0.15351657569408417,0.2316221296787262,0.6627888679504395
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.3665219843387604,0.14995044469833374,0.2316221296787262,0.6473925709724426
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.3833423852920532,0.15343739092350006,0.2316221296787262,0.6624470353126526
stage97_00011828,stage79_00023867,eval,cows,q12,4,70,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.3686923384666443,0.15031352639198303,0.2316221296787262,0.6489601135253906
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,endpoint_only,linear__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.5181769132614136,0.6011047959327698,0.961725652217865,0.6250272989273071
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.5303852558135986,0.619480311870575,0.961725652217865,0.6441341042518616
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.5729788541793823,0.6455391645431519,0.961725652217865,0.6712300777435303
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,group_specific,linear__gap16,topk_bce,mlp_selector,0.1,3686,0.5037981271743774,0.5677379965782166,0.961725652217865,0.590332567691803
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,linear,group_specific,linear__gap16,energy_regression,mlp_selector,0.1,3686,0.5884427428245544,0.6333719491958618,0.961725652217865,0.658578634262085
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,endpoint_only,stage65_adapter__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3030385375022888,0.12428373843431473,0.15973824262619019,0.7780462503433228
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.3684210479259491,0.12885519862174988,0.15973824262619019,0.8066647052764893
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.40341833233833313,0.1330423504114151,0.15973824262619019,0.8328772783279419
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,group_specific,stage65_adapter__gap16,topk_bce,mlp_selector,0.1,3686,0.3505154550075531,0.12701933085918427,0.15973824262619019,0.7951716780662537
stage97_00013647,stage79_00027310,eval,judo,q12,16,15,stage65_adapter,group_specific,stage65_adapter__gap16,energy_regression,mlp_selector,0.1,3686,0.39148128032684326,0.13120447099208832,0.15973824262619019,0.8213716745376587
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,endpoint_only,linear__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.24199675023555756,0.24203234910964966,0.7609845399856567,0.31805160641670227
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.3366793394088745,0.32225510478019714,0.7609845399856567,0.4234713017940521
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.3391209840774536,0.311791330575943,0.7609845399856567,0.4097209870815277
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,group_specific,linear__gap8,topk_bce,mlp_selector,0.1,3686,0.35594138503074646,0.3331708610057831,0.7609845399856567,0.4378155469894409
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,group_specific,linear__gap8,energy_regression,mlp_selector,0.1,3686,0.3418339788913727,0.3133518397808075,0.7609845399856567,0.41177162528038025
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,endpoint_only,stage65_adapter__gap8,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.13455955684185028,0.297005832195282,0.4530535936355591
