stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,candidate,endpoint_energy_recall,candidate_energy_recall,energy_recall_delta,endpoint_precision,candidate_precision,precision_delta,endpoint_sideinfo_psnr,candidate_sideinfo_psnr,sideinfo_psnr_delta,endpoint_delta_psnr_vs_base,candidate_delta_psnr_vs_base,delta_psnr_vs_base_delta,endpoint_gap_to_teacher,candidate_gap_to_teacher,gap_to_teacher_delta,teacher_oracle_sideinfo_psnr,energy_up,psnr_up,energy_up_psnr_down
stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_energy_regression,0.24836888909339905,0.3018933832645416,0.05352449417114258,0.3038524091243744,0.3638090193271637,0.05995661020278931,21.675241242801746,21.710193714074876,0.034952471273129504,0.9712409487968188,1.0061934200699483,0.034952471273129504,-1.4782651883636753,-1.4433127170905458,0.034952471273129504,23.15350643116542,1,1,0
stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_topk_bce,0.24836888909339905,0.29927366971969604,0.050904780626297,0.3038524091243744,0.34915897250175476,0.04530656337738037,21.675241242801746,21.614784812178392,-0.06045643062335415,0.9712409487968188,0.9107845181734646,-0.06045643062335415,-1.4782651883636753,-1.5387216189870294,-0.06045643062335415,23.15350643116542,1,0,1
stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,shared_energy_regression,0.15305206179618835,0.1863769292831421,0.033324867486953735,0.3279978334903717,0.46527400612831116,0.13727617263793945,22.418544240642852,22.318804379244,-0.09973986139885227,0.8521661775203668,0.7524263161215146,-0.09973986139885227,-1.177348823261255,-1.2770886846601073,-0.09973986139885227,23.595893063904107,1,0,1
stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,shared_topk_bce,0.15305206179618835,0.18580153584480286,0.0327494740486145,0.3279978334903717,0.4750407040119171,0.1470428705215454,22.418544240642852,22.310147947406172,-0.10839629323668021,0.8521661775203668,0.7437698842836866,-0.10839629323668021,-1.177348823261255,-1.2857451164979352,-0.10839629323668021,23.595893063904107,1,0,1
stage97_00010766,stage79_00021616,blackswan,8,4,linear,shared_energy_regression,0.20487427711486816,0.2422427535057068,0.03736847639083862,0.2566467821598053,0.31768855452537537,0.06104177236557007,20.25584712668865,20.141572293609123,-0.11427483307952713,1.1950209020008984,1.0807460689213713,-0.11427483307952713,-1.1531396367433189,-1.267414469822846,-0.11427483307952713,21.40898676343197,1,0,1
stage97_00010766,stage79_00021616,blackswan,8,4,linear,shared_topk_bce,0.20487427711486816,0.24919657409191132,0.04432229697704315,0.2566467821598053,0.3193163275718689,0.0626695454120636,20.25584712668865,20.078860290519632,-0.1769868361690179,1.1950209020008984,1.0180340658318805,-0.1769868361690179,-1.1531396367433189,-1.3301264729123368,-0.1769868361690179,21.40898676343197,1,0,1
stage97_00010766,stage79_00021616,blackswan,8,4,stage65_adapter,shared_energy_regression,0.14500783383846283,0.17219679057598114,0.02718895673751831,0.3307107985019684,0.4443841576576233,0.11367335915565491,20.77946617602081,20.49472031815585,-0.2847458578649622,1.0385379555679322,0.75379209770297,-0.2847458578649622,-1.1202450386670222,-1.4049908965319844,-0.2847458578649622,21.899711214687834,1,0,1
stage97_00010766,stage79_00021616,blackswan,8,4,stage65_adapter,shared_topk_bce,0.14500783383846283,0.17510637640953064,0.03009854257106781,0.3307107985019684,0.4666304886341095,0.1359196901321411,20.77946617602081,20.53660887557239,-0.2428573004484207,1.0385379555679322,0.7956806551195115,-0.2428573004484207,-1.1202450386670222,-1.3631023391154429,-0.2428573004484207,21.899711214687834,1,0,1
stage97_00010830,stage79_00021680,blackswan,16,27,linear,shared_energy_regression,0.2051551640033722,0.2505597472190857,0.0454045832157135,0.24959304928779602,0.3130764961242676,0.06348344683647156,19.320198207146056,19.400427205560767,0.08022899841471087,0.9470613140888986,1.0272903125036095,0.08022899841471087,-1.3687786409811977,-1.2885496425664869,0.08022899841471087,20.688976848127254,1,1,0
stage97_00010830,stage79_00021680,blackswan,16,27,linear,shared_topk_bce,0.2051551640033722,0.2579070031642914,0.05275183916091919,0.24959304928779602,0.3214867115020752,0.07189366221427917,19.320198207146056,19.37951473303221,0.059316525886153215,0.9470613140888986,1.0063778399750518,0.059316525886153215,-1.3687786409811977,-1.3094621150950445,0.059316525886153215,20.688976848127254,1,1,0
stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_energy_regression,0.14526905119419098,0.17757652699947357,0.03230747580528259,0.2948996126651764,0.44926750659942627,0.15436789393424988,19.76103064186287,19.763898863623997,0.0028682217611262217,0.8815050178893529,0.8843732396504791,0.0028682217611262217,-1.3972323606325254,-1.3943641388713992,0.0028682217611262217,21.158263002495396,1,1,0
stage97_00010830,stage79_00021680,blackswan,16,27,stage65_adapter,shared_topk_bce,0.14526905119419098,0.17883242666721344,0.03356337547302246,0.2948996126651764,0.4636462330818176,0.16874662041664124,19.76103064186287,19.721610307506065,-0.03942033435680514,0.8815050178893529,0.8420846835325477,-0.03942033435680514,-1.3972323606325254,-1.4366526949893306,-0.03942033435680514,21.158263002495396,1,0,1
stage97_00010864,stage79_00021916,bmx-trees,4,19,linear,shared_energy_regression,0.17352792620658875,0.20924250781536102,0.03571458160877228,0.2189365178346634,0.27346718311309814,0.05453066527843475,18.22583122272644,18.413440941383016,0.1876097186565744,0.9468056917993941,1.1344154104559685,0.1876097186565744,-1.683302130912768,-1.4956924122561936,0.1876097186565744,19.90913335363921,1,1,0
