candidate,base_method,reference_gap,task_count,mean_energy_recall_delta,mean_precision_delta,mean_sideinfo_psnr_delta,mean_delta_psnr_vs_base_delta,mean_gap_to_teacher_delta,energy_up_count,psnr_up_count,both_up_count,energy_up_psnr_down_count,energy_down_psnr_up_count,mean_psnr_delta_when_energy_up,corr_energy_delta_psnr_delta
shared_energy_regression,linear,4,23,0.03452943816133167,0.0312816999528719,0.026827877460275387,0.026827877460275387,0.026827877460275387,22,15,15,7,0,0.03928564714033491,0.24394404220006974
shared_energy_regression,linear,8,19,0.045587826716272456,0.0530028276537594,0.03086322039306108,0.03086322039306108,0.03086322039306108,19,10,10,9,0,0.03086322039306108,0.3631481188513308
shared_energy_regression,linear,16,18,0.043746052516831294,0.05466630697871248,0.13353966957143293,0.13353966957143293,0.13353966957143293,17,14,14,3,0,0.1454773902102721,0.6456802836474845
shared_energy_regression,stage65_adapter,4,23,0.02671546327031177,0.10978083701237389,-0.15380783202852794,-0.15380783202852794,-0.15380783202852794,22,7,7,15,0,-0.14490968872071666,0.6192052211416481
shared_energy_regression,stage65_adapter,8,19,0.03388543348563345,0.1362481054506804,-0.19199111803343827,-0.19199111803343827,-0.19199111803343827,18,7,7,11,0,-0.1867463341212644,0.3184123356771083
shared_energy_regression,stage65_adapter,16,18,0.03499703254136774,0.14535479723579353,-0.016197329840340835,-0.016197329840340835,-0.016197329840340835,18,8,8,10,0,-0.016197329840340835,0.483226032535633
shared_topk_bce,linear,4,23,0.0336741439026335,0.017728655882503674,-0.08991556072924042,-0.08991556072924042,-0.08991556072924042,20,10,10,10,0,-0.05165065594146343,0.38927610301670823
shared_topk_bce,linear,8,19,0.04330471942299291,0.038995348701351566,-0.10740330389783524,-0.10740330389783524,-0.10740330389783524,17,7,7,10,0,-0.07201759935022815,0.2988772116489903
shared_topk_bce,linear,16,18,0.04484673134154744,0.05447036990274986,0.03729370398841593,0.03729370398841593,0.03729370398841593,17,11,10,7,1,0.0389366172077627,0.24443686390755395
shared_topk_bce,stage65_adapter,4,23,0.02759676394255265,0.12147019026072128,-0.18816386153627007,-0.18816386153627007,-0.18816386153627007,22,6,6,16,0,-0.18076658477604574,0.5194473422733707
shared_topk_bce,stage65_adapter,8,19,0.03471723159677104,0.14508667117670962,-0.19973996309924674,-0.19973996309924674,-0.19973996309924674,18,5,5,13,0,-0.1904246366091309,0.21836590422597538
shared_topk_bce,stage65_adapter,16,18,0.033893570510877505,0.1424157533587681,-0.032410577247806396,-0.032410577247806396,-0.032410577247806396,18,8,8,10,0,-0.032410577247806396,0.34862299170332045
