policy,base_method,reference_gap,task_count,mean_base_psnr,mean_endpoint_sideinfo_psnr,mean_selected_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,selected_candidate_counts
always_shared_energy_regression,linear,4,23,19.649148363504246,20.95034838676544,20.977176264225726,22.564021045406168,0.026827877460275387,1.3280279007214773,-1.586844781180443,0.3413385528585185,0.29237517520137457,0.46866350588591205,shared_energy_regression:23
always_shared_energy_regression,linear,8,19,19.410525223673428,20.89109224010793,20.921955460500982,22.82820550161263,0.03086322039306108,1.511430236827558,-1.906250041111643,0.3649513094048751,0.3230782339447423,0.4839692037356527,shared_energy_regression:19
always_shared_energy_regression,linear,16,18,17.57321045419308,18.688359710095106,18.82189937966654,20.772060171450324,0.13353966957143293,1.2486889254734588,-1.9501607917837827,0.255636946660363,0.2495752258433236,0.41003381212552387,shared_energy_regression:18
always_shared_energy_regression,stage65_adapter,4,23,19.96518425303781,21.16056131878281,21.00675348675428,22.478052503501885,-0.15380783202852794,1.0415692337164726,-1.4712990167476079,0.4008115277342174,0.16083620812581934,0.683561042599056,shared_energy_regression:23
always_shared_energy_regression,stage65_adapter,8,19,19.637830581144453,20.970137491901387,20.778146373867948,22.491323232804557,-0.19199111803343827,1.1403157927234944,-1.7131768589366094,0.41325641619531733,0.1695171743631363,0.6841765124546854,shared_energy_regression:19
always_shared_energy_regression,stage65_adapter,16,18,17.71892104032865,18.761820128976645,18.7456227991363,20.571596638113725,-0.016197329840340835,1.0267017588076504,-1.8259738389774267,0.33554892314391005,0.15471376478672028,0.6332139886087842,shared_energy_regression:18
always_shared_topk_bce,linear,4,23,19.649148363504246,20.95034838676544,20.860432826036206,22.564021045406168,-0.08991556072924042,1.2112844625319614,-1.7035882193699587,0.32778550878815027,0.2915198809426764,0.46782151901203656,shared_topk_bce:23
always_shared_topk_bce,linear,8,19,19.410525223673428,20.89109224010793,20.783688936210087,22.82820550161263,-0.10740330389783524,1.3731637125366618,-2.04451656540254,0.35094383045246724,0.32079512665146276,0.4809588648770985,shared_topk_bce:19
always_shared_topk_bce,linear,16,18,17.57321045419308,18.688359710095106,18.725653414083524,20.772060171450324,0.03729370398841593,1.1524429598904418,-2.0464067573667992,0.2554410095844004,0.25067590466803974,0.4148368760943413,shared_topk_bce:18
always_shared_topk_bce,stage65_adapter,4,23,19.96518425303781,21.16056131878281,20.97239745724654,22.478052503501885,-0.18816386153627007,1.0072132042087305,-1.5056550462553502,0.4125008809825648,0.1617175087980602,0.6878124009007993,shared_topk_bce:23
always_shared_topk_bce,stage65_adapter,8,19,19.637830581144453,20.970137491901387,20.770397528802146,22.491323232804557,-0.19973996309924674,1.1325669476576856,-1.720925704002418,0.4220949819213466,0.17034897247427389,0.6874244464071173,shared_topk_bce:19
always_shared_topk_bce,stage65_adapter,16,18,17.71892104032865,18.761820128976645,18.729409551728835,20.571596638113725,-0.032410577247806396,1.0104885114001847,-1.8421870863848921,0.33260987926688457,0.15361030275623003,0.6280805104308658,shared_topk_bce:18
endpoint_only,linear,4,23,19.649148363504246,20.95034838676544,20.95034838676544,22.564021045406168,0.0,1.3012000232612018,-1.6136726586407186,0.3100568529056466,0.2578457370400429,0.4116023273571678,endpoint_diff_baseline:23
endpoint_only,linear,8,19,19.410525223673428,20.89109224010793,20.89109224010793,22.82820550161263,0.0,1.480567016434497,-1.9371132615047044,0.3119484817511157,0.27749040722846985,0.4117828874211562,endpoint_diff_baseline:19
endpoint_only,linear,16,18,17.57321045419308,18.688359710095106,18.688359710095106,20.772060171450324,0.0,1.1151492559020257,-2.0837004613552157,0.20097063968165052,0.2058291733264923,0.3390035058061282,endpoint_diff_baseline:18
