policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
endpoint_only,stage97_00010741,stage79_00021591,blackswan,4,19,linear,endpoint_diff_baseline,20.704000294004928,21.675241242801746,21.675241242801746,23.15350643116542,0.0,0.9712409487968188,-1.4782651883636753,0.3038524091243744,0.24836888909339905,0.4041594862937927
always_shared_energy_regression,stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_energy_regression,20.704000294004928,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,1.0061934200699483,-1.4433127170905458,0.3638090193271637,0.3018933832645416,0.4912574887275696
always_shared_topk_bce,stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_topk_bce,20.704000294004928,21.675241242801746,21.614784812178392,23.15350643116542,-0.06045643062335415,0.9107845181734646,-1.5387216189870294,0.34915897250175476,0.29927366971969604,0.48699453473091125
group_best_mean_psnr,stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_energy_regression,20.704000294004928,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,1.0061934200699483,-1.4433127170905458,0.3638090193271637,0.3018933832645416,0.4912574887275696
oracle_task_best,stage97_00010741,stage79_00021591,blackswan,4,19,linear,shared_energy_regression,20.704000294004928,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,1.0061934200699483,-1.4433127170905458,0.3638090193271637,0.3018933832645416,0.4912574887275696
endpoint_only,stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,endpoint_diff_baseline,21.566378063122485,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.8521661775203668,-1.177348823261255,0.3279978334903717,0.15305206179618835,0.6133281588554382
always_shared_energy_regression,stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,shared_energy_regression,21.566378063122485,22.418544240642852,22.318804379244,23.595893063904107,-0.09973986139885227,0.7524263161215146,-1.2770886846601073,0.46527400612831116,0.1863769292831421,0.7468714714050293
always_shared_topk_bce,stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,shared_topk_bce,21.566378063122485,22.418544240642852,22.310147947406172,23.595893063904107,-0.10839629323668021,0.7437698842836866,-1.2857451164979352,0.4750407040119171,0.18580153584480286,0.7445657253265381
group_best_mean_psnr,stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,endpoint_diff_baseline,21.566378063122485,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.8521661775203668,-1.177348823261255,0.3279978334903717,0.15305206179618835,0.6133281588554382
oracle_task_best,stage97_00010741,stage79_00021591,blackswan,4,19,stage65_adapter,endpoint_diff_baseline,21.566378063122485,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.8521661775203668,-1.177348823261255,0.3279978334903717,0.15305206179618835,0.6133281588554382
