fold,policy,stage97_task_id,source_task_id,sequence,base_method,reference_gap,target_index,oracle_candidate,selected_candidate,selected_sideinfo_psnr,endpoint_sideinfo_psnr,oracle_task_best_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,gap_to_oracle_task_best,gap_to_teacher_oracle,selection_correct
0,endpoint_only,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,endpoint_diff_baseline,21.675241242801746,21.675241242801746,21.710193714074876,23.15350643116542,0.0,-0.034952471273129504,-1.4782651883636753,0
0,train_fold_group_policy,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,shared_energy_regression,21.710193714074876,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,0.0,-1.4433127170905458,1
0,stage106_fixed_group_policy,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,shared_energy_regression,21.710193714074876,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,0.0,-1.4433127170905458,1
0,metadata_mlp_cv,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,shared_energy_regression,21.710193714074876,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,0.0,-1.4433127170905458,1
0,anchor_stat_mlp_cv,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,endpoint_diff_baseline,21.675241242801746,21.675241242801746,21.710193714074876,23.15350643116542,0.0,-0.034952471273129504,-1.4782651883636753,0
0,oracle_task_best,stage97_00010741,stage79_00021591,blackswan,linear,4,19,shared_energy_regression,shared_energy_regression,21.710193714074876,21.675241242801746,21.710193714074876,23.15350643116542,0.034952471273129504,0.0,-1.4433127170905458,1
0,endpoint_only,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,endpoint_diff_baseline,22.418544240642852,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.0,-1.177348823261255,1
0,train_fold_group_policy,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,endpoint_diff_baseline,22.418544240642852,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.0,-1.177348823261255,1
0,stage106_fixed_group_policy,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,endpoint_diff_baseline,22.418544240642852,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.0,-1.177348823261255,1
0,metadata_mlp_cv,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,shared_energy_regression,22.318804379244,22.418544240642852,22.418544240642852,23.595893063904107,-0.09973986139885227,-0.09973986139885227,-1.2770886846601073,0
0,anchor_stat_mlp_cv,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,endpoint_diff_baseline,22.418544240642852,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.0,-1.177348823261255,1
0,oracle_task_best,stage97_00010741,stage79_00021591,blackswan,stage65_adapter,4,19,endpoint_diff_baseline,endpoint_diff_baseline,22.418544240642852,22.418544240642852,22.418544240642852,23.595893063904107,0.0,0.0,-1.177348823261255,1
0,endpoint_only,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,endpoint_diff_baseline,20.330870901499164,20.330870901499164,20.330870901499164,23.160430725114672,0.0,0.0,-2.829559823615508,1
0,train_fold_group_policy,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,shared_energy_regression,20.323774618706537,20.330870901499164,20.330870901499164,23.160430725114672,-0.0070962827926273064,-0.0070962827926273064,-2.8366561064081353,0
0,stage106_fixed_group_policy,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,shared_energy_regression,20.323774618706537,20.330870901499164,20.330870901499164,23.160430725114672,-0.0070962827926273064,-0.0070962827926273064,-2.8366561064081353,0
0,metadata_mlp_cv,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,shared_energy_regression,20.323774618706537,20.330870901499164,20.330870901499164,23.160430725114672,-0.0070962827926273064,-0.0070962827926273064,-2.8366561064081353,0
0,anchor_stat_mlp_cv,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,shared_energy_regression,20.323774618706537,20.330870901499164,20.330870901499164,23.160430725114672,-0.0070962827926273064,-0.0070962827926273064,-2.8366561064081353,0
0,oracle_task_best,stage97_00011160,stage79_00022423,breakdance,linear,8,53,endpoint_diff_baseline,endpoint_diff_baseline,20.330870901499164,20.330870901499164,20.330870901499164,23.160430725114672,0.0,0.0,-2.829559823615508,1
0,endpoint_only,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,train_fold_group_policy,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,stage106_fixed_group_policy,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,metadata_mlp_cv,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,anchor_stat_mlp_cv,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,oracle_task_best,stage97_00011160,stage79_00022423,breakdance,stage65_adapter,8,53,endpoint_diff_baseline,endpoint_diff_baseline,19.223939737904228,19.223939737904228,19.223939737904228,20.829028619901283,0.0,0.0,-1.6050888819970552,1
0,endpoint_only,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,endpoint_diff_baseline,20.02031828770951,20.02031828770951,20.02745911134708,22.907634278096218,0.0,-0.007140823637570293,-2.887315990386707,0
0,train_fold_group_policy,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,shared_energy_regression,20.02745911134708,20.02031828770951,20.02745911134708,22.907634278096218,0.007140823637570293,0.0,-2.8801751667491367,1
0,stage106_fixed_group_policy,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,shared_energy_regression,20.02745911134708,20.02031828770951,20.02745911134708,22.907634278096218,0.007140823637570293,0.0,-2.8801751667491367,1
0,metadata_mlp_cv,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,shared_energy_regression,20.02745911134708,20.02031828770951,20.02745911134708,22.907634278096218,0.007140823637570293,0.0,-2.8801751667491367,1
0,anchor_stat_mlp_cv,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,shared_topk_bce,19.951229950301336,20.02031828770951,20.02745911134708,22.907634278096218,-0.069088337408175,-0.07622916104574529,-2.956404327794882,0
0,oracle_task_best,stage97_00011683,stage79_00023459,car-shadow,linear,4,9,shared_energy_regression,shared_energy_regression,20.02745911134708,20.02031828770951,20.02745911134708,22.907634278096218,0.007140823637570293,0.0,-2.8801751667491367,1
0,endpoint_only,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,endpoint_diff_baseline,20.72256636066473,20.72256636066473,20.72256636066473,23.272183610414796,0.0,0.0,-2.5496172497500673,1
0,train_fold_group_policy,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,endpoint_diff_baseline,20.72256636066473,20.72256636066473,20.72256636066473,23.272183610414796,0.0,0.0,-2.5496172497500673,1
0,stage106_fixed_group_policy,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,endpoint_diff_baseline,20.72256636066473,20.72256636066473,20.72256636066473,23.272183610414796,0.0,0.0,-2.5496172497500673,1
0,metadata_mlp_cv,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,shared_energy_regression,20.48779716204517,20.72256636066473,20.72256636066473,23.272183610414796,-0.23476919861955992,-0.23476919861955992,-2.7843864483696272,0
0,anchor_stat_mlp_cv,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,shared_topk_bce,20.465115530504747,20.72256636066473,20.72256636066473,23.272183610414796,-0.25745083015998205,-0.25745083015998205,-2.8070680799100494,0
0,oracle_task_best,stage97_00011683,stage79_00023459,car-shadow,stage65_adapter,4,9,endpoint_diff_baseline,endpoint_diff_baseline,20.72256636066473,20.72256636066473,20.72256636066473,23.272183610414796,0.0,0.0,-2.5496172497500673,1
0,endpoint_only,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,endpoint_diff_baseline,21.06379668955188,21.06379668955188,21.133035986288156,23.135617459930465,0.0,-0.06923929673627782,-2.0718207703785865,0
0,train_fold_group_policy,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,shared_energy_regression,21.133035986288156,21.06379668955188,21.133035986288156,23.135617459930465,0.06923929673627782,0.0,-2.0025814736423087,1
0,stage106_fixed_group_policy,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,shared_energy_regression,21.133035986288156,21.06379668955188,21.133035986288156,23.135617459930465,0.06923929673627782,0.0,-2.0025814736423087,1
0,metadata_mlp_cv,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,shared_energy_regression,21.133035986288156,21.06379668955188,21.133035986288156,23.135617459930465,0.06923929673627782,0.0,-2.0025814736423087,1
0,anchor_stat_mlp_cv,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,shared_energy_regression,21.133035986288156,21.06379668955188,21.133035986288156,23.135617459930465,0.06923929673627782,0.0,-2.0025814736423087,1
0,oracle_task_best,stage97_00012282,stage79_00024697,dog,linear,4,23,shared_energy_regression,shared_energy_regression,21.133035986288156,21.06379668955188,21.133035986288156,23.135617459930465,0.06923929673627782,0.0,-2.0025814736423087,1
0,endpoint_only,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,endpoint_diff_baseline,21.5593071567785,21.5593071567785,21.5593071567785,23.30700036243657,0.0,0.0,-1.7476932056580665,1
0,train_fold_group_policy,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,endpoint_diff_baseline,21.5593071567785,21.5593071567785,21.5593071567785,23.30700036243657,0.0,0.0,-1.7476932056580665,1
0,stage106_fixed_group_policy,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,endpoint_diff_baseline,21.5593071567785,21.5593071567785,21.5593071567785,23.30700036243657,0.0,0.0,-1.7476932056580665,1
0,metadata_mlp_cv,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,shared_energy_regression,21.455303938473417,21.5593071567785,21.5593071567785,23.30700036243657,-0.10400321830508474,-0.10400321830508474,-1.8516964239631513,0
0,anchor_stat_mlp_cv,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,endpoint_diff_baseline,21.5593071567785,21.5593071567785,21.5593071567785,23.30700036243657,0.0,0.0,-1.7476932056580665,1
0,oracle_task_best,stage97_00012282,stage79_00024697,dog,stage65_adapter,4,23,endpoint_diff_baseline,endpoint_diff_baseline,21.5593071567785,21.5593071567785,21.5593071567785,23.30700036243657,0.0,0.0,-1.7476932056580665,1
0,endpoint_only,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,endpoint_diff_baseline,18.70068447881637,18.70068447881637,18.7811179340907,20.250905150517127,0.0,-0.08043345527433132,-1.5502206717007567,0
0,train_fold_group_policy,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,shared_energy_regression,18.778528766380735,18.70068447881637,18.7811179340907,20.250905150517127,0.07784428756436412,-0.0025891677099671995,-1.4723763841363926,0
0,stage106_fixed_group_policy,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,shared_energy_regression,18.778528766380735,18.70068447881637,18.7811179340907,20.250905150517127,0.07784428756436412,-0.0025891677099671995,-1.4723763841363926,0
0,metadata_mlp_cv,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,shared_topk_bce,18.7811179340907,18.70068447881637,18.7811179340907,20.250905150517127,0.08043345527433132,0.0,-1.4697872164264254,1
0,anchor_stat_mlp_cv,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,shared_topk_bce,18.7811179340907,18.70068447881637,18.7811179340907,20.250905150517127,0.08043345527433132,0.0,-1.4697872164264254,1
0,oracle_task_best,stage97_00012873,stage79_00025930,goat,linear,4,57,shared_topk_bce,shared_topk_bce,18.7811179340907,18.70068447881637,18.7811179340907,20.250905150517127,0.08043345527433132,0.0,-1.4697872164264254,1
0,endpoint_only,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,endpoint_diff_baseline,19.50093209809085,19.50093209809085,19.566643757979506,20.909212569557234,0.0,-0.06571165988865602,-1.4082804714663837,0
0,train_fold_group_policy,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,endpoint_diff_baseline,19.50093209809085,19.50093209809085,19.566643757979506,20.909212569557234,0.0,-0.06571165988865602,-1.4082804714663837,0
0,stage106_fixed_group_policy,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,endpoint_diff_baseline,19.50093209809085,19.50093209809085,19.566643757979506,20.909212569557234,0.0,-0.06571165988865602,-1.4082804714663837,0
0,metadata_mlp_cv,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,endpoint_diff_baseline,19.50093209809085,19.50093209809085,19.566643757979506,20.909212569557234,0.0,-0.06571165988865602,-1.4082804714663837,0
0,anchor_stat_mlp_cv,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,endpoint_diff_baseline,19.50093209809085,19.50093209809085,19.566643757979506,20.909212569557234,0.0,-0.06571165988865602,-1.4082804714663837,0
0,oracle_task_best,stage97_00012873,stage79_00025930,goat,stage65_adapter,4,57,shared_energy_regression,shared_energy_regression,19.566643757979506,19.50093209809085,19.566643757979506,20.909212569557234,0.06571165988865602,0.0,-1.3425688115777277,1
0,endpoint_only,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,endpoint_diff_baseline,20.532052033217717,20.532052033217717,20.756908768391394,23.239672119075653,0.0,-0.22485673517367744,-2.7076200858579362,0
0,train_fold_group_policy,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,shared_energy_regression,20.68424554700428,20.532052033217717,20.756908768391394,23.239672119075653,0.15219351378656398,-0.07266322138711345,-2.5554265720713722,0
0,stage106_fixed_group_policy,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,shared_energy_regression,20.68424554700428,20.532052033217717,20.756908768391394,23.239672119075653,0.15219351378656398,-0.07266322138711345,-2.5554265720713722,0
0,metadata_mlp_cv,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,shared_topk_bce,20.756908768391394,20.532052033217717,20.756908768391394,23.239672119075653,0.22485673517367744,0.0,-2.482763350684259,1
0,anchor_stat_mlp_cv,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,shared_energy_regression,20.68424554700428,20.532052033217717,20.756908768391394,23.239672119075653,0.15219351378656398,-0.07266322138711345,-2.5554265720713722,0
0,oracle_task_best,stage97_00013323,stage79_00026699,horsejump-high,linear,8,39,shared_topk_bce,shared_topk_bce,20.756908768391394,20.532052033217717,20.756908768391394,23.239672119075653,0.22485673517367744,0.0,-2.482763350684259,1
0,endpoint_only,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,endpoint_diff_baseline,21.50121251181404,21.50121251181404,21.701318252799,23.648259109441838,0.0,-0.20010574098495937,-2.1470465976277993,0
0,train_fold_group_policy,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,endpoint_diff_baseline,21.50121251181404,21.50121251181404,21.701318252799,23.648259109441838,0.0,-0.20010574098495937,-2.1470465976277993,0
0,stage106_fixed_group_policy,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,endpoint_diff_baseline,21.50121251181404,21.50121251181404,21.701318252799,23.648259109441838,0.0,-0.20010574098495937,-2.1470465976277993,0
0,metadata_mlp_cv,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,shared_topk_bce,21.701318252799,21.50121251181404,21.701318252799,23.648259109441838,0.20010574098495937,0.0,-1.94694085664284,1
0,anchor_stat_mlp_cv,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,endpoint_diff_baseline,21.50121251181404,21.50121251181404,21.701318252799,23.648259109441838,0.0,-0.20010574098495937,-2.1470465976277993,0
0,oracle_task_best,stage97_00013323,stage79_00026699,horsejump-high,stage65_adapter,8,39,shared_topk_bce,shared_topk_bce,21.701318252799,21.50121251181404,21.701318252799,23.648259109441838,0.20010574098495937,0.0,-1.94694085664284,1
0,endpoint_only,stage97_00013605,stage79_00027268,judo,linear,8,1,endpoint_diff_baseline,endpoint_diff_baseline,31.61341928314375,31.61341928314375,31.61341928314375,31.703672980829623,0.0,0.0,-0.0902536976858741,1
0,train_fold_group_policy,stage97_00013605,stage79_00027268,judo,linear,8,1,endpoint_diff_baseline,shared_energy_regression,31.60284685244275,31.61341928314375,31.61341928314375,31.703672980829623,-0.010572430701000002,-0.010572430701000002,-0.1008261283868741,0
0,stage106_fixed_group_policy,stage97_00013605,stage79_00027268,judo,linear,8,1,endpoint_diff_baseline,shared_energy_regression,31.60284685244275,31.61341928314375,31.61341928314375,31.703672980829623,-0.010572430701000002,-0.010572430701000002,-0.1008261283868741,0
