model,fold,step,loss,train_accuracy
metadata_mlp_cv,0,1,1.09014892578125,0.46875
metadata_mlp_cv,0,100,0.6306145787239075,0.6666666865348816
metadata_mlp_cv,0,200,0.39997246861457825,0.8020833134651184
metadata_mlp_cv,0,300,0.22499831020832062,0.8958333134651184
anchor_stat_mlp_cv,0,1,1.094118595123291,0.5416666865348816
anchor_stat_mlp_cv,0,100,0.0005066362791694701,1.0
anchor_stat_mlp_cv,0,200,0.00018327303405385464,1.0
anchor_stat_mlp_cv,0,300,0.00010083679808303714,1.0
score_stat_mlp_cv,0,1,1.1057907342910767,0.4375
score_stat_mlp_cv,0,100,0.0002758557675406337,1.0
score_stat_mlp_cv,0,200,0.00011065585567848757,1.0
score_stat_mlp_cv,0,300,6.352789932861924e-05,1.0
anchor_score_mlp_cv,0,1,1.1162617206573486,0.3958333432674408
anchor_score_mlp_cv,0,100,0.00010923184890998527,1.0
anchor_score_mlp_cv,0,200,5.4871772590558976e-05,1.0
anchor_score_mlp_cv,0,300,3.511178874759935e-05,1.0
metadata_mlp_cv,1,1,1.11887788772583,0.3645833432674408
metadata_mlp_cv,1,100,0.5859732031822205,0.7083333134651184
metadata_mlp_cv,1,200,0.3710085153579712,0.8125
metadata_mlp_cv,1,300,0.2661254107952118,0.8541666865348816
anchor_stat_mlp_cv,1,1,1.0905461311340332,0.34375
anchor_stat_mlp_cv,1,100,0.0005907078739255667,1.0
anchor_stat_mlp_cv,1,200,0.00020872140885330737,1.0
anchor_stat_mlp_cv,1,300,0.00011225177877349779,1.0
score_stat_mlp_cv,1,1,1.0935827493667603,0.4270833432674408
score_stat_mlp_cv,1,100,0.0002801229420583695,1.0
score_stat_mlp_cv,1,200,0.00012659441563300788,1.0
score_stat_mlp_cv,1,300,7.353618275374174e-05,1.0
anchor_score_mlp_cv,1,1,1.1047637462615967,0.46875
anchor_score_mlp_cv,1,100,0.00012818246614187956,1.0
anchor_score_mlp_cv,1,200,6.548551027663052e-05,1.0
anchor_score_mlp_cv,1,300,4.131805326323956e-05,1.0
metadata_mlp_cv,2,1,1.1174746751785278,0.3541666567325592
metadata_mlp_cv,2,100,0.697710394859314,0.6875
metadata_mlp_cv,2,200,0.49776139855384827,0.7708333134651184
metadata_mlp_cv,2,300,0.31175169348716736,0.8854166865348816
anchor_stat_mlp_cv,2,1,1.1044554710388184,0.28125
anchor_stat_mlp_cv,2,100,0.0005717040039598942,1.0
anchor_stat_mlp_cv,2,200,0.000208604775252752,1.0
anchor_stat_mlp_cv,2,300,0.00011398590140743181,1.0
score_stat_mlp_cv,2,1,1.1005299091339111,0.4791666567325592
score_stat_mlp_cv,2,100,0.0002345805987715721,1.0
score_stat_mlp_cv,2,200,0.00010353314428357407,1.0
score_stat_mlp_cv,2,300,6.147890962893143e-05,1.0
anchor_score_mlp_cv,2,1,1.1003473997116089,0.46875
anchor_score_mlp_cv,2,100,0.00014361581997945905,1.0
anchor_score_mlp_cv,2,200,6.932295946171507e-05,1.0
anchor_score_mlp_cv,2,300,4.295390681363642e-05,1.0
metadata_mlp_cv,3,1,1.1435428857803345,0.3125
metadata_mlp_cv,3,100,0.6618918776512146,0.7083333134651184
metadata_mlp_cv,3,200,0.48845168948173523,0.7604166865348816
metadata_mlp_cv,3,300,0.26431554555892944,0.8854166865348816
anchor_stat_mlp_cv,3,1,1.1005265712738037,0.5104166865348816
anchor_stat_mlp_cv,3,100,0.0005627747741527855,1.0
anchor_stat_mlp_cv,3,200,0.00019493549189064652,1.0
anchor_stat_mlp_cv,3,300,0.00010676018428057432,1.0
score_stat_mlp_cv,3,1,1.0873432159423828,0.5729166865348816
score_stat_mlp_cv,3,100,0.0003065615310333669,1.0
score_stat_mlp_cv,3,200,0.00012624086230061948,1.0
score_stat_mlp_cv,3,300,7.197676313808188e-05,1.0
anchor_score_mlp_cv,3,1,1.1151458024978638,0.3333333432674408
anchor_score_mlp_cv,3,100,0.00018076359992846847,1.0
anchor_score_mlp_cv,3,200,8.59845822560601e-05,1.0
anchor_score_mlp_cv,3,300,5.237664299784228e-05,1.0
metadata_mlp_cv,4,1,1.1245802640914917,0.4270833432674408
metadata_mlp_cv,4,100,0.6233856678009033,0.6770833134651184
metadata_mlp_cv,4,200,0.37944936752319336,0.8333333134651184
metadata_mlp_cv,4,300,0.2608686089515686,0.875
anchor_stat_mlp_cv,4,1,1.0939089059829712,0.3229166567325592
anchor_stat_mlp_cv,4,100,0.00047775611164979637,1.0
anchor_stat_mlp_cv,4,200,0.0001778577279765159,1.0
anchor_stat_mlp_cv,4,300,9.715466876514256e-05,1.0
score_stat_mlp_cv,4,1,1.0885344743728638,0.59375
score_stat_mlp_cv,4,100,0.0002757468319032341,1.0
score_stat_mlp_cv,4,200,0.00011404076212784275,1.0
score_stat_mlp_cv,4,300,6.579618639079854e-05,1.0
anchor_score_mlp_cv,4,1,1.100332260131836,0.3645833432674408
anchor_score_mlp_cv,4,100,0.00014003088290337473,1.0
anchor_score_mlp_cv,4,200,6.84251863276586e-05,1.0
anchor_score_mlp_cv,4,300,4.250797428539954e-05,1.0
