policy,base_method,reference_gap,task_count,mean_base_psnr,mean_endpoint_sideinfo_psnr,mean_selected_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,selected_candidate_counts
always_shared_energy_regression,linear,4,83,19.886347737427403,21.299547171094726,21.276124583171555,23.015849377708975,-0.023422587923175493,1.3897768457441428,-1.7397247945374348,0.3503716419260186,0.31343954110361005,0.47481397943324355,shared_energy_regression:83
always_shared_energy_regression,linear,8,79,18.996477066901544,20.375548431279505,20.384855703107966,22.371117622074348,0.009307271828446134,1.3883786362064119,-1.9862619189663924,0.3329670252867892,0.3011815741280966,0.4658688325670701,shared_energy_regression:79
always_shared_energy_regression,linear,16,78,17.819125152586505,19.046909687167492,19.073371617988872,21.154356648240174,0.026461930821385912,1.254246465402365,-2.080985030251295,0.27462540114393985,0.25514130036418253,0.4180108870451267,shared_energy_regression:78
always_shared_energy_regression,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.131463440519376,22.711642777930805,-0.22540383262011054,1.0399312967173253,-1.5801793374114348,0.3998784042378686,0.1602492318095931,0.6852483031261398,shared_energy_regression:83
always_shared_energy_regression,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.331538244866433,22.138047190150854,-0.19372914974113,1.0619300560369338,-1.8065089452844398,0.39151561976988103,0.1652237238197387,0.6717009012457691,shared_energy_regression:79
always_shared_energy_regression,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.054416424634564,20.970493281723723,-0.1363193230658923,1.0117782980875138,-1.916076857089164,0.3531762585760309,0.16022028726262924,0.6390431286432804,shared_energy_regression:78
always_shared_topk_bce,linear,4,83,19.886347737427403,21.299547171094726,21.141167440341185,23.015849377708975,-0.15837973075354014,1.2548197029137782,-1.8746819373677999,0.33677084694605275,0.31102767999631814,0.4733136430921325,shared_topk_bce:83
always_shared_topk_bce,linear,8,79,18.996477066901544,20.375548431279505,20.258516107689786,22.371117622074348,-0.11703232358972818,1.2620390407882365,-2.1126015143845662,0.3233892171631885,0.29836205883493905,0.4632016363777692,shared_topk_bce:79
always_shared_topk_bce,linear,16,78,17.819125152586505,19.046909687167492,18.978804685006114,21.154356648240174,-0.06810500216136936,1.159679532419611,-2.175551963234049,0.2728897971220506,0.2561770115907376,0.42124477659280485,shared_topk_bce:78
always_shared_topk_bce,stage65_adapter,4,83,20.091532143802056,21.356867273139482,21.109714693426387,22.711642777930805,-0.24715257971309498,1.0181825496243408,-1.6019280845044193,0.4093378378100783,0.16108692922146925,0.6888558882546713,shared_topk_bce:83
always_shared_topk_bce,stage65_adapter,8,79,19.269608188829494,20.525267394607553,20.31107324044725,22.138047190150854,-0.21419415416029447,1.0414650516177693,-1.8269739497036048,0.3984525786547721,0.16574612882318376,0.6738657238362711,shared_topk_bce:79
always_shared_topk_bce,stage65_adapter,16,78,18.042638126547047,19.19073574770046,19.032228226543427,20.970493281723723,-0.15850752115702738,0.9895900999963784,-1.9382650551802998,0.3562509587082343,0.16000580787658691,0.6382178301230456,shared_topk_bce:78
endpoint_only,linear,4,83,19.886347737427403,21.299547171094726,21.299547171094726,23.015849377708975,0.0,1.413199433667318,-1.7163022066142593,0.3246540131877704,0.2822642517107797,0.4250208229185587,endpoint_diff_baseline:83
endpoint_only,linear,8,79,18.996477066901544,20.375548431279505,20.375548431279505,22.371117622074348,0.0,1.3790713643779655,-1.9955691907948385,0.29026697144572494,0.2644050938041904,0.4059741176381896,endpoint_diff_baseline:79
endpoint_only,linear,16,78,17.819125152586505,19.046909687167492,19.046909687167492,21.154356648240174,0.0,1.2277845345809804,-2.10744696107268,0.23576039608973914,0.2186496381003123,0.35960317078309184,endpoint_diff_baseline:78
