policy,stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,selected_candidate,base_psnr,endpoint_sideinfo_psnr,selected_sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_endpoint,delta_psnr_vs_base,gap_to_teacher_oracle_psnr,precision_at_keep,energy_recall_total,relative_energy_recall_vs_oracle
endpoint_only,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,endpoint_diff_baseline,21.89157119156866,23.094256129128624,23.094256129128624,23.458149945260118,0.0,1.2026849375599653,-0.36389381613149396,0.393380343914032,0.333679735660553,0.4393948018550873
always_shared_energy_regression,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,shared_energy_regression,21.89157119156866,23.094256129128624,22.95287718055066,23.458149945260118,-0.1413789485779624,1.061305988982003,-0.5052727647094564,0.4622897505760193,0.39710819721221924,0.5229184031486511
always_shared_topk_bce,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,shared_topk_bce,21.89157119156866,23.094256129128624,22.829708294282426,23.458149945260118,-0.2645478348461978,0.9381371027137675,-0.6284416509776918,0.44574064016342163,0.4035656452178955,0.5314216613769531
stage106_fixed_group_policy,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,shared_energy_regression,21.89157119156866,23.094256129128624,22.95287718055066,23.458149945260118,-0.1413789485779624,1.061305988982003,-0.5052727647094564,0.4622897505760193,0.39710819721221924,0.5229184031486511
group_best_mean_psnr,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,endpoint_diff_baseline,21.89157119156866,23.094256129128624,23.094256129128624,23.458149945260118,0.0,1.2026849375599653,-0.36389381613149396,0.393380343914032,0.333679735660553,0.4393948018550873
oracle_task_best,stage97_00010586,stage79_00021313,bike-packing,4,43,linear,endpoint_diff_baseline,21.89157119156866,23.094256129128624,23.094256129128624,23.458149945260118,0.0,1.2026849375599653,-0.36389381613149396,0.393380343914032,0.333679735660553,0.4393948018550873
endpoint_only,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,endpoint_diff_baseline,20.69783078430693,21.99975538595348,21.99975538595348,22.02673582160711,0.0,1.3019246016465509,-0.026980435653630508,0.38252848386764526,0.1459949016571045,0.6320866942405701
always_shared_energy_regression,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,shared_energy_regression,20.69783078430693,21.99975538595348,21.596389913127084,22.02673582160711,-0.40336547282639756,0.8985591288201533,-0.43034590848002807,0.4617471396923065,0.16361670196056366,0.7083805203437805
always_shared_topk_bce,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,shared_topk_bce,20.69783078430693,21.99975538595348,21.457126004334192,22.02673582160711,-0.5426293816192889,0.759295220027262,-0.5696098172729194,0.47666847705841064,0.16571736335754395,0.7174753546714783
stage106_fixed_group_policy,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,endpoint_diff_baseline,20.69783078430693,21.99975538595348,21.99975538595348,22.02673582160711,0.0,1.3019246016465509,-0.026980435653630508,0.38252848386764526,0.1459949016571045,0.6320866942405701
group_best_mean_psnr,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,endpoint_diff_baseline,20.69783078430693,21.99975538595348,21.99975538595348,22.02673582160711,0.0,1.3019246016465509,-0.026980435653630508,0.38252848386764526,0.1459949016571045,0.6320866942405701
oracle_task_best,stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,endpoint_diff_baseline,20.69783078430693,21.99975538595348,21.99975538595348,22.02673582160711,0.0,1.3019246016465509,-0.026980435653630508,0.38252848386764526,0.1459949016571045,0.6320866942405701
endpoint_only,stage97_00010597,stage79_00021324,bike-packing,4,58,linear,endpoint_diff_baseline,19.711438830324294,21.35756196196678,21.35756196196678,23.628130763557333,0.0,1.6461231316424865,-2.270568801590553,0.49403145909309387,0.34333500266075134,0.4603450894355774
always_shared_energy_regression,stage97_00010597,stage79_00021324,bike-packing,4,58,linear,shared_energy_regression,19.711438830324294,21.35756196196678,21.203093989468954,23.628130763557333,-0.15446797249782662,1.4916551591446598,-2.4250367740883796,0.4758545756340027,0.34661802649497986,0.46474698185920715
always_shared_topk_bce,stage97_00010597,stage79_00021324,bike-packing,4,58,linear,shared_topk_bce,19.711438830324294,21.35756196196678,20.958840075937857,23.628130763557333,-0.3987218860289232,1.2474012456135632,-2.669290687619476,0.4400434195995331,0.3389297425746918,0.4544384777545929
stage106_fixed_group_policy,stage97_00010597,stage79_00021324,bike-packing,4,58,linear,shared_energy_regression,19.711438830324294,21.35756196196678,21.203093989468954,23.628130763557333,-0.15446797249782662,1.4916551591446598,-2.4250367740883796,0.4758545756340027,0.34661802649497986,0.46474698185920715
group_best_mean_psnr,stage97_00010597,stage79_00021324,bike-packing,4,58,linear,endpoint_diff_baseline,19.711438830324294,21.35756196196678,21.35756196196678,23.628130763557333,0.0,1.6461231316424865,-2.270568801590553,0.49403145909309387,0.34333500266075134,0.4603450894355774
