candidate,base_method,reference_gap,task_count,mean_energy_recall_delta,mean_precision_delta,mean_sideinfo_psnr_delta,mean_delta_psnr_vs_base_delta,mean_gap_to_teacher_delta,energy_up_count,psnr_up_count,both_up_count,energy_up_psnr_down_count,energy_down_psnr_up_count,mean_psnr_delta_when_energy_up,corr_energy_delta_psnr_delta
shared_energy_regression,linear,4,83,0.031175289392830378,0.025717628738248205,-0.023422587923175493,-0.023422587923175493,-0.023422587923175493,78,37,37,41,0,-0.005576953336642076,0.4052231008087529
shared_energy_regression,linear,8,79,0.03677648032390619,0.04270005384106425,0.009307271828446134,0.009307271828446134,0.009307271828446134,75,43,42,33,1,0.01956101089733894,0.44188566326293155
shared_energy_regression,linear,16,78,0.03649166226387024,0.03886500505420069,0.026461930821385912,0.026461930821385912,0.026461930821385912,71,46,46,25,0,0.05080938741960222,0.6072215610660064
shared_energy_regression,stage65_adapter,4,83,0.024832078311816757,0.10289666364397236,-0.22540383262011054,-0.22540383262011054,-0.22540383262011054,81,15,15,66,0,-0.22044603110942798,0.39426318864842186
shared_energy_regression,stage65_adapter,8,79,0.03036606472127045,0.12272230693716792,-0.19372914974113,-0.19372914974113,-0.19372914974113,77,23,23,54,0,-0.18421015980131747,0.45895494987272756
shared_energy_regression,stage65_adapter,16,78,0.032561146725828834,0.12463305256544398,-0.1363193230658923,-0.1363193230658923,-0.1363193230658923,76,27,27,49,0,-0.1275779467797434,0.523518086018581
shared_topk_bce,linear,4,83,0.028763428285538434,0.012116833758282375,-0.15837973075354014,-0.15837973075354014,-0.15837973075354014,68,26,25,43,1,-0.07642530381680825,0.5263232473872927
shared_topk_bce,linear,8,79,0.03395696503074863,0.03312224571746361,-0.11703232358972818,-0.11703232358972818,-0.11703232358972818,64,34,32,32,2,-0.03386705257439521,0.5640993291852238
shared_topk_bce,linear,16,78,0.03752737349042526,0.03712940103231141,-0.06810500216136936,-0.06810500216136936,-0.06810500216136936,69,39,38,31,1,-0.025270320325416477,0.5289893075745488
shared_topk_bce,stage65_adapter,4,83,0.025669775723692882,0.1123560972161821,-0.24715257971309498,-0.24715257971309498,-0.24715257971309498,80,14,13,67,1,-0.24542891792209942,0.34624120787505264
shared_topk_bce,stage65_adapter,8,79,0.03088846972471551,0.129659265822059,-0.21419415416029447,-0.21419415416029447,-0.21419415416029447,74,18,18,56,0,-0.19463767264206794,0.4071804727253955
shared_topk_bce,stage65_adapter,16,78,0.03234666733978651,0.1277077526976474,-0.15850752115702738,-0.15850752115702738,-0.15850752115702738,76,29,29,47,0,-0.14440880259935554,0.47885855550593825
