policy,base_method,reference_gap,task_count,mean_selected_sideinfo_psnr,mean_endpoint_sideinfo_psnr,mean_delta_psnr_vs_endpoint,selection_accuracy,selected_candidate_counts
anchor_score_mlp_cv,linear,4,83,21.303722881714897,21.299547171094733,0.00417571062015979,0.5301204819277109,endpoint_diff_baseline:38;shared_energy_regression:31;shared_topk_bce:14
anchor_score_mlp_cv,linear,8,79,20.3956991646984,20.375548431279512,0.020150733418887467,0.5063291139240507,endpoint_diff_baseline:33;shared_energy_regression:26;shared_topk_bce:20
anchor_score_mlp_cv,linear,16,78,19.086122510486728,19.046909687167492,0.03921282331924403,0.48717948717948717,endpoint_diff_baseline:28;shared_energy_regression:25;shared_topk_bce:25
anchor_score_mlp_cv,stage65_adapter,4,83,21.35623328474749,21.356867273139475,-0.0006339883919905541,0.7831325301204819,endpoint_diff_baseline:66;shared_energy_regression:10;shared_topk_bce:7
anchor_score_mlp_cv,stage65_adapter,8,79,20.528638942191044,20.525267394607553,0.003371547583492312,0.6835443037974683,endpoint_diff_baseline:58;shared_energy_regression:14;shared_topk_bce:7
anchor_score_mlp_cv,stage65_adapter,16,78,19.1866308315619,19.190735747700458,-0.004104916138558223,0.5641025641025641,endpoint_diff_baseline:47;shared_energy_regression:16;shared_topk_bce:15
anchor_stat_mlp_cv,linear,4,83,21.307688871844395,21.299547171094733,0.00814170074965776,0.5542168674698795,endpoint_diff_baseline:40;shared_energy_regression:32;shared_topk_bce:11
anchor_stat_mlp_cv,linear,8,79,20.400655891217234,20.375548431279512,0.025107459937721562,0.5443037974683544,endpoint_diff_baseline:29;shared_energy_regression:29;shared_topk_bce:21
anchor_stat_mlp_cv,linear,16,78,19.091699529840874,19.046909687167492,0.04478984267338267,0.5128205128205128,endpoint_diff_baseline:29;shared_energy_regression:28;shared_topk_bce:21
anchor_stat_mlp_cv,stage65_adapter,4,83,21.348929577164483,21.356867273139475,-0.007937695974995159,0.7831325301204819,endpoint_diff_baseline:61;shared_energy_regression:14;shared_topk_bce:8
anchor_stat_mlp_cv,stage65_adapter,8,79,20.5162897055817,20.525267394607553,-0.008977689025852805,0.6962025316455697,endpoint_diff_baseline:57;shared_energy_regression:14;shared_topk_bce:8
anchor_stat_mlp_cv,stage65_adapter,16,78,19.194197127424793,19.190735747700458,0.003461379724330349,0.5256410256410257,endpoint_diff_baseline:45;shared_energy_regression:17;shared_topk_bce:16
endpoint_only,linear,4,83,21.299547171094733,21.299547171094733,0.0,0.5421686746987951,endpoint_diff_baseline:83
endpoint_only,linear,8,79,20.375548431279512,20.375548431279512,0.0,0.43037974683544306,endpoint_diff_baseline:79
endpoint_only,linear,16,78,19.046909687167492,19.046909687167492,0.0,0.38461538461538464,endpoint_diff_baseline:78
endpoint_only,stage65_adapter,4,83,21.356867273139475,21.356867273139475,0.0,0.8072289156626506,endpoint_diff_baseline:83
endpoint_only,stage65_adapter,8,79,20.525267394607553,20.525267394607553,0.0,0.7088607594936709,endpoint_diff_baseline:79
endpoint_only,stage65_adapter,16,78,19.190735747700458,19.190735747700458,0.0,0.5897435897435898,endpoint_diff_baseline:78
global_train_best_policy,linear,4,83,21.299547171094733,21.299547171094733,0.0,0.5421686746987951,endpoint_diff_baseline:83
global_train_best_policy,linear,8,79,20.375548431279512,20.375548431279512,0.0,0.43037974683544306,endpoint_diff_baseline:79
global_train_best_policy,linear,16,78,19.046909687167492,19.046909687167492,0.0,0.38461538461538464,endpoint_diff_baseline:78
global_train_best_policy,stage65_adapter,4,83,21.356867273139475,21.356867273139475,0.0,0.8072289156626506,endpoint_diff_baseline:83
global_train_best_policy,stage65_adapter,8,79,20.525267394607553,20.525267394607553,0.0,0.7088607594936709,endpoint_diff_baseline:79
global_train_best_policy,stage65_adapter,16,78,19.190735747700458,19.190735747700458,0.0,0.5897435897435898,endpoint_diff_baseline:78
metadata_mlp_cv,linear,4,83,21.24452898222081,21.299547171094733,-0.05501818887392087,0.3253012048192771,endpoint_diff_baseline:24;shared_energy_regression:43;shared_topk_bce:16
metadata_mlp_cv,linear,8,79,20.333874125633066,20.375548431279512,-0.041674305646451006,0.35443037974683544,endpoint_diff_baseline:16;shared_energy_regression:38;shared_topk_bce:25
metadata_mlp_cv,linear,16,78,19.062108033281625,19.046909687167492,0.01519834611413123,0.358974358974359,endpoint_diff_baseline:23;shared_energy_regression:29;shared_topk_bce:26
metadata_mlp_cv,stage65_adapter,4,83,21.28964018050177,21.356867273139475,-0.06722709263770256,0.6144578313253012,endpoint_diff_baseline:63;shared_energy_regression:9;shared_topk_bce:11
metadata_mlp_cv,stage65_adapter,8,79,20.43972777970121,20.525267394607553,-0.08553961490633653,0.4810126582278481,endpoint_diff_baseline:47;shared_energy_regression:17;shared_topk_bce:15
metadata_mlp_cv,stage65_adapter,16,78,19.140076532791852,19.190735747700458,-0.050659214908609425,0.5,endpoint_diff_baseline:38;shared_energy_regression:17;shared_topk_bce:23
oracle_task_best,linear,4,83,21.348889566566452,21.299547171094733,0.04934239547172279,1.0,endpoint_diff_baseline:45;shared_energy_regression:27;shared_topk_bce:11
oracle_task_best,linear,8,79,20.452041094253882,20.375548431279512,0.07649266297437256,1.0,endpoint_diff_baseline:34;shared_energy_regression:27;shared_topk_bce:18
oracle_task_best,linear,16,78,19.14875439768973,19.046909687167492,0.10184471052224166,1.0,endpoint_diff_baseline:30;shared_energy_regression:26;shared_topk_bce:22
oracle_task_best,stage65_adapter,4,83,21.380992285445735,21.356867273139475,0.024125012306258554,1.0,endpoint_diff_baseline:67;shared_energy_regression:9;shared_topk_bce:7
oracle_task_best,stage65_adapter,8,79,20.572239134838952,20.525267394607553,0.046971740231397476,1.0,endpoint_diff_baseline:56;shared_energy_regression:15;shared_topk_bce:8
oracle_task_best,stage65_adapter,16,78,19.26491757977017,19.190735747700458,0.07418183206971249,1.0,endpoint_diff_baseline:46;shared_energy_regression:17;shared_topk_bce:15
score_stat_mlp_cv,linear,4,83,21.304616984612498,21.299547171094733,0.005069813517757055,0.5783132530120482,endpoint_diff_baseline:41;shared_energy_regression:28;shared_topk_bce:14
score_stat_mlp_cv,linear,8,79,20.40151436462523,20.375548431279512,0.025965933345715158,0.46835443037974683,endpoint_diff_baseline:32;shared_energy_regression:27;shared_topk_bce:20
