policy,task_count,mean_selected_sideinfo_psnr,mean_endpoint_sideinfo_psnr,mean_oracle_task_best_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_gap_to_oracle_task_best,mean_gap_to_teacher_oracle,selection_accuracy,selected_candidate_counts
anchor_score_mlp_cv,480,20.33140381862592,20.3212149854921,20.382843220952545,22.077800340877232,0.010188833133790712,-0.05143940232662742,-1.746396522251338,0.59375,endpoint_diff_baseline:270;shared_energy_regression:122;shared_topk_bce:88
anchor_stat_mlp_cv,480,20.331745776419964,20.3212149854921,20.382843220952545,22.077800340877232,0.010530790927825506,-0.051097444532592656,-1.7460545644573031,0.6041666666666666,endpoint_diff_baseline:261;shared_energy_regression:134;shared_topk_bce:85
endpoint_only,480,20.3212149854921,20.3212149854921,20.382843220952545,22.077800340877232,0.0,-0.06162823546041816,-1.756585355385128,0.5791666666666667,endpoint_diff_baseline:480
global_train_best_policy,480,20.3212149854921,20.3212149854921,20.382843220952545,22.077800340877232,0.0,-0.06162823546041816,-1.756585355385128,0.5791666666666667,endpoint_diff_baseline:480
metadata_mlp_cv,480,20.27337705662733,20.3212149854921,20.382843220952545,22.077800340877232,-0.047837928864800545,-0.10946616432521869,-1.8044232842499288,0.4395833333333333,endpoint_diff_baseline:211;shared_energy_regression:153;shared_topk_bce:116
oracle_task_best,480,20.382843220952545,20.3212149854921,20.382843220952545,22.077800340877232,0.06162823546041816,0.0,-1.6949571199247115,1.0,endpoint_diff_baseline:278;shared_energy_regression:121;shared_topk_bce:81
score_stat_mlp_cv,480,20.33325220653739,20.3212149854921,20.382843220952545,22.077800340877232,0.012037221045259486,-0.04959101441515865,-1.744548134339869,0.6041666666666666,endpoint_diff_baseline:274;shared_energy_regression:130;shared_topk_bce:76
stage106_fixed_group_policy,480,20.322996715243978,20.3212149854921,20.382843220952545,22.077800340877232,0.0017817297518578745,-0.05984650570856027,-1.7548036256332693,0.51875,endpoint_diff_baseline:240;shared_energy_regression:240
stage110_group_best_policy,480,20.32704687107235,20.3212149854921,20.382843220952545,22.077800340877232,0.005831885580240304,-0.055796349880177856,-1.750753469804887,0.55625,endpoint_diff_baseline:323;shared_energy_regression:157
train_fold_group_policy,480,20.325313259771452,20.3212149854921,20.382843220952545,22.077800340877232,0.00409827427933979,-0.05752996118107836,-1.7524870811057873,0.5541666666666667,endpoint_diff_baseline:338;shared_energy_regression:142
