task_id,sequence,codec,reference_gap,target_index,base_method,selector_policy,selected_candidate,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,deterministic_payload_bytes,fixed_index_bytes,deterministic_index_bytes,deterministic_savings_bytes_vs_fixed,deterministic_ratio_vs_fixed,fixed_mib_per_intermediate_frame,deterministic_mib_per_intermediate_frame,fixed_theoretical_mib_without_header,deterministic_theoretical_mib_without_header,omitted_index_bytes_vs_fixed_aligned,decoded_max_abs_diff_vs_fixed
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00027028,india,q12,8,13,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00021366,bike-packing,q12,8,39,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00024828,dog,q12,16,57,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00028248,loading,q12,8,43,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00028248,loading,q12,8,43,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00022888,camel,q12,8,81,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00022888,camel,q12,8,81,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00030005,pigs,q12,4,6,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00030005,pigs,q12,4,6,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00029696,parkour,q12,8,83,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00029696,parkour,q12,8,83,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00027304,judo,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00027304,judo,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00026745,horsejump-high,q12,16,41,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,3686,43381,36009,7372,0,7372,0.8300638528388004,0.04137134552001953,0.034340858459472656,0.041353702545166016,0.03432321548461914,7372,0.0
