keep_fraction,side_bits,gaussian_count,attr_dim,keep_count,fixed_payload_bytes,deterministic_payload_bytes,fixed_sideinfo_mib_per_intermediate_frame,deterministic_sideinfo_mib_per_intermediate_frame,saved_index_bytes_vs_fixed,deterministic_ratio_vs_fixed,group_count,groups_below_entropy_reference_rate,mean_ratio_vs_entropy_reference,max_ratio_vs_entropy_reference,mean_deterministic_minus_entropy_reference_bytes
0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,6,6,0.09434647906219319,0.10267884543491483,-29637.629142300197
0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,6,6,0.1404276742480965,0.15282977809272455,-28139.629142300197
0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,6,6,0.1865088694339998,0.20298071075053428,-26641.629142300197
0.025,5,36860,13,922,9406,7562,0.008970260620117188,0.0072116851806640625,1844,0.8039549223899638,6,6,0.23262082643244372,0.2531651220015735,-25142.629142300197
0.025,6,36860,13,922,10904,9060,0.01039886474609375,0.008640289306640625,1844,0.830887747615554,6,6,0.27870202161834706,0.3033160546593832,-23644.629142300193
0.025,8,36860,13,922,13900,12056,0.013256072998046875,0.01149749755859375,1844,0.8673381294964029,6,6,0.37086441199015363,0.4036179199750027,-20648.629142300193
0.05,2,36860,13,1843,9746,6060,0.009294509887695312,0.005779266357421875,3686,0.6217935563308024,6,6,0.1864165839963778,0.20288027497084574,-26644.629142300197
0.05,3,36860,13,1843,12741,9055,0.012150764465332031,0.008635520935058594,3686,0.7106977474295582,6,6,0.2785482125556437,0.3031486616932357,-23649.629142300193
0.05,4,36860,13,1843,15736,12050,0.01500701904296875,0.011491775512695312,3686,0.7657600406710727,6,6,0.3706798411149097,0.4034170484156256,-20654.629142300193
0.05,5,36860,13,1843,18731,15045,0.01786327362060547,0.014348030090332031,3686,0.8032139234424217,6,6,0.46281146967417564,0.5036854351380156,-17659.629142300197
0.05,6,36860,13,1843,21726,18040,0.020719528198242188,0.01720428466796875,3686,0.8303415262818743,6,6,0.5549430982334415,0.6039538218604055,-14664.629142300197
0.05,8,36860,13,1843,27715,24029,0.02643108367919922,0.02291584014892578,3686,0.8670034277467076,6,6,0.7391755935394327,0.8044571167119557,-8675.629142300195
0.1,2,36860,13,3686,19422,12050,0.018522262573242188,0.011491775512695312,7372,0.6204304397075482,6,6,0.3706798411149097,0.4034170484156256,-20654.629142300193
0.1,3,36860,13,3686,25412,18040,0.024234771728515625,0.01720428466796875,7372,0.7099008342515347,6,6,0.5549430982334415,0.6039538218604055,-14664.629142300197
0.1,4,36860,13,3686,31401,24029,0.029946327209472656,0.02291584014892578,7372,0.7652304066749467,6,6,0.7391755935394327,0.8044571167119557,-8675.629142300195
0.1,5,36860,13,3686,37391,30019,0.035658836364746094,0.02862834930419922,7372,0.8028402556764997,6,5,0.9234388506579648,1.0049938901567357,-2685.629142300195
0.1,6,36860,13,3686,43381,36009,0.04137134552001953,0.034340858459472656,7372,0.8300638528388004,6,0,1.1077021077764964,1.2055306636015155,3304.370857699805
0.1,8,36860,13,3686,55360,47988,0.05279541015625,0.045764923095703125,7372,0.866835260115607,6,0,1.4761978602010195,1.6065707318978457,15283.370857699809
0.15,2,36860,13,5529,29098,18040,0.027750015258789062,0.01720428466796875,11058,0.619973881366417,6,6,0.5549430982334415,0.6039538218604055,-14664.629142300197
0.15,3,36860,13,5529,38082,27024,0.03631782531738281,0.0257720947265625,11058,0.7096265952418466,6,6,0.8313072220986987,0.9047255034343458,-5680.629142300194
0.15,4,36860,13,5529,47067,36009,0.04488658905029297,0.034340858459472656,11058,0.765058321116706,6,0,1.1077021077764964,1.2055306636015155,3304.370857699805
0.15,5,36860,13,5529,56052,44994,0.053455352783203125,0.04290962219238281,11058,0.8027189038749732,6,0,1.3840969934542942,1.5063358237686852,12289.370857699803
0.15,6,36860,13,5529,65036,53978,0.062023162841796875,0.05147743225097656,11058,0.8299710929331447,6,0,1.6604611173195511,1.8071075053426255,21273.370857699803
0.15,8,36860,13,5529,83005,71947,0.07915973663330078,0.06861400604248047,11058,0.8667791096921872,6,0,2.2132201268626064,2.4086843470837356,39242.3708576998
0.2,2,36860,13,7372,38773,24029,0.03697681427001953,0.02291584014892578,14744,0.6197353828695226,6,6,0.7391755935394327,0.8044571167119557,-8675.629142300195
0.2,3,36860,13,7372,50753,36009,0.048401832580566406,0.034340858459472656,14744,0.7094950052213662,6,0,1.1077021077764964,1.2055306636015155,3304.370857699805
0.2,4,36860,13,7372,62732,47988,0.059825897216796875,0.045764923095703125,14744,0.7649684371612574,6,0,1.4761978602010195,1.6065707318978457,15283.370857699809
0.2,5,36860,13,7372,74712,59968,0.07125091552734375,0.05718994140625,14744,0.8026555305707249,6,0,1.8447243744380835,2.0076442787874056,27263.370857699803
0.2,6,36860,13,7372,86691,71947,0.08267498016357422,0.06861400604248047,14744,0.8299246749950975,6,0,2.2132201268626064,2.4086843470837356,39242.3708576998
0.2,8,36860,13,7372,110650,95906,0.10552406311035156,0.09146308898925781,14744,0.8667510167193855,6,0,2.9502423935241935,3.2107979622696257,63201.3708576998
