task_id,sequence,codec,reference_gap,target_index,base_method,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,fixed_payload_bytes,raw_deterministic_payload_bytes,compressed_deterministic_payload_bytes,fixed_mib_per_intermediate_frame,raw_deterministic_mib_per_intermediate_frame,compressed_deterministic_mib_per_intermediate_frame,raw_deterministic_savings_bytes_vs_fixed,compressed_deterministic_savings_bytes_vs_raw,compressed_deterministic_savings_bytes_vs_fixed,compressed_ratio_vs_raw_deterministic,compressed_ratio_vs_fixed,fixed_index_bytes,compressed_metadata_zlib_bytes,compressed_residual_zlib_bytes,stage96_entropy_reference_bytes,stage96_entropy_reference_mib_per_intermediate_frame,compressed_minus_stage96_entropy_reference_bytes,compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference,decoded_max_abs_diff_vs_raw_deterministic,decoded_max_abs_diff_vs_fixed
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27966,0.04137134552001953,0.034340858459472656,0.026670455932617188,7372,8043,15415,0.7766391735399484,0.6446601046541113,7372,50,27890,30239.565217391304,0.028838696687117867,-2273.565217391304,0.9248148840419261,1,0.0,0.0
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32836,0.04137134552001953,0.034340858459472656,0.031314849853515625,7372,3173,10545,0.9118831403260296,0.7569212327977686,7372,61,32749,35406.434782608696,0.03376620748768682,-2570.434782608696,0.9274020443348544,1,0.0,0.0
stage79_00028818,motocross-jump,q12,4,31,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,21916,0.04137134552001953,0.034340858459472656,0.020900726318359375,7372,14093,21465,0.6086256213724347,0.5051981282128121,7372,50,21840,29869.833333333332,0.028486092885335285,-7953.833333333332,0.7337168492179958,1,0.0,0.0
stage79_00028818,motocross-jump,q12,4,31,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27561,0.04137134552001953,0.034340858459472656,0.026284217834472656,7372,8448,15820,0.765391985336999,0.6353242202807681,7372,63,27472,34757.88888888889,0.033147705925835505,-7196.8888888888905,0.7929422896800407,1,0.0,0.0
stage79_00027028,india,q12,8,13,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27550,0.04137134552001953,0.034340858459472656,0.026273727416992188,7372,8459,15831,0.76508650615124,0.6350706530508748,7372,50,27474,30440.894736842107,0.02903069947895251,-2890.894736842107,0.905032530685003,1,0.0,0.0
stage79_00027028,india,q12,8,13,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32444,0.04137134552001953,0.034340858459472656,0.030941009521484375,7372,3565,10937,0.9009969729789775,0.7478850187870266,7372,61,32357,35513.15789473684,0.033867986578690376,-3069.15789473684,0.9135768803260468,1,0.0,0.0
stage79_00021366,bike-packing,q12,8,39,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27073,0.04137134552001953,0.034340858459472656,0.025818824768066406,7372,8936,16308,0.751839817823322,0.6240750559000484,7372,50,26997,30440.894736842107,0.02903069947895251,-3367.894736842107,0.8893628204441048,1,0.0,0.0
stage79_00021366,bike-packing,q12,8,39,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32279,0.04137134552001953,0.034340858459472656,0.030783653259277344,7372,3730,11102,0.8964147851925908,0.7440815103386275,7372,63,32190,35513.15789473684,0.033867986578690376,-3234.15789473684,0.9089307150796592,1,0.0,0.0
stage79_00024828,dog,q12,16,57,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,25423,0.04137134552001953,0.034340858459472656,0.024245262145996094,7372,10586,17958,0.7060179399594546,0.5860399714160577,7372,50,25347,30239.565217391304,0.028838696687117867,-4816.565217391304,0.8407197596008684,1,0.0,0.0
stage79_00024828,dog,q12,16,57,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,31457,0.04137134552001953,0.034340858459472656,0.029999732971191406,7372,4552,11924,0.8735871587658641,0.725133122795694,7372,61,31370,35406.434782608696,0.03376620748768682,-3949.434782608696,0.8884543217396003,1,0.0,0.0
stage79_00021953,bmx-trees,q12,4,69,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,28318,0.04137134552001953,0.034340858459472656,0.027006149291992188,7372,7691,15063,0.78641450748424,0.6527742560106959,7372,50,28242,29869.833333333332,0.028486092885335285,-1551.8333333333321,0.9480468030733349,1,0.0,0.0
stage79_00021953,bmx-trees,q12,4,69,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32949,0.04137134552001953,0.034340858459472656,0.03142261505126953,7372,3060,10432,0.9150212446888278,0.7595260597957632,7372,61,32862,34757.88888888889,0.033147705925835505,-1808.8888888888905,0.9479574580990406,1,0.0,0.0
stage79_00028248,loading,q12,8,43,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,28137,0.04137134552001953,0.034340858459472656,0.026833534240722656,7372,7872,15244,0.7813879863367491,0.6486019225006339,7372,51,28060,30440.894736842107,0.02903069947895251,-2303.894736842107,0.9243158009395256,1,0.0,0.0
stage79_00028248,loading,q12,8,43,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32957,0.04137134552001953,0.034340858459472656,0.03143024444580078,7372,3052,10424,0.9152434113693799,0.7597104723265946,7372,63,32868,35513.15789473684,0.033867986578690376,-2556.15789473684,0.9280222304557244,1,0.0,0.0
stage79_00022888,camel,q12,8,81,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,26428,0.04137134552001953,0.034340858459472656,0.025203704833984375,7372,9581,16953,0.7339276292038102,0.6092067956017612,7372,50,26352,30440.894736842107,0.02903069947895251,-4012.894736842107,0.8681742185460348,1,0.0,0.0
stage79_00022888,camel,q12,8,81,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,31776,0.04137134552001953,0.034340858459472656,0.030303955078125,7372,4233,11605,0.8824460551528784,0.7324865724625989,7372,61,31689,35513.15789473684,0.033867986578690376,-3737.15789473684,0.8947669507224899,1,0.0,0.0
stage79_00030005,pigs,q12,4,6,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,26723,0.04137134552001953,0.034340858459472656,0.02548503875732422,7372,9286,16658,0.7421200255491682,0.6160070076761716,7372,50,26647,29869.833333333332,0.028486092885335285,-3146.833333333332,0.8946484468722624,1,0.0,0.0
stage79_00030005,pigs,q12,4,6,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32294,0.04137134552001953,0.034340858459472656,0.030797958374023438,7372,3715,11087,0.8968313477186259,0.7444272838339365,7372,61,32207,34757.88888888889,0.033147705925835505,-2463.8888888888905,0.9291128153161072,1,0.0,0.0
stage79_00029696,parkour,q12,8,83,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27423,0.04137134552001953,0.034340858459472656,0.026152610778808594,7372,8586,15958,0.7615596100974756,0.6321431041239253,7372,50,27347,30440.894736842107,0.02903069947895251,-3017.894736842107,0.9008605113965458,1,0.0,0.0
stage79_00029696,parkour,q12,8,83,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32832,0.04137134552001953,0.034340858459472656,0.03131103515625,7372,3177,10549,0.9117720569857536,0.7568290265323528,7372,63,32743,35513.15789473684,0.033867986578690376,-2681.15789473684,0.9245024082993702,1,0.0,0.0
stage79_00027304,judo,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,26412,0.04137134552001953,0.034340858459472656,0.025188446044921875,7372,9597,16969,0.733483295842706,0.6088379705400983,7372,50,26336,30239.565217391304,0.028838696687117867,-3827.565217391304,0.8734252562867536,1,0.0,0.0
stage79_00027304,judo,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,31494,0.04137134552001953,0.034340858459472656,0.030035018920898438,7372,4515,11887,0.8746146796634174,0.7259860307507895,7372,61,31407,35406.434782608696,0.03376620748768682,-3912.434782608696,0.8894993295249697,1,0.0,0.0
stage79_00026745,horsejump-high,q12,16,41,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,27735,0.04137134552001953,0.034340858459472656,0.026450157165527344,7372,8274,15646,0.7702241106390069,0.6393351928263525,7372,50,27659,30239.565217391304,0.028838696687117867,-2504.565217391304,0.9171758853215626,1,0.0,0.0
stage79_00026745,horsejump-high,q12,16,41,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,6,9,3686,43381,36009,32863,0.04137134552001953,0.034340858459472656,0.031340599060058594,7372,3146,10518,0.9126329528728929,0.7575436250893248,7372,61,32776,35406.434782608696,0.03376620748768682,-2543.434782608696,0.9281646175836374,1,0.0,0.0
