base_method,codec,reference_gap,keep_fraction,side_bits,task_count,selector_policy,selected_candidate,zlib_level,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_raw_deterministic_mib_per_intermediate_frame,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_savings_bytes_vs_raw,mean_compressed_ratio_vs_raw,mean_stage96_entropy_reference_bytes,mean_stage96_entropy_reference_mib_per_intermediate_frame,mean_compressed_minus_stage96_entropy_reference_bytes,mean_compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference_count,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
linear,q12,4,0.025,2,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,3067.0,1767.0,0.0029249191284179688,0.0016851425170898438,1300.0,0.576133029018585,29869.833333333332,0.028486092885335285,-28102.833333333332,0.05915667423654858,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.025,3,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,4565.0,3196.0,0.004353523254394531,0.003047943115234375,1369.0,0.7001095290251916,29869.833333333332,0.028486092885335285,-26673.833333333332,0.10699758396152194,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.025,4,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,6063.0,3833.0,0.005782127380371094,0.0036554336547851562,2230.0,0.632195282863269,29869.833333333332,0.028486092885335285,-26036.833333333332,0.1283234478487214,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.025,5,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,7562.0,5871.666666666667,0.0072116851806640625,0.005599657694498698,1690.3333333333333,0.776470069646478,29869.833333333332,0.028486092885335285,-23998.166666666668,0.19657513991262088,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.025,6,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,9060.0,6959.0,0.008640289306640625,0.006636619567871094,2101.0,0.7681015452538631,29869.833333333332,0.028486092885335285,-22910.833333333332,0.23297753028417745,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.025,8,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,922.0,12056.0,8576.666666666666,0.01149749755859375,0.008179346720377604,3479.3333333333335,0.7114023446140235,29869.833333333332,0.028486092885335285,-21293.166666666668,0.2871347345984521,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.05,2,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,6060.0,3173.6666666666665,0.005779266357421875,0.0030266443888346353,2886.3333333333335,0.5237073707370737,29869.833333333332,0.028486092885335285,-26696.166666666668,0.10624989537939615,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.05,3,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,9055.0,5750.666666666667,0.008635520935058594,0.005484263102213542,3304.3333333333335,0.635081906865452,29869.833333333332,0.028486092885335285,-24119.166666666668,0.19252423013184986,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.05,4,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,12050.0,7015.333333333333,0.011491775512695312,0.0066903432210286455,5034.666666666667,0.5821853388658368,29869.833333333332,0.028486092885335285,-22854.5,0.23486349103610668,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.05,5,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,15045.0,11117.333333333334,0.014348030090332031,0.010602315266927084,3927.6666666666665,0.738938739337543,29869.833333333332,0.028486092885335285,-18752.5,0.3721926804635669,3,0.0,cross_setting_rate_only_quality_unknown
linear,q12,4,0.05,6,3,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,9,1843.0,18040.0,13303.666666666666,0.01720428466796875,0.012687365214029947,4736.333333333333,0.7374538063562452,29869.833333333332,0.028486092885335285,-16566.166666666668,0.44538804479435773,3,0.0,cross_setting_rate_only_quality_unknown
