keep_fraction,side_bits,group_count,mean_keep_gaussians,mean_raw_deterministic_payload_bytes,mean_compressed_deterministic_payload_bytes,mean_compressed_deterministic_mib_per_intermediate_frame,mean_compressed_ratio_vs_raw,groups_below_stage96_entropy_reference,mean_ratio_vs_stage96_entropy_reference,max_ratio_vs_stage96_entropy_reference,mean_compressed_minus_stage96_entropy_reference_bytes,max_decoded_max_abs_diff_vs_raw_deterministic,comparison_note
0.025,2,6,922.0,3067.0,1966.1027777777774,0.0018750217225816511,0.6410507915806253,6,0.060143833809972215,0.06305333718318676,-30738.52636452242,0.0,cross_setting_rate_only_quality_unknown
0.025,3,6,922.0,4565.0,3548.2527777777777,0.0033838775422838,0.7772733357673115,6,0.10849834445665357,0.11089030165445721,-29156.37636452242,0.0,cross_setting_rate_only_quality_unknown
0.025,4,6,922.0,6063.0,4350.077777777778,0.004148557451036241,0.7174794289588946,6,0.13296020872479455,0.13588299673050622,-28354.551364522416,0.0,cross_setting_rate_only_quality_unknown
0.025,5,6,922.0,7562.0,6580.222222222223,0.0062753889295789934,0.8701695612565752,6,0.201151804732104,0.20363396193140457,-26124.406920077974,0.0,cross_setting_rate_only_quality_unknown
0.025,6,6,922.0,9060.0,7768.891666666666,0.007408992449442545,0.8574935614422369,6,0.23748380960132254,0.23915079659133012,-24935.73747563353,0.0,cross_setting_rate_only_quality_unknown
0.025,8,6,922.0,12056.0,9557.019444444444,0.009114283985561794,0.7927189320209393,6,0.2920260825598751,0.29514409073270886,-23147.60969785575,0.0,cross_setting_rate_only_quality_unknown
0.05,2,6,1843.0,6060.0,3507.836111111111,0.0033453332053290474,0.5788508434176752,6,0.10730938533911555,0.11274964253419481,-29196.793031189085,0.0,cross_setting_rate_only_quality_unknown
0.05,3,6,1843.0,9055.0,6536.563888888889,0.00623375309838189,0.7218734278176576,6,0.19977562799786372,0.20514649870322343,-26168.065253411303,0.0,cross_setting_rate_only_quality_unknown
0.05,4,6,1843.0,12050.0,8065.533333333333,0.007691891988118489,0.669338865836791,6,0.2464752275997427,0.25369188588366065,-24639.09580896686,0.0,cross_setting_rate_only_quality_unknown
0.05,5,6,1843.0,15045.0,12683.53888888889,0.0120959652794732,0.843040138842731,6,0.38752408050323056,0.39482267506483887,-20021.09025341131,0.0,cross_setting_rate_only_quality_unknown
0.05,6,6,1843.0,18040.0,15040.72222222222,0.01434395048353407,0.8337429169746242,6,0.4595724408528656,0.4667089499820716,-17663.906920077974,0.0,cross_setting_rate_only_quality_unknown
0.05,8,6,1843.0,24029.0,18539.280555555557,0.01768043571048313,0.7715377483688691,6,0.5664697806110922,0.5723850314931457,-14165.348586744638,0.0,cross_setting_rate_only_quality_unknown
