sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,indices
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,motion_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 1 2 3 4 5 6 7 8 44 45 47 48 49 64 65 71 72 78 79 80
n3dv,gaussian_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 2 4 6 8 44 46 48 50 52 54 60 62 64 66 70 72 74 76 78 80
n3dv,rd_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 1 2 3 4 5 6 8 36 44 46 48 50 52 60 64 66 70 72 78 80
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,0 8 16 24 32 40 48 56 64 72 80
n3dv,motion_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 1 2 3 4 5 6 44 47 48 80
n3dv,gaussian_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 2 4 6 44 46 48 54 72 78 80
n3dv,rd_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 1 2 3 4 5 6 44 48 78 80
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,0 16 32 48 64 80
n3dv,motion_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 1 2 3 4 80
n3dv,gaussian_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 2 4 6 48 80
n3dv,rd_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 1 2 4 6 80
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,motion_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 4 5 18 20 21 24 25 43 57 58 59 60 61 62 63 64 65 66 67 80
meetroom,gaussian_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 2 4 6 18 20 22 24 26 28 40 42 44 56 58 60 62 64 66 68 80
meetroom,rd_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 2 4 6 18 20 22 24 26 28 40 42 44 58 59 60 62 64 66 68 80
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,0 8 16 24 32 40 48 56 64 72 80
meetroom,motion_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 58 59 60 61 62 63 65 66 67 80
meetroom,gaussian_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 20 24 26 42 58 60 62 64 66 80
meetroom,rd_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 18 20 24 26 58 60 62 64 66 80
meetroom,uniform,16,81,6,0.07407407407407407,0.033854166666666664,0 16 32 48 64 80
meetroom,motion_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 59 60 66 67 80
meetroom,gaussian_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 58 60 64 66 80
meetroom,rd_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 58 60 62 66 80
driving,uniform,4,81,21,0.25925925925925924,0.11848958333333333,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
driving,motion_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 21 24 80
driving,gaussian_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 32 38 40 44 76 80
driving,rd_aware,4,81,21,0.25925925925925924,0.11848958333333333,0 1 2 3 4 5 6 8 9 10 11 12 14 16 18 20 22 24 26 38 80
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,0 8 16 24 32 40 48 56 64 72 80
driving,motion_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 1 3 4 5 6 8 9 11 12 80
driving,gaussian_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 2 4 6 8 10 12 14 16 38 80
driving,rd_aware,8,81,11,0.13580246913580246,0.062065972222222224,0 1 2 4 6 8 10 12 14 18 80
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,0 16 32 48 64 80
driving,motion_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 1 3 6 12 80
driving,gaussian_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 2 4 10 12 80
driving,rd_aware,16,81,6,0.07407407407407407,0.033854166666666664,0 2 4 6 12 80
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76
robot,motion_aware,4,77,20,0.2597402597402597,0.11870941558441558,0 8 10 11 12 22 23 24 25 38 39 40 41 42 43 44 45 54 75 76
robot,gaussian_aware,4,77,20,0.2597402597402597,0.11870941558441558,0 2 6 8 10 12 20 22 24 26 36 38 40 42 44 46 52 54 74 76
robot,rd_aware,4,77,20,0.2597402597402597,0.11870941558441558,0 8 10 11 12 22 23 24 36 38 40 41 42 43 44 54 58 74 75 76
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,0 8 16 24 32 40 48 56 64 72 76
robot,motion_aware,8,77,11,0.14285714285714285,0.06529017857142858,0 10 11 22 23 24 40 41 43 44 76
robot,gaussian_aware,8,77,11,0.14285714285714285,0.06529017857142858,0 8 10 12 22 24 38 40 42 44 76
robot,rd_aware,8,77,11,0.14285714285714285,0.06529017857142858,0 8 10 22 24 40 41 42 43 44 76
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,0 16 32 48 64 76
robot,motion_aware,16,77,6,0.07792207792207792,0.03561282467532467,0 40 41 43 44 76
robot,gaussian_aware,16,77,6,0.07792207792207792,0.03561282467532467,0 10 40 42 44 76
robot,rd_aware,16,77,6,0.07792207792207792,0.03561282467532467,0 10 40 42 44 76
