base_method,codec,reference_gap,setting_label,task_count,keep_fraction,side_bits,zlib_level,mean_keep_gaussians,mean_compressed_payload_bytes,mean_compressed_mib_per_intermediate_frame,mean_q12_main_anchor_mib_per_frame,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,mean_base_psnr,mean_setting_psnr,mean_delta_psnr_vs_base,positive_delta_vs_base_count,mean_q6_top10_psnr,mean_delta_psnr_vs_q6_top10,near_q6_within_0p10db_count,max_decoded_max_abs_diff_vs_raw_deterministic
linear,q12,4,q6_top10,3,0.1,6,9,3686.0,25652.333333333332,0.024463971455891926,0.18193822076791313,0.20640219222380507,0.20028619935983208,19.98979652819421,21.19584404375806,1.206047515563854,3,21.19584404375806,0.0,3,0.0
linear,q12,4,q5_top10,3,0.1,5,9,3686.0,21282.333333333332,0.020296414693196613,0.18193822076791313,0.20223463546110976,0.1971605317878106,19.98979652819421,21.197054081925554,1.207257553731342,3,21.19584404375806,0.0012100381674879184,3,0.0
linear,q12,4,q4_top10,3,0.1,4,9,3686.0,12980.666666666666,0.012379328409830729,0.18193822076791313,0.19431754917774388,0.19122271707528618,19.98979652819421,21.184200427495696,1.1944038993014867,3,21.19584404375806,-0.011643616262367354,3,0.0
linear,q12,4,q6_top5,3,0.05,6,9,1843.0,13303.666666666666,0.012687365214029947,0.18193822076791313,0.1946255859819431,0.1914537446784356,19.98979652819421,20.644925040872973,0.6551285126787647,3,21.19584404375806,-0.5509190028850893,0,0.0
linear,q12,4,q4_top20,3,0.2,4,9,7373.0,24664.333333333332,0.02352174123128255,0.18193822076791313,0.2054599619991957,0.19957952669137505,19.98979652819421,22.39916041057248,2.409363882378275,3,21.19584404375806,1.203316366814421,3,0.0
linear,q12,8,q6_top10,5,0.1,6,9,3686.0,27322.2,0.026056480407714844,0.09762538675351436,0.1236818671612292,0.12042480711026485,18.12111775349949,19.389779046944618,1.2686612934451245,5,19.389779046944618,0.0,5,0.0
linear,q12,8,q5_top10,5,0.1,5,9,3686.0,23084.4,0.02201499938964844,0.09762538675351436,0.11964038614316279,0.11688851121945673,18.12111775349949,19.393069116021557,1.2719513625220684,5,19.389779046944618,0.0032900690769441356,5,0.0
linear,q12,8,q4_top10,5,0.1,4,9,3686.0,14508.4,0.013836288452148437,0.09762538675351436,0.11146167520566279,0.10973213914914423,18.12111775349949,19.352607676798534,1.2314899232990446,5,19.389779046944618,-0.03717137014607985,5,0.0
linear,q12,8,q6_top5,5,0.05,6,9,1843.0,14035.6,0.013385391235351563,0.09762538675351436,0.11101077798886591,0.10933760408444697,18.12111775349949,18.84905159387758,0.7279338403780862,5,19.389779046944618,-0.5407274530670382,0,0.0
linear,q12,8,q4_top20,5,0.2,4,9,7373.0,26916.2,0.025669288635253907,0.09762538675351436,0.12329467538876826,0.12008601430936153,18.12111775349949,20.219780305721546,2.098662552222052,5,19.389779046944618,0.8300012587769278,5,0.0
