task_id,sequence,codec,reference_gap,target_index,predictor_name,base_method,full_predictor_method,setting_label,setting_role,keep_fraction,side_bits,keep_gaussians,residual_value_source,transmitted_residual_payload_bytes,transmitted_selected_index_bytes,q12_main_anchor_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,full_predictor_psnr,selected_predicted_psnr,delta_psnr_vs_base,delta_psnr_vs_full_predictor
stage79_00023867,cows,q12,4,70,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.175683682254792,0.13855415937665327,-0.788248891799828
stage79_00023867,cows,q12,4,70,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.111701783796015,0.07457226091787561,-0.8522307902586057
stage79_00027310,judo,q12,16,15,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.120204944096717,-0.18698250311279452,1.9371564501797742
stage79_00027310,judo,q12,16,15,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.293156882267695,-0.014030564941815982,2.1101083883507528
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.736351604461994,0.43273730386437137,-0.8445835275867033
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.56099807018077,0.25738376958314646,-1.0199370618679282
stage79_00024697,dog,q12,4,23,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,20.24060665929353,20.70005707111893,20.30670579542339,0.06609913612986063,-0.3933512756955402
stage79_00024697,dog,q12,4,23,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,20.24060665929353,20.70005707111893,20.27095442113934,0.03034776184581034,-0.42910264997959047
stage79_00030048,pigs,q12,4,63,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.591030973570312,25.948488334018016,26.302395527708875,-0.28863544586143774,0.35390719369085843
stage79_00030048,pigs,q12,4,63,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.591030973570312,25.948488334018016,26.466362634719978,-0.12466833885033424,0.5178743007019619
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.48104462707022,0.018473117105692438,-0.2559836138804652
stage79_00031098,soapbox,q12,16,87,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,14.462571509964528,14.737028240950686,14.466147465483562,0.003575955519034224,-0.2708807754671234
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.98247502851766,0.263786211511043,-0.33849271702582584
stage79_00028605,mbike-trick,q12,8,58,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,20.718688817006615,21.320967745543484,20.889663730462757,0.17097491345614202,-0.4313040150807268
stage79_00021916,bmx-trees,q12,4,19,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,17.279025530927047,17.578954941088917,17.346527247285294,0.06750171635824742,-0.23242769380362205
stage79_00021916,bmx-trees,q12,4,19,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,17.279025530927047,17.578954941088917,17.321444880197546,0.042419349270499396,-0.2575100608913701
stage79_00030861,soapbox,q12,4,3,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.61657426705727,25.118114621822315,25.848926525208178,-0.7676477418490926,0.7308119033858631
stage79_00030861,soapbox,q12,4,3,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,26.61657426705727,25.118114621822315,26.182993963667187,-0.4335803033900838,1.0648793418448719
stage79_00027779,lab-coat,q12,16,18,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,17.45723647076153,18.08396385314128,17.659913737999815,0.20267726723828616,-0.4240501151414655
stage79_00027779,lab-coat,q12,16,18,adapter_delta_selected_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,3686,feed_forward_stage65_adapter_delta,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,17.45723647076153,18.08396385314128,17.59100951751332,0.13377304675179147,-0.4929543356279602
stage79_00023459,car-shadow,q12,4,9,adapter_delta_selected_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,7373,feed_forward_stage65_adapter_delta,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,18.38800134232309,19.168512306678732,18.61660124114741,0.22859989882432075,-0.5519110655313213
