task_split,setting_label,setting_role,keep_fraction,side_bits,task_id,dataset,split,sequence,codec,bits,reference_gap,target_index,normalized_time,left_anchor_source_item,left_anchor_source_side,right_anchor_source_item,right_anchor_source_side,target_dense_anchor_source_item,target_dense_anchor_source_side,keep_gaussians,feature_dim,residual_dim,feature_rms,label_rms
train,q4_top20,primary,0.2,4,stage79_00007234,DAVIS,train,elephant,q12,12,4,6,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000005_000006.pt,right_anchor,7373,56,13,0.46837010979652405,0.12367836385965347
train,q4_top10,low_rate,0.1,4,stage79_00007234,DAVIS,train,elephant,q12,12,4,6,0.5,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/elephant/gap1/pair_000005_000006.pt,right_anchor,3686,56,13,0.47423991560935974,0.13903793692588806
train,q4_top20,primary,0.2,4,stage79_00012770,DAVIS,train,motocross-bumps,q12,12,8,5,0.625,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000004_000005.pt,right_anchor,7373,56,13,0.43390533328056335,0.10626465082168579
train,q4_top10,low_rate,0.1,4,stage79_00012770,DAVIS,train,motocross-bumps,q12,12,8,5,0.625,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/motocross-bumps/gap1/pair_000004_000005.pt,right_anchor,3686,56,13,0.4379362463951111,0.12361970543861389
train,q4_top20,primary,0.2,4,stage79_00015575,DAVIS,train,scooter-board,q12,12,16,87,0.7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000079_000080.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000089_000090.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000086_000087.pt,right_anchor,7373,56,13,0.4922475218772888,0.18232372403144836
train,q4_top10,low_rate,0.1,4,stage79_00015575,DAVIS,train,scooter-board,q12,12,16,87,0.7,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000079_000080.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000089_000090.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/scooter-board/gap1/pair_000086_000087.pt,right_anchor,3686,56,13,0.4993593692779541,0.19609367847442627
train,q4_top20,primary,0.2,4,stage79_00009570,DAVIS,train,kite-walk,q12,12,8,61,0.625,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000060_000061.pt,right_anchor,7373,56,13,0.4608401656150818,0.12837110459804535
train,q4_top10,low_rate,0.1,4,stage79_00009570,DAVIS,train,kite-walk,q12,12,8,61,0.625,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000055_000056.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000063_000064.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/kite-walk/gap1/pair_000060_000061.pt,right_anchor,3686,56,13,0.46061113476753235,0.14722931385040283
train,q4_top20,primary,0.2,4,stage79_00000799,DAVIS,train,bmx-bumps,q12,12,16,22,0.375,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000021_000022.pt,right_anchor,7373,56,13,0.4538864493370056,0.1428566873073578
train,q4_top10,low_rate,0.1,4,stage79_00000799,DAVIS,train,bmx-bumps,q12,12,16,22,0.375,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000015_000016.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000031_000032.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bmx-bumps/gap1/pair_000021_000022.pt,right_anchor,3686,56,13,0.45920825004577637,0.1487724483013153
