ablation_group,source_stage,method_label,setting_label,task_count,direct_total_mib_per_frame,psnr,delta_psnr_vs_linear_base,delta_psnr_vs_full_adapter,eval_mse_reduction,teacher_required,deployable_no_teacher,takeaway
validation_scale_adapter_delta,124,adapter_delta_selected_predictor,q4_top10,12,0.1292426995089139,20.107502942874657,0.027863362265533247,-0.0749220450819122,,0,1,12-task smoke; positive but small no-teacher gain.
validation_scale_adapter_delta,125,adapter_delta_selected_predictor,q4_top10,60,0.11729838135687401,18.994813480380337,0.04401048394920189,-0.19282981274515912,,0,1,60-task validation; gain survives and q4_top20 is best.
mse_vs_render_dedicated_mlp,127,dedicated_mlp_selected_predictor_mse_eval,q4_top10,60,,,,,0.10293283119315721,0,1,"Residual MSE improves, but this does not guarantee rendered PSNR."
mse_vs_render_dedicated_mlp,129,dedicated_mlp_selected_predictor_rendered,q4_top10,60,0.11729838135687401,18.865777753557193,-0.08502524287394495,-0.321865539568306,,0,1,"Rendered PSNR regresses, so MLP is not render-safe."
validation_scale_adapter_delta,124,adapter_delta_selected_predictor,q4_top20,12,0.1292426995089139,20.099010301231182,0.019370720622054066,-0.08341468672539139,,0,1,12-task smoke; positive but small no-teacher gain.
validation_scale_adapter_delta,125,adapter_delta_selected_predictor,q4_top20,60,0.11729838135687401,19.010259350474836,0.059456354043700026,-0.17738394265066096,,0,1,60-task validation; gain survives and q4_top20 is best.
mse_vs_render_dedicated_mlp,127,dedicated_mlp_selected_predictor_mse_eval,q4_top20,60,,,,,0.08808295024199653,0,1,"Residual MSE improves, but this does not guarantee rendered PSNR."
mse_vs_render_dedicated_mlp,129,dedicated_mlp_selected_predictor_rendered,q4_top20,60,0.11729838135687401,18.76520305064309,-0.1855999457880447,-0.4224402424824056,,0,1,"Rendered PSNR regresses, so MLP is not render-safe."
teacher_vs_predictor_keep_fraction,122,teacher_compressed_sideinfo,q4_top10,60,0.12124604296658527,19.73848817438193,1.2544684336567946,,,1,0,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
teacher_vs_predictor_keep_fraction,125,adapter_delta_selected_predictor,q4_top10,60,0.11729838135687401,18.994813480380337,0.04401048394920189,-0.19282981274515912,,0,1,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
teacher_vs_predictor_keep_fraction,129,dedicated_mlp_selected_predictor,q4_top10,60,0.11729838135687401,18.865777753557193,-0.08502524287394495,-0.321865539568306,,0,1,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
teacher_vs_predictor_keep_fraction,122,teacher_compressed_sideinfo,q4_top20,60,0.1337680887378662,20.689270746602087,2.2052510058769683,,,1,0,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
teacher_vs_predictor_keep_fraction,125,adapter_delta_selected_predictor,q4_top20,60,0.11729838135687401,19.010259350474836,0.059456354043700026,-0.17738394265066096,,0,1,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
teacher_vs_predictor_keep_fraction,129,dedicated_mlp_selected_predictor,q4_top20,60,0.11729838135687401,18.76520305064309,-0.1855999457880447,-0.4224402424824056,,0,1,Teacher quality is highest; adapter-delta is current best deployable no-teacher point.
