task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00021591,blackswan,4,q4_top10,20.704000294004928,21.566378063122485,20.83042647870833,0.1264261847034014,20.711820779115357,0.007820485110428876,-0.11860569959297251,-0.8545572840071287,0,1
stage79_00021916,bmx-trees,4,q4_top10,17.279025530927047,17.578954941088917,17.321444880197546,0.042419349270499396,17.23537563949359,-0.0436498914334571,-0.0860692407039565,-0.34357930159532657,1,1
stage79_00022376,breakdance,4,q4_top10,20.594228353981762,19.24412039888025,20.60845147999226,0.014223126010499243,20.46269823203968,-0.13153012194208102,-0.14575324795258027,1.2185778331594328,1,1
stage79_00022805,camel,4,q4_top10,20.41785335949318,20.758812463148463,20.419020248132902,0.0011668886397231404,20.126587016108534,-0.2912663433846454,-0.29243323202436855,-0.6322254470399287,1,1
stage79_00023210,car-roundabout,4,q4_top10,16.10313152159008,16.943869832801933,16.208086043200588,0.10495452161050878,16.129913119194065,0.026781597603985574,-0.0781729240065232,-0.8139567136078689,0,1
stage79_00023459,car-shadow,4,q4_top10,18.38800134232309,19.168512306678732,18.530971901032576,0.14297055870948583,18.463354533277656,0.07535319095456572,-0.06761736775492011,-0.7051577734010763,0,1
stage79_00023867,cows,4,q4_top10,19.03712952287814,19.96393257405462,19.111701783796015,0.07457226091787561,19.091142053644116,0.05401253076597712,-0.020559730151898492,-0.8727905204105042,0,1
stage79_00024343,dance-twirl,4,q4_top10,17.62841818138416,18.627060272368908,17.803841381873532,0.175423200489373,17.7064401754726,0.07802199408844146,-0.09740120640093153,-0.9206200968963074,0,1
stage79_00024697,dog,4,q4_top10,20.24060665929353,20.70005707111893,20.27095442113934,0.03034776184581034,20.10568632538037,-0.13492033391316127,-0.1652680957589716,-0.5943707457385621,1,1
stage79_00025543,drift-straight,4,q4_top10,14.67460981962345,15.148767763688598,14.696581506968709,0.021971687345258673,14.674805868911163,0.0001960492877124409,-0.02177563805754623,-0.47396189477743533,0,1
stage79_00025930,goat,4,q4_top10,18.07351754451704,18.95342358712822,18.155873162880226,0.08235561836318794,18.034056467153817,-0.03946107736322091,-0.12181669572640885,-0.9193671199744031,1,1
stage79_00026324,gold-fish,4,q4_top10,27.28953665715274,26.58899000223883,26.981603866784557,-0.30793279036818433,26.716511761898193,-0.573024895254548,-0.2650921048863637,0.12752175965936274,1,1
stage79_00027009,india,4,q4_top10,19.206099599335687,20.036125766590246,19.321100657797857,0.11500105846216968,19.310108657820663,0.10400905848497644,-0.010991999977193245,-0.7260171087695824,0,1
stage79_00027456,kite-surf,4,q4_top10,23.60997087197785,24.49923916079181,24.004301439415766,0.3943305674379154,23.761946484671206,0.1519756126933558,-0.2423549547445596,-0.7372926761206031,0,1
stage79_00027720,lab-coat,4,q4_top10,17.896288452596853,18.45779465895117,17.990703007252176,0.094414554655323,17.929906538824987,0.03361808622813456,-0.060796468427188444,-0.5278881201261818,0,1
stage79_00027959,libby,4,q4_top10,17.864701418383284,18.193858374576198,17.906253623415257,0.04155220503197299,17.905697210542076,0.040995792158792455,-0.000556412873180534,-0.28816116403412195,0,1
stage79_00028536,mbike-trick,4,q4_top10,23.42483919206513,24.297743177110597,23.73156673245909,0.3067275403939611,23.388883830945456,-0.03595536111967235,-0.34268290151363345,-0.9088593461651406,1,1
stage79_00028807,motocross-jump,4,q4_top10,13.607505745825272,13.730275461210738,13.614232132577138,0.006726386751866542,13.635343077391624,0.02783733156635293,0.021110944814486388,-0.0949323838191134,0,0
stage79_00029145,paragliding-launch,4,q4_top10,25.636634782020344,26.150875576254613,25.802750746081855,0.16611596406151108,25.61520839333426,-0.021426388686084152,-0.18754235274759523,-0.5356671829203528,1,1
stage79_00030048,pigs,4,q4_top10,26.591030973570312,25.948488334018016,26.466362634719978,-0.12466833885033424,26.441526605494133,-0.14950436807617962,-0.02483602922584538,0.49303827147611656,1,1
stage79_00030332,scooter-black,4,q4_top10,11.762205560622977,12.144251877592998,11.795215990800958,0.03301043017798122,11.75913339180405,-0.0030721688189263574,-0.03608259899690758,-0.38511848578894714,1,1
stage79_00030529,shooting,4,q4_top10,15.284502709973552,15.379591534631992,15.285404669134945,0.0009019591613927957,15.358462986945119,0.07396027697156704,0.07305831781017424,-0.02112854768687278,0,0
stage79_00030861,soapbox,4,q4_top10,26.61657426705727,25.118114621822315,26.182993963667187,-0.4335803033900838,25.862111788434113,-0.7544624786231573,-0.3208821752330735,0.7439971666117984,1,1
stage79_00021616,blackswan,8,q4_top10,19.06082622468775,19.74092822045288,19.1899848575906,0.1291586329028469,19.146443859535008,0.0856176348472566,-0.04354099805559031,-0.5944843609178712,0,1
stage79_00022423,breakdance,8,q4_top10,18.386035031581144,17.715492927485272,18.423891281198202,0.03785624961705736,18.43522828437668,0.049193252795536324,0.011337003178478966,0.7197353568914089,0,0
stage79_00022882,camel,8,q4_top10,19.078798005317868,20.19563170937669,19.217380338878193,0.13858233356032557,19.086697994626036,0.007899989308167932,-0.13068234425215763,-1.1089337147506555,0,1
