task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00027031,india,8,q4_top20,21.848984139798763,22.35785510776195,22.064412803745842,0.2154286639470797,20.852531719473188,-0.9964524203255749,-1.2118810842726546,-1.5053233882887618,1,1
stage79_00027268,judo,8,q4_top20,30.111798053470235,26.563695046436106,29.03939603849833,-1.0724020149719031,27.946791238977532,-2.1650068144927026,-1.0926047995207995,1.3830961925414265,1,1
stage79_00027310,judo,16,q4_top20,27.30718744720951,25.183048493916942,27.120204944096717,-0.18698250311279452,26.06545461780072,-1.2417328294087895,-1.054750326295995,0.8824061238837793,1,1
stage79_00026493,gold-fish,16,q4_top20,25.894456263963935,25.53603304191234,25.74559082789068,-0.14886543607325464,24.831161834638028,-1.0632944293259072,-0.9144289932526526,-0.7048712072743122,1,1
stage79_00028856,motocross-jump,8,q4_top20,21.3325823825336,21.491838832814118,21.315955492394853,-0.016626890138748962,20.449461402966076,-0.8831209795675257,-0.8664940894287767,-1.0423774298480417,1,1
stage79_00028536,mbike-trick,4,q4_top20,23.42483919206513,24.297743177110597,23.867333167021737,0.4424939749566086,23.05057673147903,-0.3742624605860989,-0.8167564355427075,-1.2471664456315672,1,1
stage79_00030952,soapbox,8,q4_top20,20.26327365950387,21.46335813797913,20.571570474077593,0.3082968145737226,19.846248741570854,-0.4170249179330163,-0.7253217325067389,-1.6171093964082779,1,1
stage79_00027310,judo,16,q4_top10,27.30718744720951,25.183048493916942,27.293156882267695,-0.014030564941815982,26.582273009677802,-0.7249144375317087,-0.7108838725898927,1.39922451576086,1,1
stage79_00027031,india,8,q4_top10,21.848984139798763,22.35785510776195,21.97954774238911,0.13056360259034605,21.285596606112605,-0.5633875336861571,-0.6939511362765032,-1.072258501649344,1,1
stage79_00028856,motocross-jump,8,q4_top10,21.3325823825336,21.491838832814118,21.243495393138954,-0.08908698939464799,20.556628712352722,-0.7759536701808791,-0.6868666807862311,-0.9352101204613952,1,1
stage79_00026699,horsejump-high,8,q4_top20,19.303614300597623,20.580935132048698,19.736351604461994,0.43273730386437137,19.094444921910593,-0.20916937868702945,-0.6419066825514008,-1.4864902101381041,1,1
stage79_00030141,pigs,16,q4_top20,26.505739172329346,26.256372001884575,26.342085575593877,-0.1636535967354682,25.754613086727993,-0.7511260856013529,-0.5874724888658847,-0.5017589151565822,1,1
stage79_00026493,gold-fish,16,q4_top10,25.894456263963935,25.53603304191234,25.82170908561286,-0.0727471783510758,25.271073149073153,-0.6233831148907818,-0.550635936539706,-0.26495989283918675,1,1
stage79_00025066,dogs-jump,8,q4_top20,23.788700530499966,23.464897835204344,23.88110492305711,0.0924043925571425,23.37717801130921,-0.41152251919075766,-0.5039269117479002,-0.08771982389513511,1,1
stage79_00026324,gold-fish,4,q4_top20,27.28953665715274,26.58899000223883,26.811306633607735,-0.4782300235450059,26.3090521787883,-0.980484478364442,-0.5022544548194361,-0.2799378234505312,1,1
stage79_00030861,soapbox,4,q4_top20,26.61657426705727,25.118114621822315,25.848926525208178,-0.7676477418490926,25.353344078596393,-1.2632301884608772,-0.49558244661178463,0.23522945677407847,1,1
stage79_00022805,camel,4,q4_top20,20.41785335949318,20.758812463148463,20.40975213347241,-0.008101226020770014,19.94511939113899,-0.4727339683541878,-0.4646327423334178,-0.813693072009471,1,1
stage79_00027131,india,16,q4_top20,16.978827498399266,17.408562609593186,17.067554639913972,0.08872714151470618,16.610903629719406,-0.3679238686798598,-0.456651010194566,-0.7976589798737805,1,1
stage79_00027779,lab-coat,16,q4_top20,17.45723647076153,18.08396385314128,17.659913737999815,0.20267726723828616,17.214800456239697,-0.24243601452183228,-0.44511328176011844,-0.869163396901584,1,1
stage79_00027268,judo,8,q4_top10,30.111798053470235,26.563695046436106,29.352553220286403,-0.759244833183832,28.935496361953167,-1.176301691517068,-0.41705685833323614,2.371801315517061,1,1
