predictor_name,setting_label,setting_role,keep_fraction,side_bits,adapter_delta_scale,task_count,mean_keep_gaussians,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,mean_base_psnr,mean_full_predictor_psnr,mean_selected_predicted_psnr,mean_delta_psnr_vs_base,mean_delta_psnr_vs_full_predictor,positive_delta_vs_base_count,near_full_within_0p10db_count
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,0.0,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.079639580609125,0.0,-0.10278540734744546,0,3
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,0.25,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.10677507150014,0.027135490891015596,-0.07564991645642986,10,3
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,0.5,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.118434640717442,0.038795060108318825,-0.06399034723912662,11,3
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,0.75,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.119030034749542,0.039390454140419674,-0.06339495320702578,9,3
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,1.0,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.107502942874657,0.027863362265533247,-0.0749220450819122,9,3
adapter_delta_selected_scaled_v1,q4_top10,low_rate,0.1,4,1.25,12,3686.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.06025164557384,-0.01938793503528539,-0.12217334238273085,8,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,0.0,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.079639580609125,0.0,-0.10278540734744546,0,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,0.25,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.122723789458963,0.04308420884983969,-0.059701198497605766,10,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,0.5,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.135994499746502,0.056354919137378445,-0.04643048821006701,8,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,0.75,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.12923562659979,0.049596045990665104,-0.05318936135678035,9,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,1.0,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.099010301231182,0.019370720622054066,-0.08341468672539139,9,3
adapter_delta_selected_scaled_v1,q4_top20,primary,0.2,4,1.25,12,7373.0,0.1292426995089139,0.1292426995089139,20.079639580609125,20.18242498795657,20.003406047884273,-0.07623353272485378,-0.17901894007229924,7,3
