sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,motion_spaced,4,81,21,0.25925925925925924,0.11848958333333333,8,4.0,1 1 1 1 1 1 2 8 8 8 8 4 3 1 1 7 8 8 6 2,0 1 2 3 4 5 6 8 16 24 32 40 44 47 48 49 56 64 72 78 80
n3dv,gaussian_spaced,4,81,21,0.25925925925925924,0.11848958333333333,8,4.0,2 2 2 2 8 8 8 8 4 2 2 2 4 2 8 6 2 4 2 2,0 2 4 6 8 16 24 32 40 44 46 48 50 54 56 64 70 72 76 78 80
n3dv,rd_spaced,4,81,21,0.25925925925925924,0.11848958333333333,8,4.0,1 1 1 1 1 1 2 8 8 8 8 4 2 2 8 8 6 2 6 2,0 1 2 3 4 5 6 8 16 24 32 40 44 46 48 56 64 70 72 78 80
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80
n3dv,motion_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,1 1 1 1 1 11 16 16 16 16,0 1 2 3 4 5 16 32 48 64 80
n3dv,gaussian_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,2 2 2 10 16 14 2 16 14 2,0 2 4 6 16 32 46 48 64 78 80
n3dv,rd_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,1 1 1 1 2 10 16 16 16 16,0 1 2 3 4 6 16 32 48 64 80
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80
n3dv,motion_spaced,16,81,6,0.07407407407407407,0.033854166666666664,32,16.0,1 1 30 32 16,0 1 2 32 64 80
n3dv,gaussian_spaced,16,81,6,0.07407407407407407,0.033854166666666664,32,16.0,2 2 28 32 16,0 2 4 32 64 80
