comparison_name,reference_scope,ours_scope,reference_gap,ours_gap,ours_codec,ours_method,ours_rate_mib_per_frame,ours_middle_psnr,reference_middle_psnr,middle_gap_to_reference,scope_matched,metric_matched,rate_matched,use_as_final_claim
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q8,linear,0.12129653387470925,17.61796945986582,23.004337221027775,-5.3863677611619565,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q8,adapter,0.12129653387470925,18.247303018014392,23.004337221027775,-4.757034203013383,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q8,linear,0.06508594500594155,16.523376394314827,21.56004909948801,-5.036672705173181,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q8,adapter,0.06508594500594155,17.068303922946175,21.56004909948801,-4.4917451765418335,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q10,linear,0.1516173773213112,17.656157407040766,23.004337221027775,-5.348179813987009,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q10,adapter,0.1516173773213112,18.25601918552348,23.004337221027775,-4.748318035504294,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q10,linear,0.08135566587972795,16.54012288287085,21.56004909948801,-5.019926216617158,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q10,adapter,0.08135566587972795,17.06974217895638,21.56004909948801,-4.49030692053163,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q12,linear,0.18193822076791313,17.660375119349375,23.004337221027775,-5.3439621016784,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",5,4,q12,adapter,0.18193822076791313,18.256196169477683,23.004337221027775,-4.748141051550093,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q12,linear,0.09762538675351436,16.542993366151862,21.56004909948801,-5.0170557333361465,0,1,n/a_reference_has_no_anchor_codec_rate,0
Stage78_anchor_only_vs_Stage75_reference,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float","Stage77 scoped 4 DAVIS val sequences: bmx-trees, car-shadow, goat, soapbox",8,8,q12,adapter,0.09762538675351436,17.06969395261803,21.56004909948801,-4.490355146869977,0,1,n/a_reference_has_no_anchor_codec_rate,0
