codec,bits,reference_gap,method,sequence_count,frame_count,middle_frame_count,mean_anchor_mib_per_frame_with_metadata,mean_all_psnr,mean_middle_psnr,mean_given_psnr,mean_all_ssim,mean_middle_ssim,mean_given_ssim,delta_middle_vs_float32_same_method,delta_middle_vs_linear_same_codec,gap_to_stage75_middle_target
q8,8,4,adapter,4,309,227,0.12129653387470925,20.57270098931695,18.246391866042277,27.012605513504152,0.4652327264879128,0.3398345446927957,0.8123715956036638,-0.008940774375478355,0.6287984535119797,-4.757945354985498
q8,8,4,dense_direct,4,309,227,0.12129653387470925,27.044935397848864,27.056614034484408,27.012605513504152,0.8135151531318244,0.8139282443975037,0.8123715956036638,-2.693040328852028,9.43902062195411,4.052276813456633
q8,8,4,linear,4,309,227,0.12129653387470925,20.110768144827567,17.617593412530297,27.012605513504152,0.42520256422484193,0.2853441476034173,0.8123715956036638,-0.04270789370498207,0.0,-5.386743808497478
q8,8,8,adapter,4,309,265,0.06508594500594155,18.480296729121694,17.066502450027095,26.995194091850532,0.37206621523524563,0.2991479316128875,0.8112331506880847,-0.001370291104478838,0.5443924513695038,-4.493546649460914
q8,8,8,dense_direct,4,309,265,0.06508594500594155,27.044935397848864,27.05319433167501,26.995194091850532,0.8135151531318244,0.8138940516507851,0.8112331506880847,-2.6923102084470223,10.531084333017418,5.4931452321870005
q8,8,8,linear,4,309,265,0.06508594500594155,18.013422943966617,16.52210999865759,26.995194091850532,0.32703960830387946,0.2466452088136718,0.8112331506880847,-0.019725196732448325,0.0,-5.0379391008304175
q8,8,16,adapter,4,309,284,0.036980650571557694,16.865547380070296,15.974361767316834,26.98941594094962,0.31162646714248315,0.2678352985006403,0.8090941429138183,0.0031610306218432527,0.43485287029608344,
q8,8,16,dense_direct,4,309,284,0.036980650571557694,27.044935397848864,27.049822673984366,26.98941594094962,0.8135151531318244,0.8139043265665081,0.8090941429138183,-2.6870987221860574,11.510313776963615,
q8,8,16,linear,4,309,284,0.036980650571557694,16.465876780833767,15.53950889702075,26.98941594094962,0.2669392305284642,0.21921432626919007,0.8090941429138183,-0.006795894815736503,0.0,
q12,12,4,adapter,4,309,227,0.18193822076791313,21.284133638556813,18.25528373980314,29.668876650960268,0.49113690315423275,0.3437854078175738,0.8990489695130325,-4.890061461537698e-05,0.5952401824727076,-4.749053481224635
q12,12,4,dense_direct,4,309,227,0.18193822076791313,29.708204125401867,29.722410525860948,29.668876650960268,0.8999670765160742,0.9002987275039572,0.8990489695130325,-0.02724383747548842,12.062366968530515,6.718073304833172
