selection,task_id,task_split,sequence,codec,bits,reference_gap,left_index,right_index,target_index,normalized_time,target_rgb_path,left_anchor_source_item,left_anchor_source_side,right_anchor_source_item,right_anchor_source_side
train,stage79_00000205,train,bear,q12,12,4,0,4,1,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00001.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor
train,stage79_00000206,train,bear,q12,12,4,0,4,2,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00002.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor
train,stage79_00000207,train,bear,q12,12,4,0,4,3,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00003.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000000_000001.pt,left_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor
train,stage79_00000208,train,bear,q12,12,4,4,8,5,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00005.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor
train,stage79_00000209,train,bear,q12,12,4,4,8,6,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00006.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor
train,stage79_00000210,train,bear,q12,12,4,4,8,7,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00007.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000003_000004.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor
train,stage79_00000211,train,bear,q12,12,4,8,12,9,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00009.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor
train,stage79_00000212,train,bear,q12,12,4,8,12,10,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00010.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor
train,stage79_00000213,train,bear,q12,12,4,8,12,11,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00011.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000007_000008.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor
train,stage79_00000214,train,bear,q12,12,4,12,16,13,0.25,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00013.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor
train,stage79_00000215,train,bear,q12,12,4,12,16,14,0.5,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00014.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor
train,stage79_00000216,train,bear,q12,12,4,12,16,15,0.75,/data/hctang/tmp/opencode/datasets/DAVIS_official_downloads/DAVIS/JPEGImages/Full-Resolution/bear/00015.jpg,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000011_000012.pt,right_anchor,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage61_davis_anchor_export_full/DAVIS/train/bear/gap1/pair_000015_000016.pt,right_anchor
