step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
1,stage79_00017500,stroller,q12,4,7,0.75,0.01299346424639225,2.0,0.0259869284927845,18.86275044268536
2,stage79_00009540,kite-walk,q12,8,27,0.375,0.004378455691039562,1.5,0.006567683536559343,23.58679040893928
3,stage79_00011307,lucia,q12,4,19,0.75,0.010078898631036282,2.0,0.020157797262072563,19.96586922711584
4,stage79_00017980,stunt,q12,8,30,0.75,0.01704421080648899,1.5,0.02556631714105606,17.68423102990198
5,stage79_00016511,skate-park,q12,4,21,0.25,0.009443091228604317,2.0,0.018886182457208633,20.248858146251738
6,stage79_00008813,horsejump-low,q12,8,4,0.5,0.02159206010401249,1.5,0.03238809108734131,16.657059195406173
7,stage79_00006923,drone,q12,8,66,0.25,0.061560098081827164,1.5,0.0923401489853859,12.107006968918522
8,stage79_00002681,car-turn,q12,4,58,0.5,0.010836325585842133,2.0,0.021672651171684265,19.651179547268754
9,stage79_00004789,dancing,q12,8,4,0.5,0.03137773647904396,1.5,0.04706660658121109,15.033783886686809
10,stage79_00005713,dog-gooses,q12,8,39,0.875,0.007488499861210585,1.5,0.011232749558985233,21.256051739227317
11,stage79_00013790,planes-water,q12,8,10,0.25,0.0005320421769283712,1.5,0.0007980632362887263,32.740539382290116
12,stage79_00003073,cat-girl,q12,4,11,0.75,0.019841128960251808,2.0,0.039682257920503616,17.024336201224493
13,stage79_00016886,snowboard,q12,4,33,0.25,0.026077261194586754,2.0,0.05215452238917351,15.837380230067438
14,stage79_00004793,dancing,q12,8,9,0.125,0.018712734803557396,1.5,0.02806910127401352,17.278627371766383
15,stage79_00013569,paragliding,q12,8,36,0.5,0.004459835588932037,1.5,0.006689753383398056,23.50681151183753
16,stage79_00001520,boxing-fisheye,q12,4,85,0.5,0.006885262671858072,2.0,0.013770525343716145,21.620794868141054
17,stage79_00017212,soccerball,q12,8,36,0.5,0.01165074110031128,1.5,0.01747611165046692,19.336464484114444
18,stage79_00015002,schoolgirls,q12,8,29,0.625,0.01200922206044197,1.5,0.018013833090662956,19.204851246370556
19,stage79_00018543,swing,q12,4,53,0.25,0.013926755636930466,2.0,0.02785351127386093,18.56150044601615
20,stage79_00002245,bus,q12,4,15,0.75,0.007950515486299992,2.0,0.015901030972599983,20.996047121488353
21,stage79_00019989,tuk-tuk,q12,8,11,0.375,0.039175909012556076,1.5,0.058763861656188965,14.069809176530686
22,stage79_00012428,miami-surf,q12,4,42,0.5,0.0034271064214408398,2.0,0.0068542128428816795,24.650724092769025
23,stage79_00017511,stroller,q12,4,22,0.5,0.01411435566842556,2.0,0.02822871133685112,18.50338942953436
24,stage79_00011322,lucia,q12,4,39,0.75,0.010040049441158772,2.0,0.020080098882317543,19.982641485486127
25,stage79_00002729,car-turn,q12,8,37,0.625,0.010814693756401539,1.5,0.016222041100263596,19.65985774124845
26,stage79_00006147,dogs-scale,q12,8,53,0.625,0.014771479181945324,1.5,0.0221572183072567,18.305760132600714
27,stage79_00015391,scooter-board,q12,4,57,0.25,0.04059373959898949,2.0,0.08118747919797897,13.915409385226791
28,stage79_00004741,dancing,q12,4,1,0.25,0.015160791575908661,2.0,0.030321583151817322,18.192781227096162
29,stage79_00002750,car-turn,q12,8,61,0.625,0.01729634776711464,1.5,0.02594452165067196,17.620455912087287
30,stage79_00003885,color-run,q12,8,7,0.875,0.01160349976271391,1.5,0.017405249178409576,19.35411002290595
31,stage79_00014038,rallye,q12,8,36,0.5,0.017960526049137115,1.5,0.026940789073705673,17.456809473518035
32,stage79_00000657,bmx-bumps,q12,4,29,0.25,0.01507105864584446,2.0,0.03014211729168892,18.218562401936353
33,stage79_00004204,crossing,q12,8,11,0.375,0.011687377467751503,1.5,0.01753106713294983,19.322829293051655
34,stage79_00009489,kite-walk,q12,4,42,0.5,0.004160987678915262,2.0,0.008321975357830524,23.80803570192882
35,stage79_00011723,mallard-fly,q12,8,34,0.25,0.018927954137325287,1.5,0.02839193120598793,17.228963250159484
36,stage79_00018245,surf,q12,4,38,0.5,0.007980603724718094,2.0,0.015961207449436188,20.97964253461797
