step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
1,stage79_00017500,stroller,q12,4,7,0.75,0.013049634173512459,2.0,0.026099268347024918,18.84401662935032
2,stage79_00009540,kite-walk,q12,8,27,0.375,0.004454595502465963,1.5,0.006681893020868301,23.511917257511467
3,stage79_00011307,lucia,q12,4,19,0.75,0.010118216276168823,2.0,0.020236432552337646,19.94896041813908
4,stage79_00017980,stunt,q12,8,30,0.75,0.017011934891343117,1.5,0.02551790326833725,17.69246288101473
5,stage79_00016511,skate-park,q12,4,21,0.25,0.009298156946897507,2.0,0.018596313893795013,20.316031274800686
6,stage79_00008813,horsejump-low,q12,8,4,0.5,0.02154882624745369,1.5,0.032323241233825684,16.665763806372055
7,stage79_00006923,drone,q12,8,66,0.25,0.061437055468559265,1.5,0.0921555832028389,12.115696071757757
8,stage79_00002681,car-turn,q12,4,58,0.5,0.0108342869207263,2.0,0.0216685738414526,19.651996673238404
9,stage79_00004789,dancing,q12,8,4,0.5,0.031361643224954605,1.5,0.04704246670007706,15.036011900936595
10,stage79_00005713,dog-gooses,q12,8,39,0.875,0.00751488097012043,1.5,0.011272321455180645,21.24077893909977
11,stage79_00013790,planes-water,q12,8,10,0.25,0.0005301859346218407,1.5,0.0007952789310365915,32.755717979102556
12,stage79_00003073,cat-girl,q12,4,11,0.75,0.019926313310861588,2.0,0.039852626621723175,17.005730453464587
13,stage79_00016886,snowboard,q12,4,33,0.25,0.025999857112765312,2.0,0.051999714225530624,15.850290387718005
14,stage79_00004793,dancing,q12,8,9,0.125,0.01860727183520794,1.5,0.027910906821489334,17.30317297678973
15,stage79_00013569,paragliding,q12,8,36,0.5,0.004454139154404402,1.5,0.006681208498775959,23.512362190384138
16,stage79_00001520,boxing-fisheye,q12,4,85,0.5,0.0069378092885017395,2.0,0.013875618577003479,21.587776425293722
17,stage79_00017212,soccerball,q12,8,36,0.5,0.011706877499818802,1.5,0.017560316249728203,19.315589260576303
18,stage79_00015002,schoolgirls,q12,8,29,0.625,0.011981244198977947,1.5,0.017971865832805634,19.214980800524557
19,stage79_00018543,swing,q12,4,53,0.25,0.013847368769347668,2.0,0.027694737538695335,18.586327419435623
20,stage79_00002245,bus,q12,4,15,0.75,0.007864992134273052,2.0,0.015729984268546104,21.043017073755344
