task_id,sequence,codec,reference_gap,target_index,base_method,keep_fraction,side_bits,keep_gaussians,fixed_payload_bytes,entropy_payload_bytes,fixed_mib_per_intermediate_frame,entropy_mib_per_intermediate_frame,entropy_ratio_vs_fixed,entropy_savings_bytes_vs_fixed,entropy_header_bytes,metadata_zlib_bytes,delta_zlib_bytes,residual_zlib_bytes,decoded_max_abs_diff_vs_fixed,base_psnr,entropy_psnr,delta_psnr_vs_base
stage79_00026342,gold-fish,q12,4,43,linear,0.1,6,3686,43381,30434,0.04137134552001953,0.029024124145507812,0.7015513704156198,12947,30,50,2493,27861,0.0,27.26747446814445,30.769742697751074,3.5022682296066243
stage79_00026342,gold-fish,q12,4,43,stage65_adapter,0.1,6,3686,43381,34534,0.04137134552001953,0.03293418884277344,0.7960627924667482,8847,30,61,2729,31714,0.0,26.223011661024877,28.40418085899629,2.181169197971414
stage79_00027067,india,q12,8,58,linear,0.1,6,3686,43381,30519,0.04137134552001953,0.029105186462402344,0.7035107535557041,12862,30,50,2416,28023,0.0,16.4459167912594,20.20885097470671,3.7629341834473102
stage79_00027067,india,q12,8,58,stage65_adapter,0.1,6,3686,43381,35500,0.04137134552001953,0.033855438232421875,0.8183306055646481,7881,30,61,2452,32957,0.0,16.76904515791596,20.54407793932831,3.7750327814123494
stage79_00030351,scooter-black,q12,8,17,linear,0.1,6,3686,43381,30532,0.04137134552001953,0.029117584228515625,0.7038104239183053,12849,30,51,2580,27871,0.0,12.726413025718573,16.304472282106147,3.578059256387574
stage79_00030351,scooter-black,q12,8,17,stage65_adapter,0.1,6,3686,43381,35863,0.04137134552001953,0.034201622009277344,0.8266983241511261,7518,30,63,2634,33136,0.0,13.136500541891857,16.587318835522574,3.450818293630716
stage79_00021598,blackswan,q12,4,29,linear,0.1,6,3686,43381,31111,0.04137134552001953,0.029669761657714844,0.7171572808372328,12270,30,50,2776,28255,0.0,20.790938185187052,23.634735825953168,2.843797640766116
stage79_00021598,blackswan,q12,4,29,stage65_adapter,0.1,6,3686,43381,36427,0.04137134552001953,0.03473949432373047,0.8396994075747447,6954,30,63,2802,33532,0.0,21.340671365923253,23.724637405738456,2.3839660398152027
stage79_00023930,cows,q12,8,44,linear,0.1,6,3686,43381,30328,0.04137134552001953,0.02892303466796875,0.6991079043821028,13053,30,50,2833,27415,0.0,17.267461802154887,19.664910411174453,2.397448609019566
stage79_00023930,cows,q12,8,44,stage65_adapter,0.1,6,3686,43381,36024,0.04137134552001953,0.03435516357421875,0.8304096263341094,7357,30,63,2890,33041,0.0,17.982018741874846,20.165489239244437,2.1834704973695906
stage79_00024440,dance-twirl,q12,8,81,linear,0.1,6,3686,43381,30627,0.04137134552001953,0.02920818328857422,0.7060003227219289,12754,30,50,2806,27741,0.0,18.12998834859095,21.616993442164386,3.487005093573437
stage79_00024440,dance-twirl,q12,8,81,stage65_adapter,0.1,6,3686,43381,35955,0.04137134552001953,0.03428936004638672,0.828819068255688,7426,30,63,2849,33013,0.0,18.907477044555915,21.750984237458127,2.843507192902212
stage79_00025297,drift-chicane,q12,4,14,linear,0.1,6,3686,43381,23567,0.04137134552001953,0.022475242614746094,0.5432562642631567,19814,30,50,2539,20948,0.0,30.17864227455888,31.003602511180034,0.8249602366211555
stage79_00025297,drift-chicane,q12,4,14,stage65_adapter,0.1,6,3686,43381,21267,0.04137134552001953,0.02028179168701172,0.49023766164910904,22114,30,63,2118,19056,0.0,27.790620658580607,28.152661392888632,0.3620407343080245
stage79_00028206,loading,q12,4,42,linear,0.1,6,3686,43381,31043,0.04137134552001953,0.02960491180419922,0.7155897743251654,12338,30,50,2768,28195,0.0,15.602467769560135,18.628165483652637,3.0256977140925017
stage79_00028206,loading,q12,4,42,stage65_adapter,0.1,6,3686,43381,36190,0.04137134552001953,0.03451347351074219,0.8342361863488624,7191,30,61,2768,33331,0.0,16.255423750063187,19.057697601889917,2.8022738518267296
