video,gap,frame_number,task_id,sequence,left_index,right_index,target_index,normalized_time,base_psnr,recovered_psnr,delta_psnr,payload_bytes
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,1,stage79_00021606,blackswan,36,40,39,0.75,20.982237691254294,23.699121808182273,2.7168841169279787,31238
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,2,stage79_00025950,goat,80,84,83,0.75,15.508416487273458,17.79905563670097,2.2906391494275127,30575
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,3,stage79_00025032,dogs-jump,48,52,51,0.75,26.00302426543297,31.248104679289565,5.245080413856595,28937
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,4,stage79_00025304,drift-chicane,20,24,23,0.75,30.97005684938899,31.517422856878827,0.5473660074898383,23820
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,5,stage79_00023847,cows,40,44,43,0.75,19.95698106101686,21.51020128339222,1.5532202223753586,29903
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,6,stage79_00028177,loading,0,4,3,0.75,14.888818109608678,18.168615372921966,3.279797263313288,31000
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,7,stage79_00026650,horsejump-high,28,32,29,0.25,16.510663028568597,20.75736812150066,4.246705092932064,30763
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,8,stage79_00025543,drift-straight,4,8,6,0.5,14.67460981962345,17.726178771561916,3.0515689519384654,30787
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,9,stage79_00023466,car-shadow,16,20,18,0.5,18.18250533629193,22.302716524306526,4.120211188014597,30106
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,10,stage79_00027253,judo,12,16,13,0.25,27.81817288847367,31.66583285981315,3.847659971339482,26255
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,11,stage79_00026963,india,8,12,9,0.25,23.08373670711157,26.204820690522975,3.121083983411406,30948
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,12,stage79_00030044,pigs,56,60,58,0.5,24.244234595426754,27.14371987171637,2.8994852762896173,29346
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,13,stage79_00028822,motocross-jump,36,39,37,0.3333333333333333,23.791231399567728,28.94125098586354,5.150019586295812,30248
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,14,stage79_00024332,dance-twirl,36,40,38,0.5,16.622774710443867,20.3066059615629,3.6838312511190345,30746
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,15,stage79_00027698,lab-coat,12,16,13,0.25,20.889287459065308,23.957036367549573,3.0677489084842655,30229
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,16,stage79_00026310,gold-fish,0,4,1,0.25,26.97758170121306,30.34056993955858,3.362988238345519,30582
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,17,stage79_00028551,mbike-trick,72,76,73,0.25,18.9404570643446,24.269334988446776,5.328877924102176,30610
/data/hctang/tmp/opencode/mono_dfcgs_runs/stage152_subjective_visual_export/stage152_gap4_target_base_recovered.mp4,4,18,stage79_00024685,dog,4,8,7,0.75,21.381374963205122,23.44521707240432,2.0638421091991965,30553
