task_id,sequence,gap,codec,left_index,right_index,target_index,normalized_time,method,psnr,ssim,ms_ssim,lpips,linear_base_psnr,stage151_recovered_psnr,delta_psnr_vs_linear,delta_psnr_vs_stage151_recovered,linear_base_ssim,stage151_recovered_ssim,delta_ssim_vs_linear,delta_ssim_vs_stage151_recovered,linear_base_lpips,stage151_recovered_lpips,delta_lpips_vs_linear,delta_lpips_vs_stage151_recovered
stage79_00022790,camel,4,q12,48,52,51,0.75,original_streamsplat_middle_base,21.501344241364198,0.5592225790023804,0.8880974650382996,0.25653350353240967,19.285541640966866,21.294222045951486,2.215802600397332,0.20712219541271182,0.3547725975513458,0.4909639358520508,0.20444998145103455,0.06825864315032959,0.31538695096969604,0.32645657658576965,-0.05885344743728638,-0.06992307305335999
stage79_00030095,pigs,8,q12,40,48,42,0.25,original_streamsplat_middle_base,24.377009198085133,0.6502456665039062,0.8529384732246399,0.32172346115112305,22.332120910841738,25.669396152709474,2.0448882872433956,-1.292386954624341,0.5460086464881897,0.6521833539009094,0.10423702001571655,-0.0019376873970031738,0.31261900067329407,0.31165045499801636,0.00910446047782898,0.01007300615310669
stage79_00022382,breakdance,8,q12,0,8,6,0.75,original_streamsplat_middle_base,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,18.63912960995903,23.532119963337834,0.5254407123094573,-4.3675496410693455,0.7017214298248291,0.8084239363670349,0.0011179447174072266,-0.10558456182479858,0.2607620358467102,0.21555563807487488,0.005080163478851318,0.050286561250686646
stage79_00027470,kite-surf,4,q12,28,32,29,0.25,original_streamsplat_middle_base,24.64050700275411,0.5741387009620667,0.8451193571090698,0.2104964703321457,22.951231374981774,26.389022187477185,1.6892756277723358,-1.7485151847230753,0.4644506871700287,0.6088006496429443,0.10968801379203796,-0.034661948680877686,0.2602737843990326,0.2593567669391632,-0.0497773140668869,-0.04886029660701752
stage79_00024353,dance-twirl,4,q12,64,68,66,0.5,original_streamsplat_middle_base,18.264518745404857,0.37402069568634033,0.7257879376411438,0.3943515121936798,18.142558469627055,21.464679478844275,0.121960275777802,-3.200160733439418,0.3592332899570465,0.5200304388999939,0.014787405729293823,-0.14600974321365356,0.4143058657646179,0.4156860113143921,-0.01995435357093811,-0.02133449912071228
stage79_00021991,bmx-trees,8,q12,32,40,35,0.375,original_streamsplat_middle_base,15.552224068839411,0.19959938526153564,0.2985188364982605,0.5763093829154968,14.471704697281167,16.530294026858613,1.0805193715582444,-0.9780699580192014,0.16286619007587433,0.30610179901123047,0.036733195185661316,-0.10650241374969482,0.6266118884086609,0.5932411551475525,-0.05030250549316406,-0.016931772232055664
stage79_00030917,soapbox,4,q12,76,80,78,0.5,original_streamsplat_middle_base,21.17437912110509,0.6108488440513611,0.823716938495636,0.3202863037586212,15.971447526683475,19.190572951163723,5.2029315944216155,1.9838061699413672,0.3116498589515686,0.4826061725616455,0.2991989850997925,0.12824267148971558,0.4810559153556824,0.46407556533813477,-0.16076961159706116,-0.14378926157951355
stage79_00027696,lab-coat,4,q12,8,12,10,0.5,original_streamsplat_middle_base,20.165140085317216,0.4463024437427521,0.7088278532028198,0.36834949254989624,19.949891518566304,23.01603434410197,0.21524856675091186,-2.8508942587847557,0.4050787389278412,0.5583982467651367,0.04122370481491089,-0.11209580302238464,0.3981162905693054,0.3778769373893738,-0.02976679801940918,-0.009527444839477539
stage79_00023944,cows,8,q12,56,64,60,0.5,original_streamsplat_middle_base,19.738234299721668,0.39669767022132874,0.8015218377113342,0.3298833966255188,17.081896037115335,19.45343158225233,2.656338262606333,0.28480271746933994,0.16363807022571564,0.35199740529060364,0.2330595999956131,0.0447002649307251,0.47048211097717285,0.4402172267436981,-0.14059871435165405,-0.11033383011817932
stage79_00021281,bike-packing,4,q12,0,4,1,0.25,original_streamsplat_middle_base,24.297952908595832,0.8006162643432617,0.9586264491081238,0.2248886376619339,24.18556436270904,26.005095329552272,0.11238854588679104,-1.7071424209564405,0.7941178679466248,0.8342456817626953,0.006498396396636963,-0.033629417419433594,0.22068685293197632,0.1984500288963318,0.004201784729957581,0.026438608765602112
stage79_00028843,motocross-jump,8,q12,16,24,22,0.75,original_streamsplat_middle_base,12.472897671347383,0.4210059940814972,0.18034245073795319,0.6688511967658997,11.155775919564208,14.017364407778736,1.3171217517831746,-1.5444667364313531,0.41132593154907227,0.4747592508792877,0.009680062532424927,-0.05375325679779053,0.607636034488678,0.5726987719535828,0.06121516227722168,0.0961524248123169
stage79_00025582,drift-straight,8,q12,8,16,9,0.125,original_streamsplat_middle_base,16.994414753827854,0.40694114565849304,0.7422688007354736,0.29830142855644226,16.414578746428944,20.58059300093771,0.5798360073989102,-3.5861782471098564,0.41435694694519043,0.5851157307624817,-0.007415801286697388,-0.17817458510398865,0.2861718535423279,0.30786240100860596,0.01212957501411438,-0.009560972452163696
stage79_00023826,cows,4,q12,12,16,15,0.75,original_streamsplat_middle_base,22.474024172469065,0.6466209888458252,0.9261003136634827,0.24926024675369263,20.918740463745138,21.99388584473966,1.5552837087239268,0.48013832772940646,0.4795711040496826,0.5763280987739563,0.16704988479614258,0.0702928900718689,0.2972694933414459,0.28945502638816833,-0.048009246587753296,-0.04019477963447571
stage79_00027754,lab-coat,8,q12,32,40,36,0.5,original_streamsplat_middle_base,14.747739216133855,0.37649664282798767,0.3713522255420685,0.5675578117370605,14.655997491223864,18.52550168724045,0.09174172490999055,-3.7777624711065947,0.3543039560317993,0.4952661991119385,0.022192686796188354,-0.1187695562839508,0.4982144832611084,0.4726555049419403,0.06934332847595215,0.09490230679512024
stage79_00030945,soapbox,8,q12,8,16,15,0.875,original_streamsplat_middle_base,24.441630350496844,0.6915736794471741,0.9362382888793945,0.24302449822425842,22.01540736113133,25.10616794288785,2.426222989365513,-0.6645375923910066,0.4933505058288574,0.6122224926948547,0.19822317361831665,0.07935118675231934,0.29582053422927856,0.3238215148448944,-0.05279603600502014,-0.08079701662063599
