task_id,sequence,gap,target_index,base_gaussian_count,target_gaussian_count,base_attr_shape,target_attr_shape,shape_matches_target_dense_anchor,static_eval_render_max_abs_diff_vs_dynamic
stage79_00022790,camel,4,51,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00030095,pigs,8,42,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00022382,breakdance,8,6,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00027470,kite-surf,4,29,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00024353,dance-twirl,4,66,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00021991,bmx-trees,8,35,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00030917,soapbox,4,78,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00027696,lab-coat,4,10,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00023944,cows,8,60,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00021281,bike-packing,4,1,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00028843,motocross-jump,8,22,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00025582,drift-straight,8,9,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00023826,cows,4,15,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00027754,lab-coat,8,36,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00030945,soapbox,8,15,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00026682,horsejump-high,8,20,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00029702,parkour,8,90,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00028222,loading,8,13,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00023234,car-roundabout,8,15,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00022838,camel,8,23,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00024684,dog,4,6,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00027990,libby,8,29,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00026019,goat,8,75,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
stage79_00027257,judo,4,18,73728,36864,"(1, 73728, 13)","(1, 36864, 13)",False,0.0
