rank_type,rank,task_id,sequence,gap,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,contact_sheet_path
best_setting_highest_lpips,1,stage79_00030516,shooting,4,7,0.75,image_residual_sideinfo_full_frame,4,31.042856240658104,0.7870612144470215,0.9471035599708557,0.36237430572509766,63795,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,2,stage79_00030547,shooting,8,9,0.125,image_residual_sideinfo_full_frame,4,31.498264572700045,0.7869204878807068,0.9599554538726807,0.3223249614238739,75615,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,3,stage79_00028812,motocross-jump,4,23,0.75,image_residual_sideinfo_full_frame,4,32.14109873981104,0.803874671459198,0.9565306901931763,0.29919004440307617,81415,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,4,stage79_00027043,india,8,30,0.75,image_residual_sideinfo_full_frame,4,31.521074427864285,0.8026420474052429,0.9589657783508301,0.2758324146270752,69400,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,5,stage79_00028843,motocross-jump,8,22,0.75,image_residual_sideinfo_full_frame,4,31.759368095798376,0.8074885010719299,0.9581961631774902,0.27268585562705994,79279,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,6,stage79_00030345,scooter-black,8,10,0.25,image_residual_sideinfo_full_frame,4,28.365447060129718,0.8182283043861389,0.955994188785553,0.24650178849697113,86793,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,7,stage79_00026682,horsejump-high,8,20,0.5,image_residual_sideinfo_full_frame,4,29.174370964057932,0.7531229853630066,0.9354575276374817,0.23862911760807037,83995,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,8,stage79_00028560,mbike-trick,8,6,0.75,image_residual_sideinfo_full_frame,4,30.517428893692422,0.8641083836555481,0.974863588809967,0.23643289506435394,68490,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,9,stage79_00027754,lab-coat,8,36,0.5,image_residual_sideinfo_full_frame,4,29.875083615226508,0.7906537055969238,0.9558316469192505,0.2326306402683258,79895,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
best_setting_highest_lpips,10,stage79_00023512,car-shadow,8,35,0.42857142857142855,image_residual_sideinfo_full_frame,4,31.6123894633975,0.8776473999023438,0.9757797122001648,0.21537016332149506,67713,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage155_streamsplat_base_sideinfo_upper_bound/stage155_best_setting_worst_lpips_contact_sheet.jpg
