rank_type,rank,task_id,sequence,gap,target_index,normalized_time,method,half_policy,selected_half,keep_fraction,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,contact_sheet_path
best_half_highest_lpips,1,stage79_00024353,dance-twirl,4,66,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,197156,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,2,stage79_00024429,dance-twirl,8,68,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,26.483361587273105,0.7961500287055969,0.977317214012146,0.2708978056907654,212763,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,3,stage79_00028812,motocross-jump,4,23,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,32.663031483960296,0.8911888003349304,0.9837796092033386,0.265142023563385,241694,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,4,stage79_00028843,motocross-jump,8,22,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,32.51566190094791,0.8911518454551697,0.9843597412109375,0.24619509279727936,247999,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,5,stage79_00027043,india,8,30,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,32.04372980040284,0.8643271327018738,0.9803212285041809,0.24491067230701447,230255,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,6,stage79_00021341,bike-packing,8,11,0.375,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,180774,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,7,stage79_00029702,parkour,8,90,0.25,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.56769999688809,0.800015926361084,0.9787485599517822,0.22302022576332092,223869,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,8,stage79_00027257,judo,4,18,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,30.011250481564495,0.8902572989463806,0.9846945405006409,0.2196235954761505,107700,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,9,stage79_00028560,mbike-trick,8,6,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,29.778761971140373,0.8757948875427246,0.9850861430168152,0.21018794178962708,182121,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,10,stage79_00029575,parkour,4,34,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,29.05003457774736,0.8287859559059143,0.9792703986167908,0.20909008383750916,225453,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,11,stage79_00027990,libby,8,29,0.625,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,32.1395477949241,0.8569434285163879,0.9813615083694458,0.20886823534965515,262762,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_highest_lpips,12,stage79_00023944,cows,8,60,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,24.68471859771818,0.7651322484016418,0.9746426343917847,0.20881597697734833,231584,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,1,stage79_00023944,cows,8,60,0.5,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,24.68471859771818,0.7651322484016418,0.9746426343917847,0.20881597697734833,231584,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,2,stage79_00023826,cows,4,15,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,24.708306541723843,0.7686236500740051,0.9756574034690857,0.20466454327106476,208856,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,3,stage79_00030345,scooter-black,8,10,0.25,streamsplat_half_anchor_entropy_residual,best_half_selector,left,1.0,6,25.139113673960868,0.8793522715568542,0.984836757183075,0.20580781996250153,223623,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
best_half_lowest_psnr,4,stage79_00022382,breakdance,8,6,0.75,streamsplat_half_anchor_entropy_residual,best_half_selector,right,1.0,6,25.242663608239635,0.8441993594169617,0.9827916026115417,0.1973235011100769,142447,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage156_streamsplat_half_anchor_gaussian_residual/stage156_best_half_selector_worst_lpips_contact_sheet.jpg
