sample,selection_method,reference_gap,total_frames,keyframe_count,keyframe_ratio,max_segment_length,estimated_q8_static_mib_per_frame,all_psnr_avg,all_ssim_avg,middle_psnr_avg,middle_ssim_avg,given_psnr_avg,given_ssim_avg,raw_pred_gs_mib_per_frame
n3dv,uniform,4,81,21,0.25925925925925924,4,0.11848958333333333,33.39609679886218,0.9628844577589153,33.05215015387749,0.960603819290797,34.37880149881845,0.9694005676678249,1.5277777777777777
n3dv,uniform,8,81,11,0.13580246913580246,8,0.062065972222222224,32.50256438589778,0.9579449406376591,32.2073772502555,0.9561403547014509,34.381027976348605,0.9694286693226207,0.7638888888888888
n3dv,uniform,16,81,6,0.07407407407407407,16,0.033854166666666664,30.881761283241584,0.9464583992958069,30.60315188772239,0.9446262415250143,34.364378727231404,0.969360371430715,0.3819444444444444
n3dv,rd_spaced,4,81,21,0.25925925925925924,8,0.11848958333333333,33.170324376459305,0.962219700401212,32.74286668259031,0.9596455295880636,34.39163207322783,0.9695744741530645,1.5277777777777777
n3dv,rd_spaced,8,81,11,0.13580246913580246,16,0.062065972222222224,31.644474346834887,0.9519755906528897,31.21410477178391,0.9492100715637207,34.38318982443202,0.9695743484930559,0.7638888888888888
n3dv,rd_spaced,16,81,6,0.07407407407407407,32,0.033854166666666664,30.6905517407433,0.9445586550382921,30.39447527528243,0.9425567237536112,34.39150755900402,0.9695827960968018,0.3819444444444444
robot,uniform,4,77,20,0.2597402597402597,4,0.11870941558441558,26.48952399862992,0.8638617195092239,23.178617517791157,0.827526965685058,35.925607469020385,0.9674157679080964,1.5267857142857142
robot,uniform,8,77,11,0.14285714285714285,8,0.06529017857142858,23.881147029593635,0.8210364340187667,21.872060070351942,0.7966613923058365,35.93566878504379,0.9672866842963479,0.8035714285714286
robot,uniform,16,77,6,0.07792207792207792,16,0.03561282467532467,21.820691934634624,0.7877994481619303,20.638129159906573,0.7726663636489653,35.81435143558327,0.9668742815653483,0.4017857142857143
robot,rd_spaced,4,77,20,0.2597402597402597,8,0.11870941558441558,25.893064910908713,0.8525844734984559,22.329879626430465,0.8120484801760891,36.04814297167172,0.9681120544672013,1.5267857142857142
robot,rd_spaced,8,77,11,0.14285714285714285,16,0.06529017857142858,23.17668274155252,0.8133240489216594,21.04240930250378,0.7875657524123336,35.98232337584495,0.967873827977614,0.8035714285714286
robot,rd_spaced,16,77,6,0.07792207792207792,32,0.03561282467532467,21.50606959393489,0.7771320412685345,20.28240369488664,0.7610581559194646,35.98611606600588,0.9673396845658621,0.4017857142857143
