frame_number,sequence,task_id,gap,left_index,target_index,right_index,normalized_time,key_left_psnr,key_left_ssim,key_left_ms_ssim,key_left_lpips,key_right_psnr,key_right_ssim,key_right_ms_ssim,key_right_lpips,key_avg_psnr,key_avg_ssim,key_avg_ms_ssim,key_avg_lpips,selected_half,middle_psnr,middle_ssim,middle_ms_ssim,middle_lpips,original_middle_psnr,original_middle_ssim,original_middle_ms_ssim,original_middle_lpips,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original,payload_bytes,selector_payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,stage157_expected_psnr,stage157_expected_lpips,stage157_metric_abs_diff_psnr,stage157_metric_abs_diff_lpips,video_path,contact_sheet_path
1,cows,stage79_00023826,4,12,15,16,0.75,24.813864276346123,0.775153636932373,0.9775331020355225,0.20304036140441895,24.69987994544494,0.7724184393882751,0.9771931767463684,0.20555458962917328,24.756872110895532,0.7737860381603241,0.9773631393909454,0.2042974755167961,right,24.708306541723843,0.7686236500740051,0.9756574034690857,0.20466454327106476,22.474024172469065,0.6466209888458252,0.9261003136634827,0.24926024675369263,2.234282369254778,0.12200266122817993,0.04955708980560303,-0.04459570348262787,208856,1,0.19918060302734375,0.18193822076791313,0.38111882379525686,24.708306541723843,0.20466454327106476,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
2,cows,stage79_00023829,4,16,19,20,0.75,24.69987994544494,0.7724184393882751,0.9771931767463684,0.20555458962917328,24.64605948448476,0.7721744179725647,0.9769476652145386,0.2067708969116211,24.67296971496485,0.7722964286804199,0.9770704209804535,0.2061627432703972,right,24.70318608724209,0.7733585238456726,0.975851833820343,0.20844119787216187,21.948757489036467,0.5958120226860046,0.9059574007987976,0.25519368052482605,2.7544285982056245,0.17754650115966797,0.06989443302154541,-0.046752482652664185,225030,1,0.21460533142089844,0.18193822076791313,0.39654355218881154,24.70318608724209,0.20844119787216187,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
3,breakdance,stage79_00022333,4,24,25,28,0.25,25.93477807070102,0.8755302429199219,0.9878904223442078,0.15091438591480255,25.731797666645857,0.8721306324005127,0.9874755144119263,0.14957541227340698,25.833287868673438,0.8738304376602173,0.987682968378067,0.15024489909410477,left,25.713629052613758,0.8658719062805176,0.9860079288482666,0.16875958442687988,20.00348477540129,0.7283596396446228,0.85687255859375,0.24625961482524872,5.710144277212468,0.13751226663589478,0.1291353702545166,-0.07750003039836884,121358,1,0.11573600769042969,0.18193822076791313,0.2976742284583428,25.713629052613758,0.16875958442687988,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
4,breakdance,stage79_00022356,4,52,55,56,0.75,25.707761440520205,0.8712734580039978,0.987295389175415,0.14934074878692627,25.789103763090743,0.8732450604438782,0.9875547289848328,0.14707058668136597,25.748432601805476,0.872259259223938,0.9874250590801239,0.14820566773414612,right,25.543566837921947,0.8591480255126953,0.9847486615180969,0.17139467597007751,20.542736720954153,0.7553033232688904,0.8987454175949097,0.21556556224822998,5.000830116967794,0.10384470224380493,0.08600324392318726,-0.044170886278152466,126100,1,0.12025833129882812,0.18193822076791313,0.30219655206674123,25.543566837921947,0.17139467597007751,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
5,camel,stage79_00022787,4,44,47,48,0.75,25.647391459837152,0.8090090751647949,0.982412576675415,0.18045958876609802,25.53048962312342,0.8036746978759766,0.9815071821212769,0.18652334809303284,25.588940541480284,0.8063418865203857,0.981959879398346,0.18349146842956543,right,25.6279590122115,0.8051662445068359,0.9805587530136108,0.18633119761943817,22.255666110828646,0.633385956287384,0.9174538850784302,0.23516574501991272,3.372292901382856,0.1717802882194519,0.06310486793518066,-0.04883454740047455,230502,1,0.21982383728027344,0.18193822076791313,0.40176205804818654,25.6279590122115,0.18633119761943817,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
6,camel,stage79_00022790,4,48,51,52,0.75,25.53048962312342,0.8036746978759766,0.9815071821212769,0.18652334809303284,25.727799708885108,0.8105218410491943,0.9824885725975037,0.1778772920370102,25.629144666004265,0.8070982694625854,0.9819978773593903,0.18220032006502151,right,25.53339946053153,0.8007097244262695,0.979963481426239,0.18961508572101593,21.501344241364198,0.5592225790023804,0.8880974650382996,0.25653350353240967,4.032055219167333,0.24148714542388916,0.09186601638793945,-0.06691841781139374,225503,1,0.2150564193725586,0.18193822076791313,0.3969946401404717,25.53339946053153,0.18961508572101593,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
7,bike-packing,stage79_00021281,4,0,1,4,0.25,26.079283846778374,0.8400600552558899,0.9858327507972717,0.18571901321411133,26.419333409621636,0.8502992987632751,0.986646294593811,0.1807929277420044,26.249308628200005,0.8451796770095825,0.9862395226955414,0.18325597047805786,left,26.104804335599894,0.8335300087928772,0.9830377697944641,0.20262430608272552,24.297952908595832,0.8006162643432617,0.9586264491081238,0.2248886376619339,1.8068514270040623,0.03291374444961548,0.024411320686340332,-0.022264331579208374,134579,1,0.12834453582763672,0.18193822076791313,0.3102827565955498,26.104804335599894,0.20262430608272552,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
8,bike-packing,stage79_00021315,4,44,46,48,0.5,25.291922532080378,0.8522111773490906,0.9866876602172852,0.1673891246318817,27.524661932305484,0.8790588974952698,0.9892271161079407,0.15668916702270508,26.40829223219293,0.8656350374221802,0.9879573881626129,0.1620391458272934,left,25.72814190108804,0.8251795768737793,0.9814755916595459,0.19889308512210846,17.250293345085865,0.36093243956565857,0.6016496419906616,0.43603086471557617,8.477848556002176,0.4642471373081207,0.3798259496688843,-0.2371377795934677,211478,1,0.20168113708496094,0.18193822076791313,0.38361935785287404,25.72814190108804,0.19889308512210846,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
9,scooter-black,stage79_00030333,4,36,37,40,0.25,28.137117414896508,0.930277407169342,0.9929059147834778,0.0897771567106247,27.85942207395697,0.9318572878837585,0.9930163621902466,0.09524696320295334,27.99826974442674,0.9310673475265503,0.9929611384868622,0.09251205995678902,left,27.48157589409837,0.9114168286323547,0.989161491394043,0.1386011242866516,14.566759803013039,0.39349493384361267,0.6105632781982422,0.37142905592918396,12.914816091085331,0.5179218947887421,0.3785982131958008,-0.23282793164253235,247692,1,0.23621749877929688,0.18193822076791313,0.41815571954721,27.48157589409837,0.1386011242866516,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
10,scooter-black,stage79_00030326,4,24,27,28,0.75,27.410265342442564,0.9188432693481445,0.9920423626899719,0.10232433676719666,27.880731569101602,0.9277240633964539,0.9928327798843384,0.09332757443189621,27.645498455772085,0.9232836663722992,0.9924375712871552,0.09782595559954643,right,27.19165314212106,0.9015211462974548,0.9881078600883484,0.13937756419181824,18.30664684265685,0.6063134670257568,0.8361892700195312,0.30793511867523193,8.885006299464209,0.295207679271698,0.15191859006881714,-0.1685575544834137,244648,1,0.23331451416015625,0.18193822076791313,0.41525273492806936,27.19165314212106,0.13937756419181824,0.0,0.0,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage160_stage158_extended_subjective_evidence/stage160_gap4_stage158_extended_subjective_evidence_contact_sheet.jpg
