sequence,gap,task_count,mean_rgb_motion_proxy_score,mean_rgb_mad_left_right,mean_rgb_mad_linear_interp_target,mean_edge_mad_left_right,mean_hist_chi_left_right,mean_stage158_psnr,mean_stage158_lpips,mean_payload_bytes,low_psnr_count,high_lpips_count,high_payload_count
bike-packing,4,2,0.20057684187293628,0.0805344209074974,0.04615043569356203,0.21434366703033447,0.006215115525403923,25.916473118343966,0.200758695602417,173028.5,1,0,0
bike-packing,8,2,0.13112787253181635,0.05012541078031063,0.04125482961535454,0.14725542813539505,0.004312538500130099,25.335488405211553,0.21268048137426376,169975.0,2,1,0
blackswan,4,2,0.20590921047201094,0.08547741174697876,0.05434114299714565,0.22056157141923904,0.001572373380600112,29.964643742155644,0.1608075425028801,225588.5,0,0,2
blackswan,8,2,0.2636647568098831,0.115680281072855,0.06597119383513927,0.236847884953022,0.005807252746108247,30.05214798771053,0.15813536942005157,231567.5,0,0,2
bmx-trees,4,2,0.3465099285972524,0.15808431804180145,0.11760138347744942,0.23214711993932724,0.01449368578601055,31.03364498974953,0.1092594601213932,250143.0,0,0,2
bmx-trees,8,2,0.37012497699789826,0.17305070906877518,0.1297312080860138,0.2303624376654625,0.03375838600856768,30.849807764048947,0.11497299745678902,252166.5,0,0,2
breakdance,4,2,0.14196259225365804,0.05870872735977173,0.03153061028569937,0.15329208970069885,0.002284883168622651,25.628597945267853,0.1700771301984787,123729.0,2,0,0
breakdance,8,2,0.1637657484053156,0.0691131129860878,0.044778477400541306,0.17215055972337723,0.002743899957152003,25.33511357577089,0.18834799528121948,149152.0,2,0,0
camel,4,2,0.24238267933879348,0.09686768054962158,0.061225781217217445,0.2857685536146164,0.000489896092863907,25.580679236371516,0.18797314167022705,228002.5,2,0,2
camel,8,2,0.297165997536754,0.12794381752610207,0.07010732591152191,0.31267446279525757,0.002472682473598142,25.76972315856063,0.18988750874996185,237815.5,1,0,2
car-roundabout,4,2,0.3459896664257395,0.1486215814948082,0.08833461254835129,0.34546153247356415,0.009814418212052914,26.823942468816007,0.15096522122621536,223383.0,1,0,2
car-roundabout,8,2,0.35625610972905014,0.1504339724779129,0.08806881308555603,0.3492636978626251,0.015070389175270388,27.51342278005315,0.14266688376665115,221243.0,0,0,2
car-shadow,4,2,0.23442523951503394,0.0964658074080944,0.06545265391469002,0.2630118429660797,0.010079170438407583,29.52275503523562,0.1516941711306572,214037.0,0,0,1
car-shadow,8,2,0.28124638370890154,0.11683554947376251,0.08293880894780159,0.2962479740381241,0.03508953722192482,29.683608219311324,0.15137971192598343,232117.5,0,0,2
cows,4,2,0.24523601938397638,0.1011858843266964,0.058371201157569885,0.2882598042488098,0.00043853780721579087,24.705746314482965,0.2065528705716133,216943.0,2,0,1
cows,8,2,0.29378699353123977,0.12054616212844849,0.08485213294625282,0.3146989494562149,0.0009239000929142393,24.68056772197344,0.21288800984621048,223713.5,2,0,1
dance-twirl,4,2,0.24086792272879726,0.09557028487324715,0.07841219380497932,0.2562900260090828,0.003310916378149791,26.75600816925116,0.2491673231124878,206271.5,0,2,0
dance-twirl,8,2,0.30441990607026137,0.12728236988186836,0.09381911903619766,0.2721487283706665,0.01440189832738947,28.731378180105974,0.21773608028888702,218506.5,0,1,1
dog,4,2,0.22123070026099728,0.09657622128725052,0.06743397191166878,0.19637425243854523,0.01224518036846986,30.875153930285393,0.16279695183038712,233641.0,0,0,2
dog,8,2,0.2505676322512388,0.11561892926692963,0.07876690477132797,0.1853458136320114,0.05333577178477842,33.475070616109356,0.14558862149715424,241565.5,0,0,2
dogs-jump,4,2,0.08785958225410473,0.03941635973751545,0.01569793652743101,0.09529979154467583,0.004648566748988055,31.70119100148007,0.17225827276706696,145107.5,0,0,0
dogs-jump,8,2,0.14121089269760276,0.06626711413264275,0.034538211300969124,0.11238313466310501,0.015515880081082255,31.08090956330894,0.22950417548418045,161858.0,0,1,0
drift-chicane,4,2,0.03850144263128808,0.01925194077193737,0.006646695313975215,0.03281886037439108,0.026366043607762235,30.928610610205517,0.1747724637389183,129312.5,0,0,0
drift-chicane,8,2,0.052916698193019085,0.02670472301542759,0.008712389739230275,0.03885683789849281,0.021059954336827433,30.884993514298948,0.17641060799360275,114760.5,0,0,0
drift-straight,4,2,0.4765118787897037,0.22060184180736542,0.14995678514242172,0.37633413076400757,0.044996094826923516,31.62113208414137,0.12861227244138718,252306.0,0,0,2
drift-straight,8,2,0.5383308904940978,0.2443171814084053,0.1336432248353958,0.4551977813243866,0.07508567298546052,30.252892817807073,0.11303743720054626,248552.5,0,0,2
goat,4,2,0.36472510199207664,0.15341364592313766,0.11533323675394058,0.34143340587615967,0.003306779224280581,27.287905475463383,0.1752728670835495,251509.0,0,0,2
goat,8,2,0.3450307195388715,0.13022473454475403,0.12366367131471634,0.3363440930843353,0.0007143368665444806,26.583442735601405,0.17962689697742462,247414.5,0,0,2
gold-fish,4,2,0.10050079123752265,0.04689989425241947,0.021173890680074692,0.10764295607805252,0.0034205985088635233,33.41237033283157,0.07908906415104866,191200.0,0,0,0
gold-fish,8,2,0.15406995152629166,0.07194064557552338,0.026884587481617928,0.14246129244565964,0.00366771364882438,33.44332730822839,0.07598245516419411,198661.0,0,0,0
horsejump-high,4,2,0.22618996418294962,0.0935898907482624,0.06428425200283527,0.24640055745840073,0.0027072347975351956,27.80703964674874,0.15784983336925507,210518.0,0,0,1
horsejump-high,8,2,0.30450388580698007,0.13236622512340546,0.07780060544610023,0.28822702169418335,0.00856181247853606,27.816431395369538,0.1836489662528038,220016.5,0,0,1
india,4,2,0.27392300632438005,0.12871821597218513,0.06938337348401546,0.21204572916030884,0.0343028871625084,33.462700139889776,0.11926328763365746,217111.5,0,0,1
india,8,2,0.33952976834759585,0.1599954515695572,0.11073590442538261,0.22282512485980988,0.08837159423577008,31.88570782249907,0.24175602942705154,231995.0,0,2,2
