sequence,gap,task_count,selected_count,hard_quality_count,selected_hard_count,high_payload_count,selected_high_payload_count,mean_selector_score,mean_stage158_psnr,mean_stage158_lpips,mean_payload_bytes
bike-packing,4,2,1,1,1,0,0,0.21434366703033447,25.916473118343966,0.200758695602417,173028.5
bike-packing,8,2,0,2,0,0,0,0.14725542813539505,25.335488405211553,0.21268048137426376,169975.0
blackswan,4,2,0,0,0,2,0,0.22056157141923904,29.964643742155644,0.1608075425028801,225588.5
blackswan,8,2,0,0,0,2,0,0.236847884953022,30.05214798771053,0.15813536942005157,231567.5
bmx-trees,4,2,0,0,0,2,0,0.23214711993932724,31.03364498974953,0.1092594601213932,250143.0
bmx-trees,8,2,0,0,0,2,0,0.2303624376654625,30.849807764048947,0.11497299745678902,252166.5
breakdance,4,2,0,2,0,0,0,0.15329208970069885,25.628597945267853,0.1700771301984787,123729.0
breakdance,8,2,0,2,0,0,0,0.17215055972337723,25.33511357577089,0.18834799528121948,149152.0
camel,4,2,2,2,2,2,2,0.2857685536146164,25.580679236371516,0.18797314167022705,228002.5
camel,8,2,2,1,1,2,2,0.31267446279525757,25.76972315856063,0.18988750874996185,237815.5
car-roundabout,4,2,2,1,1,2,2,0.34546153247356415,26.823942468816007,0.15096522122621536,223383.0
car-roundabout,8,2,2,0,0,2,2,0.3492636978626251,27.51342278005315,0.14266688376665115,221243.0
car-shadow,4,2,1,0,0,1,1,0.2630118429660797,29.52275503523562,0.1516941711306572,214037.0
car-shadow,8,2,2,0,0,2,2,0.2962479740381241,29.683608219311324,0.15137971192598343,232117.5
cows,4,2,2,2,2,1,1,0.2882598042488098,24.705746314482965,0.2065528705716133,216943.0
cows,8,2,2,2,2,1,1,0.3146989494562149,24.68056772197344,0.21288800984621048,223713.5
dance-twirl,4,2,1,2,1,0,0,0.2562900260090828,26.75600816925116,0.2491673231124878,206271.5
dance-twirl,8,2,2,1,1,1,1,0.2721487283706665,28.731378180105974,0.21773608028888702,218506.5
dog,4,2,0,0,0,2,0,0.19637425243854523,30.875153930285393,0.16279695183038712,233641.0
dog,8,2,0,0,0,2,0,0.1853458136320114,33.475070616109356,0.14558862149715424,241565.5
dogs-jump,4,2,0,0,0,0,0,0.09529979154467583,31.70119100148007,0.17225827276706696,145107.5
dogs-jump,8,2,0,1,0,0,0,0.11238313466310501,31.08090956330894,0.22950417548418045,161858.0
drift-chicane,4,2,0,0,0,0,0,0.03281886037439108,30.928610610205517,0.1747724637389183,129312.5
drift-chicane,8,2,0,0,0,0,0,0.03885683789849281,30.884993514298948,0.17641060799360275,114760.5
drift-straight,4,2,2,0,0,2,2,0.37633413076400757,31.62113208414137,0.12861227244138718,252306.0
drift-straight,8,2,2,0,0,2,2,0.4551977813243866,30.252892817807073,0.11303743720054626,248552.5
goat,4,2,2,0,0,2,2,0.34143340587615967,27.287905475463383,0.1752728670835495,251509.0
goat,8,2,2,0,0,2,2,0.3363440930843353,26.583442735601405,0.17962689697742462,247414.5
gold-fish,4,2,0,0,0,0,0,0.10764295607805252,33.41237033283157,0.07908906415104866,191200.0
gold-fish,8,2,0,0,0,0,0,0.14246129244565964,33.44332730822839,0.07598245516419411,198661.0
horsejump-high,4,2,1,0,0,1,1,0.24640055745840073,27.80703964674874,0.15784983336925507,210518.0
horsejump-high,8,2,2,0,0,1,1,0.28822702169418335,27.816431395369538,0.1836489662528038,220016.5
