sequence,total_frames,base_gap,uniform_gap8_keyframes,uniform_gap4_keyframes,adaptive_keyframes,uniform_gap8_keyframe_count,uniform_gap4_keyframe_count,adaptive_keyframe_count,extra_keyframes_vs_gap8,uniform_gap8_keyframe_ratio,uniform_gap4_keyframe_ratio,adaptive_keyframe_ratio,metadata_bits,metadata_bytes,metadata_mib,selected_task_count,hard_task_count,selected_hard_count,high_payload_task_count,selected_high_payload_count,mean_selected_payload_bytes,mean_selected_psnr,mean_selected_lpips
bike-packing,69,8,0 8 16 24 32 40 48 56 64 68,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68,0 8 16 24 32 40 46 48 56 64 68,10,18,11,1,0.14492753623188406,0.2608695652173913,0.15942028985507245,85,11,1.0132789611816406e-05,1,3,1,0,0,211478.0,25.72814190108804,0.19889308512210846
blackswan,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 8 16 24 32 40 48 49,8,14,8,0,0.16,0.28,0.16,56,7,6.67572021484375e-06,0,0,0,4,0,,,
bmx-trees,80,8,0 8 16 24 32 40 48 56 64 72 79,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79,0 8 16 24 31 32 35 40 48 56 64 72 79,11,21,13,2,0.1375,0.2625,0.1625,99,13,1.1801719665527344e-05,4,0,0,4,4,251154.75,30.94172637689924,0.11211622878909111
breakdance,84,8,0 8 16 24 32 40 48 56 64 72 80 83,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 83,0 8 16 24 32 40 48 56 64 72 80 83,12,22,12,0,0.14285714285714285,0.2619047619047619,0.14285714285714285,92,12,1.0967254638671875e-05,0,4,0,0,0,,,
camel,90,8,0 8 16 24 32 40 48 56 64 72 80 88 89,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 8 16 23 24 32 40 47 48 51 56 64 72 75 80 88 89,13,24,17,4,0.14444444444444443,0.26666666666666666,0.18888888888888888,127,16,1.5139579772949219e-05,4,3,3,4,4,232909.0,25.675201197466073,0.18893032521009445
car-roundabout,75,8,0 8 16 24 32 40 48 56 64 72 74,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 74,0 1 8 15 16 24 29 32 40 48 56 59 64 72 74,11,20,15,4,0.14666666666666667,0.26666666666666666,0.2,113,15,1.3470649719238281e-05,4,1,1,4,4,222313.0,27.16868262443458,0.14681605249643326
car-shadow,40,8,0 8 16 24 32 39,0 4 8 12 16 20 24 28 32 36 39,0 8 10 16 19 24 32 35 39,6,11,9,3,0.15,0.275,0.225,62,8,7.3909759521484375e-06,3,0,0,3,3,228310.66666666666,29.590868186721412,0.15192380547523499
cows,104,8,0 8 16 24 32 40 48 56 64 72 80 88 96 103,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 100 103,0 8 15 16 19 24 32 40 42 48 56 60 64 72 80 88 96 103,14,27,18,4,0.1346153846153846,0.25961538461538464,0.17307692307692307,134,17,1.5974044799804688e-05,4,4,4,2,2,220328.25,24.693157018228202,0.2097204402089119
dance-twirl,90,8,0 8 16 24 32 40 48 56 64 72 80 88 89,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 8 16 21 24 32 40 48 56 64 68 72 80 82 88 89,13,24,16,3,0.14444444444444443,0.26666666666666666,0.17777777777777778,120,15,1.430511474609375e-05,3,3,2,1,1,217466.66666666666,28.28392430124857,0.22008555134137472
dog,60,8,0 8 16 24 32 40 48 56 59,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 59,0 5 8 16 24 32 40 42 48 56 59,9,16,11,2,0.15,0.26666666666666666,0.18333333333333332,74,10,8.821487426757812e-06,2,0,0,4,2,241565.5,33.475070616109356,0.14558862149715424
