task_id,sequence,gap,left_index,target_index,right_index,normalized_time,vote_count,selector_score,selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,rgb_motion_proxy_score,rgb_mad_linear_interp_target,rgb_mad_left_right,edge_mad_left_right,hist_chi_left_right
stage79_00022790,camel,4,48,51,52,0.75,1,1.4151260504201681,1,1,1,25.53339946053153,0.18961508572101593,225503.0,0.24843344023595876,0.06285937130451202,0.09960658103227615,0.2920314371585846,0.00047937608820902515
stage79_00030095,pigs,8,40,42,48,0.25,0,0.34789915966386553,0,0,0,31.169624995073086,0.19384321570396423,200270.0,0.1958788777501582,0.04532349854707718,0.08672386407852173,0.1768590658903122,0.00910921753643766
stage79_00022382,breakdance,8,0,6,8,0.75,0,0.25882352941176473,0,1,0,25.242663608239635,0.1973235011100769,142447.0,0.16288777949593314,0.043488722294569016,0.06777414679527283,0.16881856322288513,0.002384880862483192
stage79_00027470,kite-surf,4,28,29,32,0.25,0,0.2739495798319328,0,0,1,32.33223984735168,0.10891885310411453,220263.0,0.1536642397735918,0.03811253234744072,0.0659630075097084,0.16775760054588318,0.005098348303679578
stage79_00024353,dance-twirl,4,64,66,68,0.5,0,0.33949579831932775,0,1,0,26.122999794968553,0.2735501527786255,197156.0,0.19634172800066665,0.06863678246736526,0.07054372876882553,0.22330670058727264,0.0018407731082011021
stage79_00021991,bmx-trees,8,32,35,40,0.375,4,4.831932773109243,1,0,1,28.771315232908698,0.13936297595500946,253702.0,0.39965640910863554,0.14307229220867157,0.19107991456985474,0.2553205192089081,0.05328149437872125
stage79_00030917,soapbox,4,76,78,80,0.5,5,5.7478991596638656,1,0,1,30.961850197233606,0.14360126852989197,246995.0,0.3431682386406555,0.10784151405096054,0.16266509890556335,0.2876833975315094,0.025504314981837393
stage79_00027696,lab-coat,4,8,10,12,0.5,0,0.4235294117647059,0,0,1,28.26420284277614,0.17963165044784546,225545.0,0.20489322595558251,0.05835951492190361,0.08545569330453873,0.23026493191719055,0.01341087397107063
stage79_00023944,cows,8,56,60,64,0.5,2,2.5546218487394956,1,1,1,24.68471859771818,0.20881597697734833,231584.0,0.29873666979098046,0.0918344110250473,0.12338174879550934,0.3162260055541992,0.0008024943110579922
stage79_00021281,bike-packing,4,0,1,4,0.25,0,0.03697478991596639,0,0,0,26.104804335599894,0.20262430608272552,134579.0,0.0653288609110727,0.010243730619549751,0.025494948029518127,0.09232670068740845,0.0002930662126762449
stage79_00028843,motocross-jump,8,16,22,24,0.75,4,4.8806722689075634,1,1,1,32.51566190094791,0.24619509279727936,247999.0,0.6376647152130281,0.21249918639659882,0.3280704915523529,0.20248162746429443,0.6036358339039054
stage79_00025582,drift-straight,8,8,9,16,0.125,5,5.872268907563026,1,0,1,30.262937450018946,0.10939006507396698,236867.0,0.5077679984115713,0.09276317059993744,0.23333419859409332,0.45068877935409546,0.025529114834001856
stage79_00023826,cows,4,12,15,16,0.75,1,1.361344537815126,1,1,0,24.708306541723843,0.20466454327106476,208856.0,0.23314939244956426,0.05027789622545242,0.09759790450334549,0.27819570899009705,0.0002952211803702316
stage79_00027754,lab-coat,8,32,36,40,0.5,5,5.786554621848739,1,0,1,30.554460600115835,0.157304584980011,252728.0,0.3686767302451961,0.1253698319196701,0.16271436214447021,0.29243022203445435,0.021348223074602848
stage79_00030945,soapbox,8,8,15,16,0.875,0,0.34285714285714286,0,0,0,29.513427599271918,0.19582943618297577,213191.0,0.22576199231736055,0.04210292547941208,0.10289155691862106,0.21555975079536438,0.0021464583200130833
stage79_00026682,horsejump-high,8,16,20,24,0.5,1,1.584873949579832,1,0,1,27.513155614507667,0.207461416721344,226888.0,0.28419069606762093,0.08665882050991058,0.11946779489517212,0.27846235036849976,0.00794756780163392
stage79_00029702,parkour,8,88,90,96,0.25,4,4.709243697478992,1,1,1,25.56769999688809,0.22302022576332092,223869.0,0.3410517631725858,0.09450478106737137,0.15002310276031494,0.3064796030521393,0.014181273742419384
stage79_00028222,loading,8,8,13,16,0.625,5,5.892436974789916,1,0,1,28.725972105343534,0.12928496301174164,249897.0,0.4633646004183603,0.14423725008964539,0.21025900542736053,0.3717791736125946,0.028513300255066917
stage79_00023234,car-roundabout,8,8,15,16,0.875,3,3.707563025210084,1,0,1,27.508126915916684,0.14075687527656555,221694.0,0.3536123873530643,0.08409235626459122,0.15121041238307953,0.34433361887931824,0.010975989091558468
stage79_00022838,camel,8,16,23,24,0.875,3,3.623529411764706,1,0,1,26.20396708007785,0.18039542436599731,231360.0,0.34732910393579947,0.0694044977426529,0.1549486219882965,0.33197030425071716,0.004242135985839408
stage79_00024684,dog,4,4,6,8,0.5,0,0.4705882352941176,0,0,1,31.48631829272292,0.15496239066123962,233064.0,0.2264568633108139,0.07132568210363388,0.09726320207118988,0.20705845952033997,0.014171141076087806
stage79_00027990,libby,8,24,29,32,0.625,2,2.6100840336134454,1,0,1,32.1395477949241,0.20886823534965515,262762.0,0.27197439855684463,0.09676213562488556,0.12311025708913803,0.1969316452741623,0.03494795297545529
stage79_00026019,goat,8,72,75,80,0.375,3,3.6319327731092437,1,0,1,26.625525413835764,0.17736747860908508,250527.0,0.3531147224211137,0.13665582239627838,0.13022473454475403,0.3363440930843353,0.0007143368665444806
stage79_00027257,judo,4,16,18,20,0.5,0,0.08403361344537816,0,0,0,30.011250481564495,0.2196235954761505,107700.0,0.046381460953180666,0.0140320910140872,0.021114632487297058,0.04198146238923073,0.0039969090049144064
stage79_00023453,car-shadow,4,0,1,4,0.25,0,0.4504201680672269,0,0,0,29.640121948929643,0.1503763496875763,207377.0,0.23515084050148066,0.06306522339582443,0.09553463011980057,0.25535622239112854,0.005586482136782664
stage79_00021603,blackswan,4,32,35,36,0.75,0,0.2941176470588235,0,0,1,29.93624604505344,0.162162184715271,226344.0,0.19778453638771282,0.0521618016064167,0.08194335550069809,0.21435146033763885,0.0009500291139952816
stage79_00030326,scooter-black,4,24,27,28,0.75,5,5.936134453781513,1,0,1,27.19165314212106,0.13937756419181824,244648.0,0.5364239358868985,0.15919287502765656,0.23285767436027527,0.47202757000923157,0.035627126363804766
stage79_00026351,gold-fish,4,52,55,56,0.75,0,0.13109243697478992,0,0,0,33.303051185573665,0.07468410581350327,186524.0,0.10488938847625597,0.017882194370031357,0.04743383452296257,0.11818994581699371,0.0018800888899404011
stage79_00030516,shooting,4,4,7,8,0.75,4,4.705882352941177,1,0,1,35.227434595209886,0.16433610022068024,238787.0,0.36397160255234645,0.1338450163602829,0.16010621190071106,0.20087672770023346,0.016226657550739043
stage79_00024429,dance-twirl,8,64,68,72,0.5,1,1.477310924369748,1,1,0,26.483361587273105,0.2708978056907654,212763.0,0.2691599542166225,0.0781053826212883,0.10264623910188675,0.2785356640815735,0.0028077688359400615
stage79_00021341,bike-packing,8,8,11,16,0.375,0,0.24537815126050416,0,1,0,25.622482706829217,0.2319265902042389,180774.0,0.1364806101453798,0.0489007793366909,0.052306946367025375,0.14042934775352478,0.004737011914420353
stage79_00028530,mbike-trick,4,44,45,48,0.25,0,0.12773109243697478,0,0,0,29.983283985772196,0.1928885579109192,153505.0,0.08398051547951604,0.017849931493401527,0.035642653703689575,0.09841091185808182,0.00420528197994397
stage79_00027043,india,8,24,30,32,0.75,4,4.73781512605042,1,1,1,32.04372980040284,0.24491067230701447,230255.0,0.3424490194468247,0.11341164261102676,0.1599954515695572,0.22282512485980988,0.08837159423577008
stage79_00029140,paragliding-launch,4,56,59,60,0.75,0,0.17478991596638654,0,0,0,31.769360457442673,0.17319074273109436,216785.0,0.11217995415008668,0.03042263723909855,0.04569939896464348,0.12188297510147095,0.0035523050791059587
stage79_00027486,kite-surf,8,0,2,8,0.25,1,1.457142857142857,1,0,1,32.841689286523504,0.0874297022819519,227373.0,0.22100312083669646,0.05473540350794792,0.1053863912820816,0.15982680022716522,0.03930070222233163
stage79_00024728,dog,8,0,5,8,0.625,1,1.5378151260504203,1,0,1,32.84204481020986,0.15101756155490875,236667.0,0.23895202954638095,0.07524503022432327,0.10584074258804321,0.20811627805233002,0.025947769510835564
stage79_00027942,libby,4,16,18,20,0.5,0,0.4588235294117647,0,0,1,32.7872643629876,0.17209970951080322,257925.0,0.23903421450005227,0.08400064706802368,0.11088375747203827,0.17308853566646576,0.005503881321602403
stage79_00025050,dogs-jump,8,8,10,16,0.25,1,1.3092436974789916,1,0,0,31.59162098659429,0.181843563914299,155854.0,0.15096328366709938,0.034910839051008224,0.07006827741861343,0.11430761963129044,0.018488761199702594
stage79_00029217,paragliding-launch,8,64,71,72,0.875,0,0.17815126050420166,0,0,0,31.91899274602159,0.18131586909294128,208781.0,0.11395220001948725,0.0284540094435215,0.047173790633678436,0.1205911785364151,0.003584483427654381
