sequence,total_frames,uniform_gap8_keyframe_count,stage165_adaptive_keyframe_count,uniform_gap4_keyframe_count,extra_keyframes_vs_gap8,sampled_rows,hard_quality_rows,stage165_adaptive_promoted_rows,stage165_adaptive_promoted_hard_rows,stage165_adaptive_false_negative_hard_rows,high_payload_rows,stage165_adaptive_promoted_high_payload_rows,stage165_adaptive_false_negative_high_payload_rows,stage165_adaptive_avoided_payload_bytes,stage165_adaptive_residual_payload_bytes,stage165_adaptive_mean_remaining_psnr,stage165_adaptive_mean_remaining_lpips,smoke_score
bike-packing,69,10,11,18,1,4,3,1,1,2,0,0,0,211478.0,474529.0,25.591927048674336,0.209328422943751,15
blackswan,50,8,8,14,0,4,0,0,0,0,4,0,4,0,914312.0,30.008395864933085,0.15947145596146584,0
bmx-trees,80,11,13,21,2,4,0,4,0,0,4,4,0,1004619.0,0,,,10
breakdance,84,12,12,22,0,4,4,0,0,4,0,0,0,0,545762.0,25.48185576051937,0.1792125627398491,20
camel,90,13,17,24,4,4,3,4,3,0,4,4,0,931636.0,0,,,24
car-roundabout,75,11,15,20,4,4,1,4,1,0,4,4,0,889252.0,0,,,16
car-shadow,40,6,9,11,3,4,0,3,0,0,3,3,0,684932.0,207377.0,29.640121948929643,0.1503763496875763,9
cows,104,14,18,27,4,4,4,4,4,0,2,2,0,881313.0,0,,,24
dance-twirl,90,13,16,24,3,4,3,3,2,1,1,1,0,652400.0,197156.0,26.122999794968553,0.2735501527786255,18
dog,60,9,11,16,2,4,0,2,0,0,4,2,2,483131.0,467282.0,30.875153930285393,0.16279695183038712,6
dogs-jump,66,10,11,18,1,4,1,1,0,1,0,0,0,155854.0,458077.0,31.324193380994576,0.20722711086273193,6
drift-chicane,52,8,10,14,2,4,0,2,0,0,0,0,0,233841.0,254305.0,31.48820057135245,0.17485152930021286,2
drift-straight,50,8,12,14,4,4,0,4,0,0,4,4,0,1001717.0,0,,,12
goat,90,13,17,24,4,4,0,4,0,0,4,4,0,997847.0,0,,,12
gold-fish,78,11,11,21,0,4,0,0,0,0,0,0,0,0,779722.0,33.427848820529974,0.07753575965762138,0
horsejump-high,50,8,10,14,2,4,0,2,0,0,2,1,1,440033.0,421036.0,27.80703964674874,0.15784983336925507,4
india,81,11,14,21,3,4,2,3,2,0,3,3,0,685389.0,212824.0,33.077209537986654,0.09934594482183456,17
judo,34,6,6,10,0,4,0,0,0,0,0,0,0,0,434965.0,31.07186546702294,0.17769280821084976,0
kite-surf,50,8,10,14,2,4,0,2,0,0,3,2,1,449558.0,435681.0,32.25224322873085,0.10872717574238777,6
lab-coat,47,7,9,13,2,4,0,2,0,0,3,2,1,502592.0,444462.0,27.944375558714363,0.19060788303613663,6
libby,49,7,10,13,3,4,0,3,0,0,4,3,1,764897.0,257925.0,32.7872643629876,0.17209970951080322,9
loading,50,8,11,14,3,4,0,4,0,0,4,4,0,971685.0,0,,,11
mbike-trick,79,11,11,21,0,4,0,0,0,0,0,0,0,0,691158.0,29.943292837018785,0.20972353219985962,0
motocross-jump,40,6,9,11,3,4,4,4,4,0,4,4,0,1006234.0,0,,,27
paragliding-launch,80,11,11,21,0,4,0,0,0,0,1,0,1,0,856827.0,31.23099800869548,0.1828407607972622,0
parkour,100,14,17,26,3,4,2,3,2,0,3,2,1,667951.0,223015.0,29.319853135921633,0.1671568751335144,15
pigs,79,11,11,21,0,4,0,0,0,0,1,0,1,0,790297.0,31.732927389135064,0.16753719374537468,0
scooter-black,43,7,11,12,4,4,2,4,2,0,3,3,0,934479.0,0,,,18
shooting,40,6,10,11,4,4,1,4,1,0,4,4,0,954419.0,0,,,16
soapbox,99,14,17,26,3,4,0,3,0,0,3,3,0,736483.0,213191.0,29.513427599271918,0.19582943618297577,9
