target_key,source_task_id,sequence,target_index,source_gap,hard_quality_label,high_payload_label,schedule,left_index,right_index,segment_length,normalized_time,status,selected_half,psnr,ssim,ms_ssim,lpips,original_psnr,original_ssim,original_ms_ssim,original_lpips,payload_bytes,side_mib_per_intermediate,delta_psnr_vs_uniform_gap8,delta_lpips_vs_uniform_gap8,render_note
motocross-jump:00013,stage79_00028835,motocross-jump,13,8,1,1,uniform_gap8,8,16,8,0.625,rendered_middle_recovery,right,31.063829825022648,0.7812431454658508,0.9654493927955627,0.3191358745098114,14.721935068555451,0.4268844425678253,0.31247860193252563,0.6770032644271851,263358,0.2511577606201172,0.0,0.0,actual_adjacent_schedule_segment
motocross-jump:00013,stage79_00028835,motocross-jump,13,8,1,1,stage165_adaptive,13,13,0,0.0,target_keyframe_no_middle_render,NA,,,,,,,,,0,0.0,,,target is transmitted keyframe under this schedule
motocross-jump:00013,stage79_00028835,motocross-jump,13,8,1,1,uniform_gap4,12,16,4,0.25,rendered_middle_recovery,left,33.23198281080156,0.8665189743041992,0.9809311032295227,0.2331462800502777,16.91056369142189,0.4451569616794586,0.425536185503006,0.6057360172271729,244937,0.23359012603759766,2.1681529857789137,-0.08598959445953369,actual_adjacent_schedule_segment
motocross-jump:00022,stage79_00028811,motocross-jump,22,4,1,1,uniform_gap8,16,24,8,0.75,rendered_middle_recovery,right,32.51566190094791,0.8911518454551697,0.9843597412109375,0.24619509279727936,12.472897671347383,0.4210059940814972,0.18034245073795319,0.6688511967658997,247999,0.2365102767944336,0.0,0.0,actual_adjacent_schedule_segment
motocross-jump:00022,stage79_00028811,motocross-jump,22,4,1,1,stage165_adaptive,22,22,0,0.0,target_keyframe_no_middle_render,NA,,,,,,,,,0,0.0,,,target is transmitted keyframe under this schedule
motocross-jump:00022,stage79_00028811,motocross-jump,22,4,1,1,uniform_gap4,20,24,4,0.5,rendered_middle_recovery,right,30.119209546194526,0.799853503704071,0.9659498333930969,0.33573687076568604,13.382142950217844,0.4249404966831207,0.28308480978012085,0.6503110527992249,253183,0.2414541244506836,-2.396452354753386,0.08954177796840668,actual_adjacent_schedule_segment
motocross-jump:00023,stage79_00028812,motocross-jump,23,4,1,1,uniform_gap8,16,24,8,0.875,rendered_middle_recovery,right,33.73711967135464,0.9318807721138,0.9887822866439819,0.19372843205928802,13.517543383219031,0.4582289755344391,0.30581334233283997,0.620800256729126,236236,0.22529220581054688,0.0,0.0,actual_adjacent_schedule_segment
motocross-jump:00023,stage79_00028812,motocross-jump,23,4,1,1,stage165_adaptive,23,23,0,0.0,target_keyframe_no_middle_render,NA,,,,,,,,,0,0.0,,,target is transmitted keyframe under this schedule
motocross-jump:00023,stage79_00028812,motocross-jump,23,4,1,1,uniform_gap4,20,24,4,0.75,rendered_middle_recovery,right,32.663031483960296,0.8911888003349304,0.9837796092033386,0.265142023563385,14.094692782607366,0.44769611954689026,0.3551819920539856,0.6208215951919556,241694,0.2304973602294922,-1.074088187394345,0.07141359150409698,actual_adjacent_schedule_segment
camel:00075,stage79_00022883,camel,75,8,1,1,uniform_gap8,72,80,8,0.375,rendered_middle_recovery,left,25.335479237043415,0.7892621159553528,0.9782888889312744,0.1993795931339264,19.213471722359884,0.3315218687057495,0.7408965826034546,0.3084881603717804,244271,0.2329549789428711,0.0,0.0,actual_adjacent_schedule_segment
