sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
n3dv,segment_motion,4,81,21,0.25925925925925924,0.11848958333333333,5,4.0,2 2 2 4 5 5 5 5 5 5 3 3 4 5 5 5 5 5 3 2,0 2 4 6 10 15 20 25 30 35 40 43 46 50 55 60 65 70 75 78 80
n3dv,segment_gaussian,4,81,21,0.25925925925925924,0.11848958333333333,7,4.0,2 2 2 3 5 5 7 4 5 5 3 3 4 5 5 5 5 5 3 2,0 2 4 6 9 14 19 26 30 35 40 43 46 50 55 60 65 70 75 78 80
n3dv,segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 3 5 5 6 5 5 5 3 3 4 5 5 5 5 5 3 2,0 2 4 6 9 14 19 25 30 35 40 43 46 50 55 60 65 70 75 78 80
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80
n3dv,segment_motion,8,81,11,0.13580246913580246,0.062065972222222224,11,8.0,3 3 7 7 11 9 9 11 10 10,0 3 6 13 20 31 40 49 60 70 80
n3dv,segment_gaussian,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,3 4 12 12 9 9 11 5 6 9,0 3 7 19 31 40 49 60 65 71 80
n3dv,segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,3 3 6 7 12 9 9 11 10 10,0 3 6 12 19 31 40 49 60 70 80
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80
n3dv,segment_motion,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,13 14 13 20 20,0 13 27 40 60 80
n3dv,segment_gaussian,16,81,6,0.07407407407407407,0.033854166666666664,29,16.0,11 29 20 11 9,0 11 40 60 71 80
n3dv,segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,13 14 13 20 20,0 13 27 40 60 80
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,segment_motion,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,3 2 5 6 4 2 3 5 5 5 4 6 6 2 2 2 3 4 5 6,0 3 5 10 16 20 22 25 30 35 40 44 50 56 58 60 62 65 69 74 80
meetroom,segment_gaussian,4,81,21,0.25925925925925924,0.11848958333333333,7,4.0,5 5 6 4 4 2 3 7 4 4 6 6 2 2 2 2 2 3 5 6,0 5 10 16 20 24 26 29 36 40 44 50 56 58 60 62 64 66 69 74 80
meetroom,segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,5 5 6 4 2 3 5 6 4 4 6 6 2 2 2 2 2 3 5 6,0 5 10 16 20 22 25 30 36 40 44 50 56 58 60 62 64 66 69 74 80
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80
meetroom,segment_motion,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,9 7 4 8 12 11 9 4 4 12,0 9 16 20 28 40 51 60 64 68 80
meetroom,segment_gaussian,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,9 11 8 12 12 8 4 3 5 8,0 9 20 28 40 52 60 64 67 72 80
