sample,selection_method,reference_gap,total_frames,keyframe_count,keyframe_ratio,max_segment_length,estimated_q8_static_mib_per_frame,all_psnr_avg,all_ssim_avg,middle_psnr_avg,middle_ssim_avg,given_psnr_avg,given_ssim_avg,raw_pred_gs_mib_per_frame
n3dv,uniform,4,81,21,0.25925925925925924,4,0.11848958333333333,33.39609679886218,0.9628844577589153,33.05215015387749,0.960603819290797,34.37880149881845,0.9694005676678249,1.5277777777777777
n3dv,uniform,8,81,11,0.13580246913580246,8,0.062065972222222224,32.50256438589778,0.9579449406376591,32.2073772502555,0.9561403547014509,34.381027976348605,0.9694286693226207,0.7638888888888888
n3dv,uniform,16,81,6,0.07407407407407407,16,0.033854166666666664,30.881761283241584,0.9464583992958069,30.60315188772239,0.9446262415250143,34.364378727231404,0.969360371430715,0.3819444444444444
n3dv,segment_rd,4,81,21,0.25925925925925924,6,0.11848958333333333,33.428578143327144,0.9634050520849816,33.084130548722,0.9612218499183655,34.41271412791328,0.9696427725610279,1.5277777777777777
n3dv,segment_rd,8,81,11,0.13580246913580246,12,0.062065972222222224,32.400938815791356,0.9568628698219488,32.085770582342775,0.9548590430191585,34.406554846827824,0.9696144949306141,0.7638888888888888
n3dv,segment_rd,16,81,6,0.07407407407407407,20,0.033854166666666664,31.401522780566143,0.9499950232329192,31.160727202005425,0.9484270906448364,34.41146751257531,0.9695941805839539,0.3819444444444444
meetroom,uniform,4,81,21,0.25925925925925924,4,0.11848958333333333,32.426306092422514,0.9657658301753762,31.164020411576498,0.960177039106687,36.0328366091254,0.9817338046573457,1.5277777777777777
meetroom,uniform,8,81,11,0.13580246913580246,8,0.062065972222222224,29.688130950006713,0.9497023945973243,28.687148852514348,0.9446644502026694,36.05801702495813,0.9817620407451283,0.7638888888888888
meetroom,uniform,16,81,6,0.07407407407407407,16,0.033854166666666664,26.79901812322996,0.9289351863625609,26.05673830597194,0.9247069843610127,36.07751583895526,0.9817877113819122,0.3819444444444444
meetroom,segment_rd,4,81,21,0.25925925925925924,6,0.11848958333333333,32.23470027048153,0.9650289563485134,30.87014915711624,0.9590725123882293,36.133417737239526,0.9820473676636106,1.5277777777777777
meetroom,segment_rd,8,81,11,0.13580246913580246,12,0.062065972222222224,29.374703985863242,0.9477471275094115,28.323848531176075,0.9423903814383916,36.06196597023609,0.9818355115977201,0.7638888888888888
meetroom,segment_rd,16,81,6,0.07407407407407407,20,0.033854166666666664,26.708534402679355,0.9270819307845316,25.96054984611166,0.9227117609977722,36.05834135977544,0.9817090531190237,0.3819444444444444
driving,uniform,4,81,21,0.25925925925925924,4,0.11848958333333333,30.194992473308346,0.8423252981386067,27.836169561169633,0.7984944164752961,36.93448650799036,0.9675563886052087,1.5277777777777777
driving,uniform,8,81,11,0.13580246913580246,8,0.062065972222222224,27.86514162098426,0.7772129928624188,26.44152072715533,0.7473001999514444,36.92454730898658,0.9675671295686201,0.7638888888888888
driving,uniform,16,81,6,0.07407407407407407,16,0.033854166666666664,25.116347046388054,0.6941217404824717,24.17206324391745,0.6722550884882609,36.919894577270604,0.9674548904101054,0.3819444444444444
driving,segment_rd,4,81,21,0.25925925925925924,6,0.11848958333333333,30.455521453965307,0.8510365817281935,28.160586286253864,0.8101822127898534,37.012479075998016,0.9677633501234508,1.5277777777777777
driving,segment_rd,8,81,11,0.13580246913580246,12,0.062065972222222224,27.850553211601415,0.7856347001629111,26.411144404254244,0.7570193512099129,37.01042744017437,0.9677323753183539,0.7638888888888888
driving,segment_rd,16,81,6,0.07407407407407407,23,0.033854166666666664,24.462755605530187,0.6648863020502491,23.46103281142625,0.6406704533100128,36.98429053182944,0.9675844113032023,0.3819444444444444
robot,uniform,4,77,20,0.2597402597402597,4,0.11870941558441558,26.48952399862992,0.8638617195092239,23.178617517791157,0.827526965685058,35.925607469020385,0.9674157679080964,1.5267857142857142
robot,uniform,8,77,11,0.14285714285714285,8,0.06529017857142858,23.881147029593635,0.8210364340187667,21.872060070351942,0.7966613923058365,35.93566878504379,0.9672866842963479,0.8035714285714286
robot,uniform,16,77,6,0.07792207792207792,16,0.03561282467532467,21.820691934634624,0.7877994481619303,20.638129159906573,0.7726663636489653,35.81435143558327,0.9668742815653483,0.4017857142857143
robot,segment_rd,4,77,20,0.2597402597402597,8,0.11870941558441558,26.282488669614075,0.863784456407869,22.881804558757004,0.8273834115580508,35.974438385556724,0.9675274342298508,1.5267857142857142
robot,segment_rd,8,77,11,0.14285714285714285,11,0.06529017857142858,23.53513222950645,0.8177450121223152,21.46759838648065,0.792732093370322,35.940335287661235,0.9678225246342745,0.8035714285714286
robot,segment_rd,16,77,6,0.07792207792207792,25,0.03561282467532467,21.230534502695182,0.7786103440569593,20.01025365555201,0.7627143666777813,35.67052452722265,0.9667127430438995,0.4017857142857143
