sequence,total_frames,schedule,frame_index,measurement_type,measurement_key,left_index,right_index,segment_length,normalized_time,is_keyframe,notes
bike-packing,69,uniform_gap8,0,q12_keyframe_payload,keyframe::bike-packing:00000,0,0,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap8,1,stage158_residual_payload,residual::bike-packing:00001:00000:00008,0,8,8,0.125,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,2,stage158_residual_payload,residual::bike-packing:00002:00000:00008,0,8,8,0.25,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,3,stage158_residual_payload,residual::bike-packing:00003:00000:00008,0,8,8,0.375,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,4,stage158_residual_payload,residual::bike-packing:00004:00000:00008,0,8,8,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,5,stage158_residual_payload,residual::bike-packing:00005:00000:00008,0,8,8,0.625,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,6,stage158_residual_payload,residual::bike-packing:00006:00000:00008,0,8,8,0.75,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,7,stage158_residual_payload,residual::bike-packing:00007:00000:00008,0,8,8,0.875,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,8,q12_keyframe_payload,keyframe::bike-packing:00008,8,8,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap8,9,stage158_residual_payload,residual::bike-packing:00009:00008:00016,8,16,8,0.125,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,10,stage158_residual_payload,residual::bike-packing:00010:00008:00016,8,16,8,0.25,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,11,stage158_residual_payload,residual::bike-packing:00011:00008:00016,8,16,8,0.375,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,12,stage158_residual_payload,residual::bike-packing:00012:00008:00016,8,16,8,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,13,stage158_residual_payload,residual::bike-packing:00013:00008:00016,8,16,8,0.625,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,14,stage158_residual_payload,residual::bike-packing:00014:00008:00016,8,16,8,0.75,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,15,stage158_residual_payload,residual::bike-packing:00015:00008:00016,8,16,8,0.875,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,16,q12_keyframe_payload,keyframe::bike-packing:00016,16,16,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap8,17,stage158_residual_payload,residual::bike-packing:00017:00016:00024,16,24,8,0.125,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,18,stage158_residual_payload,residual::bike-packing:00018:00016:00024,16,24,8,0.25,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,19,stage158_residual_payload,residual::bike-packing:00019:00016:00024,16,24,8,0.375,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,20,stage158_residual_payload,residual::bike-packing:00020:00016:00024,16,24,8,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,21,stage158_residual_payload,residual::bike-packing:00021:00016:00024,16,24,8,0.625,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,22,stage158_residual_payload,residual::bike-packing:00022:00016:00024,16,24,8,0.75,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,23,stage158_residual_payload,residual::bike-packing:00023:00016:00024,16,24,8,0.875,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,24,q12_keyframe_payload,keyframe::bike-packing:00024,24,24,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap8,25,stage158_residual_payload,residual::bike-packing:00025:00024:00032,24,32,8,0.125,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,26,stage158_residual_payload,residual::bike-packing:00026:00024:00032,24,32,8,0.25,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,27,stage158_residual_payload,residual::bike-packing:00027:00024:00032,24,32,8,0.375,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,28,stage158_residual_payload,residual::bike-packing:00028:00024:00032,24,32,8,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,29,stage158_residual_payload,residual::bike-packing:00029:00024:00032,24,32,8,0.625,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,30,stage158_residual_payload,residual::bike-packing:00030:00024:00032,24,32,8,0.75,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,31,stage158_residual_payload,residual::bike-packing:00031:00024:00032,24,32,8,0.875,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap8,32,q12_keyframe_payload,keyframe::bike-packing:00032,32,32,0,0.0,1,measure transmitted q12 keyframe anchor payload
