measurement_key,sequence,frame_index,used_by_schedules,schedule_count
keyframe::bike-packing:00000,bike-packing,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00004,bike-packing,4,uniform_gap4,1
keyframe::bike-packing:00008,bike-packing,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00012,bike-packing,12,uniform_gap4,1
keyframe::bike-packing:00016,bike-packing,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00020,bike-packing,20,uniform_gap4,1
keyframe::bike-packing:00024,bike-packing,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00028,bike-packing,28,uniform_gap4,1
keyframe::bike-packing:00032,bike-packing,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00036,bike-packing,36,uniform_gap4,1
keyframe::bike-packing:00040,bike-packing,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00044,bike-packing,44,uniform_gap4,1
keyframe::bike-packing:00046,bike-packing,46,stage165_adaptive,1
keyframe::bike-packing:00048,bike-packing,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00052,bike-packing,52,uniform_gap4,1
keyframe::bike-packing:00056,bike-packing,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00060,bike-packing,60,uniform_gap4,1
keyframe::bike-packing:00064,bike-packing,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bike-packing:00068,bike-packing,68,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00000,blackswan,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00004,blackswan,4,uniform_gap4,1
keyframe::blackswan:00008,blackswan,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00012,blackswan,12,uniform_gap4,1
keyframe::blackswan:00016,blackswan,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00020,blackswan,20,uniform_gap4,1
keyframe::blackswan:00024,blackswan,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00028,blackswan,28,uniform_gap4,1
keyframe::blackswan:00032,blackswan,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00036,blackswan,36,uniform_gap4,1
keyframe::blackswan:00040,blackswan,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00044,blackswan,44,uniform_gap4,1
keyframe::blackswan:00048,blackswan,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::blackswan:00049,blackswan,49,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00000,bmx-trees,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00004,bmx-trees,4,uniform_gap4,1
keyframe::bmx-trees:00008,bmx-trees,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00012,bmx-trees,12,uniform_gap4,1
keyframe::bmx-trees:00016,bmx-trees,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00020,bmx-trees,20,uniform_gap4,1
keyframe::bmx-trees:00024,bmx-trees,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00028,bmx-trees,28,uniform_gap4,1
keyframe::bmx-trees:00031,bmx-trees,31,stage165_adaptive,1
keyframe::bmx-trees:00032,bmx-trees,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00035,bmx-trees,35,stage165_adaptive,1
keyframe::bmx-trees:00036,bmx-trees,36,uniform_gap4,1
keyframe::bmx-trees:00040,bmx-trees,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00044,bmx-trees,44,uniform_gap4,1
keyframe::bmx-trees:00048,bmx-trees,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00052,bmx-trees,52,uniform_gap4,1
keyframe::bmx-trees:00056,bmx-trees,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00060,bmx-trees,60,uniform_gap4,1
keyframe::bmx-trees:00064,bmx-trees,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00068,bmx-trees,68,uniform_gap4,1
keyframe::bmx-trees:00072,bmx-trees,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::bmx-trees:00076,bmx-trees,76,uniform_gap4,1
keyframe::bmx-trees:00079,bmx-trees,79,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00000,breakdance,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00004,breakdance,4,uniform_gap4,1
keyframe::breakdance:00008,breakdance,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00012,breakdance,12,uniform_gap4,1
keyframe::breakdance:00016,breakdance,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00020,breakdance,20,uniform_gap4,1
keyframe::breakdance:00024,breakdance,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00028,breakdance,28,uniform_gap4,1
keyframe::breakdance:00032,breakdance,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00036,breakdance,36,uniform_gap4,1
keyframe::breakdance:00040,breakdance,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00044,breakdance,44,uniform_gap4,1
keyframe::breakdance:00048,breakdance,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00052,breakdance,52,uniform_gap4,1
keyframe::breakdance:00056,breakdance,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00060,breakdance,60,uniform_gap4,1
keyframe::breakdance:00064,breakdance,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00068,breakdance,68,uniform_gap4,1
keyframe::breakdance:00072,breakdance,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00076,breakdance,76,uniform_gap4,1
keyframe::breakdance:00080,breakdance,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::breakdance:00083,breakdance,83,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00000,camel,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00004,camel,4,uniform_gap4,1
keyframe::camel:00008,camel,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00012,camel,12,uniform_gap4,1
keyframe::camel:00016,camel,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00020,camel,20,uniform_gap4,1
keyframe::camel:00023,camel,23,stage165_adaptive,1
keyframe::camel:00024,camel,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00028,camel,28,uniform_gap4,1
keyframe::camel:00032,camel,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00036,camel,36,uniform_gap4,1
keyframe::camel:00040,camel,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00044,camel,44,uniform_gap4,1
keyframe::camel:00047,camel,47,stage165_adaptive,1
keyframe::camel:00048,camel,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00051,camel,51,stage165_adaptive,1
keyframe::camel:00052,camel,52,uniform_gap4,1
keyframe::camel:00056,camel,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00060,camel,60,uniform_gap4,1
keyframe::camel:00064,camel,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00068,camel,68,uniform_gap4,1
keyframe::camel:00072,camel,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00075,camel,75,stage165_adaptive,1
keyframe::camel:00076,camel,76,uniform_gap4,1
keyframe::camel:00080,camel,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00084,camel,84,uniform_gap4,1
keyframe::camel:00088,camel,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::camel:00089,camel,89,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00000,car-roundabout,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00001,car-roundabout,1,stage165_adaptive,1
keyframe::car-roundabout:00004,car-roundabout,4,uniform_gap4,1
keyframe::car-roundabout:00008,car-roundabout,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00012,car-roundabout,12,uniform_gap4,1
keyframe::car-roundabout:00015,car-roundabout,15,stage165_adaptive,1
keyframe::car-roundabout:00016,car-roundabout,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00020,car-roundabout,20,uniform_gap4,1
keyframe::car-roundabout:00024,car-roundabout,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00028,car-roundabout,28,uniform_gap4,1
keyframe::car-roundabout:00029,car-roundabout,29,stage165_adaptive,1
keyframe::car-roundabout:00032,car-roundabout,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00036,car-roundabout,36,uniform_gap4,1
keyframe::car-roundabout:00040,car-roundabout,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00044,car-roundabout,44,uniform_gap4,1
keyframe::car-roundabout:00048,car-roundabout,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00052,car-roundabout,52,uniform_gap4,1
keyframe::car-roundabout:00056,car-roundabout,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00059,car-roundabout,59,stage165_adaptive,1
keyframe::car-roundabout:00060,car-roundabout,60,uniform_gap4,1
keyframe::car-roundabout:00064,car-roundabout,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00068,car-roundabout,68,uniform_gap4,1
keyframe::car-roundabout:00072,car-roundabout,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-roundabout:00074,car-roundabout,74,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00000,car-shadow,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00004,car-shadow,4,uniform_gap4,1
keyframe::car-shadow:00008,car-shadow,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00010,car-shadow,10,stage165_adaptive,1
keyframe::car-shadow:00012,car-shadow,12,uniform_gap4,1
keyframe::car-shadow:00016,car-shadow,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00019,car-shadow,19,stage165_adaptive,1
keyframe::car-shadow:00020,car-shadow,20,uniform_gap4,1
keyframe::car-shadow:00024,car-shadow,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00028,car-shadow,28,uniform_gap4,1
keyframe::car-shadow:00032,car-shadow,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::car-shadow:00035,car-shadow,35,stage165_adaptive,1
keyframe::car-shadow:00036,car-shadow,36,uniform_gap4,1
keyframe::car-shadow:00039,car-shadow,39,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00000,cows,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00004,cows,4,uniform_gap4,1
keyframe::cows:00008,cows,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00012,cows,12,uniform_gap4,1
keyframe::cows:00015,cows,15,stage165_adaptive,1
keyframe::cows:00016,cows,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00019,cows,19,stage165_adaptive,1
keyframe::cows:00020,cows,20,uniform_gap4,1
keyframe::cows:00024,cows,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00028,cows,28,uniform_gap4,1
keyframe::cows:00032,cows,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00036,cows,36,uniform_gap4,1
keyframe::cows:00040,cows,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00042,cows,42,stage165_adaptive,1
keyframe::cows:00044,cows,44,uniform_gap4,1
keyframe::cows:00048,cows,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00052,cows,52,uniform_gap4,1
keyframe::cows:00056,cows,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00060,cows,60,stage165_adaptive uniform_gap4,2
keyframe::cows:00064,cows,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00068,cows,68,uniform_gap4,1
keyframe::cows:00072,cows,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00076,cows,76,uniform_gap4,1
keyframe::cows:00080,cows,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00084,cows,84,uniform_gap4,1
keyframe::cows:00088,cows,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00092,cows,92,uniform_gap4,1
keyframe::cows:00096,cows,96,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::cows:00100,cows,100,uniform_gap4,1
keyframe::cows:00103,cows,103,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00000,dance-twirl,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00004,dance-twirl,4,uniform_gap4,1
keyframe::dance-twirl:00008,dance-twirl,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00012,dance-twirl,12,uniform_gap4,1
keyframe::dance-twirl:00016,dance-twirl,16,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00020,dance-twirl,20,uniform_gap4,1
keyframe::dance-twirl:00021,dance-twirl,21,stage165_adaptive,1
keyframe::dance-twirl:00024,dance-twirl,24,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00028,dance-twirl,28,uniform_gap4,1
keyframe::dance-twirl:00032,dance-twirl,32,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00036,dance-twirl,36,uniform_gap4,1
keyframe::dance-twirl:00040,dance-twirl,40,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00044,dance-twirl,44,uniform_gap4,1
keyframe::dance-twirl:00048,dance-twirl,48,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00052,dance-twirl,52,uniform_gap4,1
keyframe::dance-twirl:00056,dance-twirl,56,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00060,dance-twirl,60,uniform_gap4,1
keyframe::dance-twirl:00064,dance-twirl,64,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00068,dance-twirl,68,stage165_adaptive uniform_gap4,2
keyframe::dance-twirl:00072,dance-twirl,72,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00076,dance-twirl,76,uniform_gap4,1
keyframe::dance-twirl:00080,dance-twirl,80,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00082,dance-twirl,82,stage165_adaptive,1
keyframe::dance-twirl:00084,dance-twirl,84,uniform_gap4,1
keyframe::dance-twirl:00088,dance-twirl,88,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dance-twirl:00089,dance-twirl,89,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00000,dog,0,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00004,dog,4,uniform_gap4,1
keyframe::dog:00005,dog,5,stage165_adaptive,1
keyframe::dog:00008,dog,8,stage165_adaptive uniform_gap4 uniform_gap8,3
keyframe::dog:00012,dog,12,uniform_gap4,1
keyframe::dog:00016,dog,16,stage165_adaptive uniform_gap4 uniform_gap8,3
