measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count
residual::bike-packing:00001:00000:00004,bike-packing,1,0,4,4,0.25,uniform_gap4,1
residual::bike-packing:00001:00000:00008,bike-packing,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00002:00000:00004,bike-packing,2,0,4,4,0.5,uniform_gap4,1
residual::bike-packing:00002:00000:00008,bike-packing,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00003:00000:00004,bike-packing,3,0,4,4,0.75,uniform_gap4,1
residual::bike-packing:00003:00000:00008,bike-packing,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00004:00000:00008,bike-packing,4,0,8,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00005:00000:00008,bike-packing,5,0,8,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00005:00004:00008,bike-packing,5,4,8,4,0.25,uniform_gap4,1
residual::bike-packing:00006:00000:00008,bike-packing,6,0,8,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00006:00004:00008,bike-packing,6,4,8,4,0.5,uniform_gap4,1
residual::bike-packing:00007:00000:00008,bike-packing,7,0,8,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00007:00004:00008,bike-packing,7,4,8,4,0.75,uniform_gap4,1
residual::bike-packing:00009:00008:00012,bike-packing,9,8,12,4,0.25,uniform_gap4,1
residual::bike-packing:00009:00008:00016,bike-packing,9,8,16,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00010:00008:00012,bike-packing,10,8,12,4,0.5,uniform_gap4,1
residual::bike-packing:00010:00008:00016,bike-packing,10,8,16,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00011:00008:00012,bike-packing,11,8,12,4,0.75,uniform_gap4,1
residual::bike-packing:00011:00008:00016,bike-packing,11,8,16,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00012:00008:00016,bike-packing,12,8,16,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00013:00008:00016,bike-packing,13,8,16,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00013:00012:00016,bike-packing,13,12,16,4,0.25,uniform_gap4,1
residual::bike-packing:00014:00008:00016,bike-packing,14,8,16,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00014:00012:00016,bike-packing,14,12,16,4,0.5,uniform_gap4,1
residual::bike-packing:00015:00008:00016,bike-packing,15,8,16,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00015:00012:00016,bike-packing,15,12,16,4,0.75,uniform_gap4,1
residual::bike-packing:00017:00016:00020,bike-packing,17,16,20,4,0.25,uniform_gap4,1
residual::bike-packing:00017:00016:00024,bike-packing,17,16,24,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00018:00016:00020,bike-packing,18,16,20,4,0.5,uniform_gap4,1
residual::bike-packing:00018:00016:00024,bike-packing,18,16,24,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00019:00016:00020,bike-packing,19,16,20,4,0.75,uniform_gap4,1
residual::bike-packing:00019:00016:00024,bike-packing,19,16,24,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00020:00016:00024,bike-packing,20,16,24,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00021:00016:00024,bike-packing,21,16,24,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00021:00020:00024,bike-packing,21,20,24,4,0.25,uniform_gap4,1
residual::bike-packing:00022:00016:00024,bike-packing,22,16,24,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00022:00020:00024,bike-packing,22,20,24,4,0.5,uniform_gap4,1
residual::bike-packing:00023:00016:00024,bike-packing,23,16,24,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00023:00020:00024,bike-packing,23,20,24,4,0.75,uniform_gap4,1
residual::bike-packing:00025:00024:00028,bike-packing,25,24,28,4,0.25,uniform_gap4,1
residual::bike-packing:00025:00024:00032,bike-packing,25,24,32,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00026:00024:00028,bike-packing,26,24,28,4,0.5,uniform_gap4,1
residual::bike-packing:00026:00024:00032,bike-packing,26,24,32,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00027:00024:00028,bike-packing,27,24,28,4,0.75,uniform_gap4,1
residual::bike-packing:00027:00024:00032,bike-packing,27,24,32,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00028:00024:00032,bike-packing,28,24,32,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00029:00024:00032,bike-packing,29,24,32,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00029:00028:00032,bike-packing,29,28,32,4,0.25,uniform_gap4,1
residual::bike-packing:00030:00024:00032,bike-packing,30,24,32,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00030:00028:00032,bike-packing,30,28,32,4,0.5,uniform_gap4,1
residual::bike-packing:00031:00024:00032,bike-packing,31,24,32,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00031:00028:00032,bike-packing,31,28,32,4,0.75,uniform_gap4,1
residual::bike-packing:00033:00032:00036,bike-packing,33,32,36,4,0.25,uniform_gap4,1
residual::bike-packing:00033:00032:00040,bike-packing,33,32,40,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00034:00032:00036,bike-packing,34,32,36,4,0.5,uniform_gap4,1
residual::bike-packing:00034:00032:00040,bike-packing,34,32,40,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00035:00032:00036,bike-packing,35,32,36,4,0.75,uniform_gap4,1
residual::bike-packing:00035:00032:00040,bike-packing,35,32,40,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00036:00032:00040,bike-packing,36,32,40,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00037:00032:00040,bike-packing,37,32,40,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00037:00036:00040,bike-packing,37,36,40,4,0.25,uniform_gap4,1
residual::bike-packing:00038:00032:00040,bike-packing,38,32,40,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00038:00036:00040,bike-packing,38,36,40,4,0.5,uniform_gap4,1
residual::bike-packing:00039:00032:00040,bike-packing,39,32,40,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00039:00036:00040,bike-packing,39,36,40,4,0.75,uniform_gap4,1
residual::bike-packing:00041:00040:00044,bike-packing,41,40,44,4,0.25,uniform_gap4,1
residual::bike-packing:00041:00040:00046,bike-packing,41,40,46,6,0.16666666666666666,stage165_adaptive,1
residual::bike-packing:00041:00040:00048,bike-packing,41,40,48,8,0.125,uniform_gap8,1
residual::bike-packing:00042:00040:00044,bike-packing,42,40,44,4,0.5,uniform_gap4,1
residual::bike-packing:00042:00040:00046,bike-packing,42,40,46,6,0.3333333333333333,stage165_adaptive,1
residual::bike-packing:00042:00040:00048,bike-packing,42,40,48,8,0.25,uniform_gap8,1
