measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00001:00000:00004,bike-packing,1,0,4,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,134578,157476,26.104804335599894,25.74464180630736,left,134578,134579,0.12834453582763672,ok,
residual::bike-packing:00001:00000:00008,bike-packing,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,130986,168858,26.16490092230885,24.385602271059973,left,130986,130987,0.12491893768310547,ok,
residual::bike-packing:00002:00000:00004,bike-packing,2,0,4,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,148491,148414,26.005752313012465,25.989900022426838,left,148491,148492,0.14161300659179688,ok,
residual::bike-packing:00002:00000:00008,bike-packing,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,146322,165120,26.05055160000412,24.72164216811028,left,146322,146323,0.13954448699951172,ok,
residual::bike-packing:00003:00000:00004,bike-packing,3,0,4,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,155402,130270,25.82664729109556,26.18642698881919,right,130270,130271,0.1242361068725586,ok,
residual::bike-packing:00003:00000:00008,bike-packing,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,148744,157407,26.051985010385312,25.2305306859904,left,148744,148745,0.14185428619384766,ok,
residual::bike-packing:00004:00000:00008,bike-packing,4,0,8,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,151936,156712,26.097529328815746,25.659476966053848,left,151936,151937,0.1448984146118164,ok,
residual::bike-packing:00005:00000:00008,bike-packing,5,0,8,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,160795,150112,26.150148764157436,26.205620865305033,right,150112,150113,0.1431589126586914,ok,
residual::bike-packing:00005:00004:00008,bike-packing,5,4,8,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,128525,153418,26.537018416137144,25.87367038595819,left,128525,128526,0.12257194519042969,ok,
residual::bike-packing:00006:00000:00008,bike-packing,6,0,8,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,167101,144189,25.68578741458424,26.448230082378444,right,144189,144190,0.1375102996826172,ok,
residual::bike-packing:00006:00004:00008,bike-packing,6,4,8,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,150914,154001,26.219294709643385,25.558791940854846,left,150914,150915,0.14392375946044922,ok,
residual::bike-packing:00007:00000:00008,bike-packing,7,0,8,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,169388,136614,25.10296513324826,26.472258521056816,right,136614,136615,0.13028621673583984,ok,
residual::bike-packing:00007:00004:00008,bike-packing,7,4,8,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,150443,138020,25.81034557927434,26.402699795699874,right,138020,138021,0.13162708282470703,ok,
residual::bike-packing:00009:00008:00012,bike-packing,9,8,12,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,148632,176219,26.49852827988461,25.847738928634435,left,148632,148633,0.14174747467041016,ok,
residual::bike-packing:00009:00008:00016,bike-packing,9,8,16,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,153953,183584,26.55639376841926,24.73850392057819,left,153953,153954,0.1468219757080078,ok,
residual::bike-packing:00010:00008:00012,bike-packing,10,8,12,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,173995,173384,25.575588327182945,26.132494718300336,right,173384,173385,0.16535282135009766,ok,
residual::bike-packing:00010:00008:00016,bike-packing,10,8,16,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,174430,188926,26.3950678838682,25.147870975716245,left,174430,174431,0.1663503646850586,ok,
