candidate,candidate_family,aliases,coverage_status,total_frames,keyframe_count,residual_count,extra_keyframes_vs_gap8,kept_cell_count,dropped_cell_count,keyframe_bitstream_bytes_additive,residual_payload_bytes,metadata_bytes,total_payload_bytes_additive,total_mib_per_frame_additive,delta_mib_per_frame_vs_gap8_additive,delta_mib_per_frame_vs_full_additive,delta_mib_per_frame_vs_gap4_additive,mean_psnr,delta_psnr_vs_gap8,delta_psnr_vs_full,delta_psnr_vs_gap4,p10_psnr,mean_ssim,delta_ssim_vs_gap8,mean_ms_ssim,delta_ms_ssim_vs_gap8,mean_lpips,delta_lpips_vs_gap8,delta_lpips_vs_full,p90_lpips,quality_positive_vs_gap8_all_metrics,rate_scope
uniform_gap8,baseline,,complete_reused_stage184_stage186_rows,1999,292,1707,0,0,59,210136922.0,368145084.0,1,578282007.0,0.27588429100338135,0.0,-0.014881306734605082,-0.05491956774743573,29.373964871839874,0.0,-0.05161782022078398,-0.16175096720886373,25.42715060404842,0.867625699572828,0.0,0.9843430183660156,0.0,0.16869177970254404,0.0,0.0027543204711221736,0.218844535946846,0,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top10pct_cells,interval_budget_reuse,,complete_reused_stage184_stage186_rows,1999,299,1700,7,6,53,215174471.0,366231137.0,278,581405886.0,0.2773746177516859,0.0014903267483045712,-0.01339097998630051,-0.053429240999131156,29.38112562842953,0.007160756589655648,-0.044457063631128335,-0.15459021061920808,25.42715060404842,0.8678334988672296,0.0002077992944016227,0.9843777429765317,3.472461051612363e-05,0.16832458856830065,-0.0003671911342433831,0.0023871293368787905,0.2187424123287201,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top20pct_cells,interval_budget_reuse,interval_score_ge5p0 interval_vote_ge5,complete_reused_stage184_stage186_rows,1999,306,1693,14,12,47,220212001.0,364486832.0,284,584699117.0,0.2789457382232681,0.0030614472198867704,-0.011819859514718312,-0.051858120527548957,29.387186845579933,0.013221973740058957,-0.03839584648072503,-0.14852899346880477,25.42715060404842,0.8680100555178999,0.0003843559450719125,0.9844100876949381,6.706932892253104e-05,0.1680482435149661,-0.0006435361875779255,0.002110784283544248,0.2187424123287201,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top30pct_cells,interval_budget_reuse,,complete_reused_stage184_stage186_rows,1999,314,1685,22,18,41,225969175.0,362534431.0,290,588503896.0,0.28076090581301394,0.0048766148096325845,-0.010004691924972497,-0.05004295293780314,29.400501938260902,0.026537066421028044,-0.02508075379975594,-0.13521390078783568,25.42715060404842,0.8683229150803105,0.0006972155074824737,0.9844623232794261,0.00011930491341050065,0.16736117414776058,-0.0013306055547834539,0.0014237149163387197,0.2180258482694626,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top40pct_cells,interval_budget_reuse,,complete_reused_stage184_stage186_rows,1999,321,1678,29,24,35,231006704.0,360751885.0,296,591758885.0,0.2823137819558278,0.006429490952446437,-0.008451815782158645,-0.04849007679498929,29.40889971025927,0.03493483841939593,-0.016682981801388053,-0.1268161287894678,25.438734039855294,0.868596996498919,0.000971296926090992,0.9845096536908763,0.00016663532486071997,0.1668788331237926,-0.0018129465787514454,0.0009413738923707282,0.21701764166355136,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_score_ge4p0,interval_budget_reuse,interval_vote_ge4,complete_reused_stage184_stage186_rows,1999,324,1675,32,27,32,233165648.0,360014656.0,299,593180603.0,0.2829920490602662,0.00710775805688485,-0.007773548677720232,-0.04781180969055088,29.41013285788653,0.03616798604665661,-0.015449834174127375,-0.12558298116220712,25.438734039855294,0.8686442389793548,0.0010185394065268527,0.984519050203603,0.00017603183758740926,0.16682702663534876,-0.001864753067195274,0.0008895674039268997,0.21701764166355136,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top50pct_cells,interval_budget_reuse,,complete_reused_stage184_stage186_rows,1999,328,1671,36,30,29,236044227.0,359004132.0,302,595048661.0,0.2838832541308801,0.00799896312749876,-0.006882343607106323,-0.04692060461993697,29.411048626834162,0.0370837549942884,-0.014534065226495585,-0.12466721221457533,25.438734039855294,0.8686741398775083,0.0010484403046803203,0.9845252841815405,0.00018226581552494014,0.16678653404176266,-0.001905245660781374,0.0008490748103407997,0.21701764166355136,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_score_ge3p0,interval_budget_reuse,interval_vote_ge3,complete_reused_stage184_stage186_rows,1999,330,1669,38,32,27,237483525.0,358527374.0,304,596011203.0,0.28434245952550863,0.008458168522127274,-0.006423138212477808,-0.04646139922530845,29.411597647592945,0.037632775753071,-0.013985044467712981,-0.12411819145579273,25.438734039855294,0.8687128930344709,0.0010871934616428769,0.9845331638619087,0.00019014549589313479,0.1667354812919199,-0.001956298410624141,0.0007980220604980326,0.21701764166355136,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
row_proxy_only,row_level_feature_ablation,,complete_reused_stage184_stage186_rows,1999,331,1668,39,,,238203175.0,358208445.0,305,596411925.0,0.2845336342525816,0.008649343249200248,-0.0062319634854048345,-0.04627022449823548,29.411642451801804,0.03767757996192955,-0.01394024025885443,-0.12407338724693417,25.438734039855294,0.8687190371730913,0.001093337600263311,0.9845347680885712,0.00019174972255564526,0.1667292883275836,-0.0019624913749604345,0.0007918290961617391,0.21701764166355136,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
interval_top60pct_cells,interval_budget_reuse,,complete_reused_stage184_stage186_rows,1999,334,1665,42,36,23,240362112.0,357453599.0,307,597816018.0,0.28520349289787716,0.00931920189449581,-0.005562104840109272,-0.04560036585293992,29.413451944876456,0.03948707303658239,-0.012130747184201596,-0.12226389417228134,25.438734039855294,0.8687830394419984,0.0011573398691704373,0.9845469479801775,0.0002039296141619351,0.16662016870820145,-0.002071610994342582,0.0006827094767795916,0.21686642765998843,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata
