sequence,frame_index,cell_id,selector_score,vote_count,hard_quality_label,high_payload_label,gap8_psnr,adaptive_psnr,delta_psnr_adaptive_vs_gap8,gap8_ssim,adaptive_ssim,delta_ssim_adaptive_vs_gap8,gap8_ms_ssim,adaptive_ms_ssim,delta_ms_ssim_adaptive_vs_gap8,gap8_lpips,adaptive_lpips,delta_lpips_adaptive_vs_gap8,gap8_residual_payload_bytes,adaptive_keyframe_bitstream_bytes,local_payload_delta_bytes,false_positive_risk_flag,false_positive_reason
horsejump-high,15,horsejump-high:00008:00016,3.6201680672268908,3.0,0,0,28.12031780235418,28.29748915560141,0.17717135324723188,0.8790807723999023,0.8937705159187317,0.014689743518829346,0.9840156435966492,0.9895212650299072,0.005505621433258057,0.15920446813106537,0.13833294808864594,-0.020871520042419434,213190,719653,506463,1,small_unlabeled_gain large_local_payload_delta
drift-chicane,6,drift-chicane:00000:00008,1.1966386554621848,1.0,0,0,30.26069492881328,30.426745929572135,0.1660510007588556,0.8867523074150085,0.8949971199035645,0.008244812488555908,0.9868937730789185,0.9898756742477417,0.002981901168823242,0.18118079006671906,0.15662918984889984,-0.024551600217819214,124846,719639,594793,1,small_unlabeled_gain large_local_payload_delta
motocross-jump,13,motocross-jump:00008:00016,4.776470588235294,4.0,1,1,31.06216335320306,36.00498298727014,4.942819634067078,0.781013011932373,0.9485910534858704,0.16757804155349731,0.965416669845581,0.9932141304016113,0.027797460556030273,0.31951436400413513,0.0848405584692955,-0.23467380553483963,263360,719648,456288,0,large_local_payload_delta
shooting,19,shooting:00016:00024,4.810084033613445,4.0,0,1,31.854344636198135,36.46005353214295,4.605708895944815,0.8807955384254456,0.9689517617225647,0.08815622329711914,0.9831886291503906,0.9960693120956421,0.012880682945251465,0.27037763595581055,0.056354738771915436,-0.2140228971838951,240342,719642,479300,0,large_local_payload_delta
shooting,12,shooting:00008:00016,4.885714285714285,4.0,1,1,32.61996149735748,36.1647720346951,3.544810537337618,0.871516764163971,0.9664149880409241,0.09489822387695312,0.9836483597755432,0.996120810508728,0.012472450733184814,0.2884675860404968,0.07618208974599838,-0.21228549629449844,249768,719644,469876,0,large_local_payload_delta
drift-straight,37,drift-straight:00032:00040,5.907563025210084,5.0,0,1,30.819271877098604,33.356303851975454,2.53703197487685,0.898895263671875,0.9550270438194275,0.05613178014755249,0.9863852262496948,0.9957026839256287,0.009317457675933838,0.19463211297988892,0.06724083423614502,-0.1273912787437439,249576,719649,470073,0,large_local_payload_delta
india,30,india:00024:00032,4.73781512605042,4.0,1,1,32.04335101402866,34.30541366588323,2.2620626518545706,0.8642793297767639,0.9414668083190918,0.07718747854232788,0.9802958965301514,0.9927492141723633,0.012453317642211914,0.24495425820350647,0.09583662450313568,-0.1491176337003708,230259,719650,489391,0,large_local_payload_delta
soapbox,61,soapbox:00056:00064,5.826890756302521,5.0,0,1,29.65079595424365,31.910904145257646,2.2601081910139946,0.8649420738220215,0.9302826523780823,0.06534057855606079,0.9809995889663696,0.992404043674469,0.011404454708099365,0.1943703293800354,0.09438548237085342,-0.09998484700918198,253234,719655,466421,0,large_local_payload_delta
libby,29,libby:00024:00032,2.6100840336134454,2.0,0,1,32.13907657960446,34.385498041859336,2.2464214622548724,0.856950581073761,0.9204986095428467,0.0635480284690857,0.9813704490661621,0.9910786747932434,0.009708225727081299,0.209022656083107,0.12100536376237869,-0.0880172923207283,262764,719653,456889,0,large_local_payload_delta
india,27,india:00024:00032,4.726050420168067,4.0,1,1,31.725948819617095,33.96997746758113,2.2440286479640363,0.8594152331352234,0.9406776428222656,0.08126240968704224,0.9804863333702087,0.9928357005119324,0.012349367141723633,0.23913638293743134,0.09175875782966614,-0.1473776251077652,233746,719643,485897,0,large_local_payload_delta
