sequence,promotion_count,promotion_rate_risk_count,residual_risk_count,low_psnr_count,high_lpips_count,high_payload_count,mean_residual_risk_score,max_residual_risk_score,worst_residual_frame_index
cows,4,0,86,86,1,62,1.4993957568065794,1.904394667636713,92
parkour,3,0,75,27,26,74,0.4670013070636053,1.5603596044904195,68
camel,4,0,73,61,0,67,0.6420411662411638,1.3934650859013562,60
goat,4,0,73,0,0,73,0.5398936986301367,0.78914,5
breakdance,0,0,72,72,2,0,0.6122419875918543,1.7485984958204726,5
soapbox,3,0,72,0,1,71,0.3358201421991985,0.67308,67
bmx-trees,2,0,67,3,6,67,0.5399658666272628,0.70738,44
car-roundabout,4,0,55,13,0,55,0.2985050005437292,0.8569948253669125,61
dance-twirl,3,0,54,2,35,28,0.39533190049232686,1.6654908734939,60
india,3,0,52,0,7,52,0.48312787894542414,3.421598761520386,36
dog,2,0,45,0,4,44,0.3526131378657023,0.7297783215522766,37
blackswan,0,0,42,0,0,42,0.30078428571428584,0.57496,20
bike-packing,1,0,40,32,11,11,0.5837201483449139,1.1408312610736813,36
libby,3,0,39,0,4,39,0.728259089564788,1.4567475332260131,12
drift-straight,4,0,38,0,1,38,0.6616590681653275,0.8424845902824402,43
loading,3,0,33,0,0,33,0.34129272727272725,0.85044,4
scooter-black,4,0,32,15,0,25,0.7368388231452829,1.3671900976213784,6
shooting,4,0,30,0,4,30,0.42041381898498537,1.2976276622772216,3
mbike-trick,0,0,29,0,29,0,0.8264006178954562,2.3079371213912965,69
lab-coat,2,0,29,0,6,28,0.28477184519340243,0.68802,29
paragliding-launch,0,0,28,0,0,28,0.12051214285714283,0.28836,28
kite-surf,2,0,26,0,0,26,0.1476769230769231,0.29666,36
motocross-jump,3,0,24,0,15,23,1.2544149475367865,3.6836632373428344,28
car-shadow,3,0,19,0,0,19,0.14401052631578945,0.34016,28
gold-fish,0,0,15,0,0,15,0.09653466666666666,0.30144,21
horsejump-high,2,1,14,0,0,14,0.07983,0.17688,11
dogs-jump,1,0,9,0,9,0,0.43912954727808645,1.1462539196014405,20
pigs,0,0,5,0,0,5,0.103492,0.23984,44
judo,0,0,2,0,2,0,0.15447822809219358,0.23628292083740232,27
drift-chicane,2,1,1,0,1,0,0.07249889373779295,0.07249889373779295,45
