schedule,sequence,frame_count,keyframe_count,mean_psnr,p10_psnr,mean_lpips,p90_lpips,mean_payload_bytes,delta_psnr_vs_gap8,delta_lpips_vs_gap8
interval_score_ge4p0,bike-packing,69,10,25.907572398108396,25.084459228698876,0.19786563839601434,0.22394593358039855,154852.3188405797,0.0,0.0
interval_score_ge4p0,blackswan,50,8,29.84928276586321,29.40026119056854,0.16459796249866485,0.18240012377500534,197432.94,0.0,0.0
interval_score_ge4p0,bmx-trees,80,12,30.185046446299225,26.31155101800206,0.14688313230872155,0.21557936668395997,209582.7125,0.016249992638382338,-0.0006951224058866501
interval_score_ge4p0,breakdance,84,12,25.456154199737064,25.061835275510724,0.17638299241662025,0.19735483825206757,123353.40476190476,0.0,0.0
interval_score_ge4p0,camel,90,13,25.70935281915452,25.37667157701943,0.18795976605680254,0.19828086942434311,201135.0888888889,0.0,0.0
interval_score_ge4p0,car-roundabout,75,13,26.82634315504082,25.868553759540006,0.14903841366370518,0.16318083703517913,192222.54666666666,0.015368575350091618,-0.0011620392402013346
interval_score_ge4p0,car-shadow,40,6,29.587258583495792,29.328249599827295,0.1494787635281682,0.1722609966993332,190895.275,0.0,0.0
interval_score_ge4p0,cows,104,14,24.65693419004488,24.539398238481382,0.20997499445310006,0.21491683572530745,194601.5576923077,0.0,0.0
interval_score_ge4p0,dance-twirl,90,14,28.386597309089208,26.414573723617018,0.2096429795026779,0.2553792834281921,183728.65555555557,0.005669096393251749,-0.0004238757822248862
interval_score_ge4p0,dog,60,9,31.729645889930733,29.352801594538153,0.16872459252675373,0.21328420042991642,201096.56666666668,0.0,0.0
interval_score_ge4p0,dogs-jump,66,10,32.00947529644536,31.232542179015773,0.15720611946149307,0.2275671511888504,133078.57575757575,0.0,0.0
interval_score_ge4p0,drift-chicane,52,8,30.790948734840256,30.310828222806922,0.18265184530845055,0.20433542579412461,102393.36538461539,0.0,0.0
interval_score_ge4p0,drift-straight,50,12,30.996909860210778,29.234824104162897,0.11949795566499233,0.1836175113916397,192289.3,0.17913984316910359,-0.007188346534967416
interval_score_ge4p0,goat,90,15,27.258982692675616,26.57143315405636,0.17386777765221065,0.1828912392258644,205932.57777777777,0.010446282052846811,-0.00016468680567213734
interval_score_ge4p0,gold-fish,78,11,33.52147658187607,33.07643299857011,0.07741329809411979,0.08759709522128105,178373.87179487178,0.0,0.0
interval_score_ge4p0,horsejump-high,50,8,27.815317167163368,27.495280576646262,0.1616956488788128,0.19090929776430132,181805.0,0.0,0.0
interval_score_ge4p0,india,81,13,33.043708712954796,31.07990414082106,0.14949756492803126,0.2192879319190979,193080.43209876542,0.09116013615863494,-0.005346886905623072
interval_score_ge4p0,judo,34,6,31.277785481000585,30.619971072619407,0.16289897876627304,0.20512740314006805,95493.91176470589,0.0,0.0
interval_score_ge4p0,kite-surf,50,8,32.02484338941261,31.548992818350055,0.10374320238828659,0.11418097391724587,186401.74,0.0,0.0
interval_score_ge4p0,lab-coat,47,9,29.130341008318815,26.825112920606685,0.1594755135952158,0.22790797352790831,184544.04255319148,0.04265648351971052,-0.0016556225241498856
interval_score_ge4p0,libby,49,7,32.610818591425044,31.18739918015854,0.1678566558628666,0.23510709404945374,219062.24489795917,0.0,0.0
interval_score_ge4p0,loading,50,11,28.588074499827467,27.30069494445752,0.1277662992477417,0.15874602198600768,181529.64,0.06701537313987416,-0.005048122704029101
interval_score_ge4p0,mbike-trick,79,11,29.92433375659513,29.27276835793948,0.21783426139928116,0.28598425388336185,157727.48101265822,0.0,0.0
interval_score_ge4p0,motocross-jump,40,9,33.7377074611378,31.342263329344977,0.19677689839154483,0.3302419662475586,180503.5,0.11148173869150213,-0.008527914248406876
interval_score_ge4p0,paragliding-launch,80,11,30.92775071377444,29.51794552398617,0.17496945187449456,0.19086637794971464,186789.275,0.0,0.0
interval_score_ge4p0,parkour,100,15,27.40015677186276,25.46117352012675,0.20367318361997605,0.2364539876580238,195392.56,0.005031160224078235,-0.0004507245123386294
interval_score_ge4p0,pigs,79,11,31.533248137505076,30.46826427546325,0.16034789072184624,0.18385129570960998,169667.15189873418,0.0,0.0
interval_score_ge4p0,scooter-black,43,11,26.257798809503246,24.820292271902655,0.16161027983870618,0.20699621737003324,175026.2558139535,0.13426856421876465,-0.00726422009079955
interval_score_ge4p0,shooting,40,10,35.02001623644067,33.722045310772685,0.1363637074828148,0.21539294719696048,178907.725,0.669619445318375,-0.0328212020918727
interval_score_ge4p0,soapbox,99,17,30.47101983391115,29.31463838333351,0.15208390889444737,0.20788475275039672,193294.9696969697,0.0927220128366315,-0.004017918022594075
interval_top10pct_cells,bike-packing,69,10,25.907572398108396,25.084459228698876,0.19786563839601434,0.22394593358039855,154852.3188405797,0.0,0.0
interval_top10pct_cells,blackswan,50,8,29.84928276586321,29.40026119056854,0.16459796249866485,0.18240012377500534,197432.94,0.0,0.0
interval_top10pct_cells,bmx-trees,80,11,30.168796453660843,26.31155101800206,0.1475782547146082,0.21557936668395997,212850.5125,0.0,0.0
interval_top10pct_cells,breakdance,84,12,25.456154199737064,25.061835275510724,0.17638299241662025,0.19735483825206757,123353.40476190476,0.0,0.0
interval_top10pct_cells,camel,90,13,25.70935281915452,25.37667157701943,0.18795976605680254,0.19828086942434311,201135.0888888889,0.0,0.0
interval_top10pct_cells,car-roundabout,75,11,26.81097457969073,25.85760984096376,0.15020045290390652,0.1646907925605774,198768.34666666668,0.0,0.0
interval_top10pct_cells,car-shadow,40,6,29.587258583495792,29.328249599827295,0.1494787635281682,0.1722609966993332,190895.275,0.0,0.0
interval_top10pct_cells,cows,104,14,24.65693419004488,24.539398238481382,0.20997499445310006,0.21491683572530745,194601.5576923077,0.0,0.0
interval_top10pct_cells,dance-twirl,90,13,28.380928212695956,26.414573723617018,0.2100668552849028,0.2553792834281921,186700.22222222222,0.0,0.0
interval_top10pct_cells,dog,60,9,31.729645889930733,29.352801594538153,0.16872459252675373,0.21328420042991642,201096.56666666668,0.0,0.0
interval_top10pct_cells,dogs-jump,66,10,32.00947529644536,31.232542179015773,0.15720611946149307,0.2275671511888504,133078.57575757575,0.0,0.0
interval_top10pct_cells,drift-chicane,52,8,30.790948734840256,30.310828222806922,0.18265184530845055,0.20433542579412461,102393.36538461539,0.0,0.0
interval_top10pct_cells,drift-straight,50,10,30.952503729347487,29.222745803546864,0.12166272588074208,0.1836175113916397,201893.2,0.1347337123058132,-0.005023576319217668
interval_top10pct_cells,goat,90,13,27.24853641062277,26.57143315405636,0.17403246445788279,0.1828912392258644,211745.8111111111,0.0,0.0
interval_top10pct_cells,gold-fish,78,11,33.52147658187607,33.07643299857011,0.07741329809411979,0.08759709522128105,178373.87179487178,0.0,0.0
interval_top10pct_cells,horsejump-high,50,8,27.815317167163368,27.495280576646262,0.1616956488788128,0.19090929776430132,181805.0,0.0,0.0
interval_top10pct_cells,india,81,11,32.95254857679616,31.048098273801372,0.15484445183365433,0.24495425820350647,199303.38271604938,0.0,0.0
interval_top10pct_cells,judo,34,6,31.277785481000585,30.619971072619407,0.16289897876627304,0.20512740314006805,95493.91176470589,0.0,0.0
interval_top10pct_cells,kite-surf,50,8,32.02484338941261,31.548992818350055,0.10374320238828659,0.11418097391724587,186401.74,0.0,0.0
interval_top10pct_cells,lab-coat,47,7,29.087684524799105,26.825112920606685,0.1611311361193657,0.22790797352790831,195938.44680851063,0.0,0.0
interval_top10pct_cells,libby,49,7,32.610818591425044,31.18739918015854,0.1678566558628666,0.23510709404945374,219062.24489795917,0.0,0.0
interval_top10pct_cells,loading,50,11,28.588074499827467,27.30069494445752,0.1277662992477417,0.15874602198600768,181529.64,0.06701537313987416,-0.005048122704029101
interval_top10pct_cells,mbike-trick,79,11,29.92433375659513,29.27276835793948,0.21783426139928116,0.28598425388336185,157727.48101265822,0.0,0.0
interval_top10pct_cells,motocross-jump,40,6,33.6262257224463,31.028650417090862,0.2053048126399517,0.32057895958423616,198848.85,0.0,0.0
interval_top10pct_cells,paragliding-launch,80,11,30.92775071377444,29.51794552398617,0.17496945187449456,0.19086637794971464,186789.275,0.0,0.0
interval_top10pct_cells,parkour,100,14,27.395125611638683,25.471964872411412,0.20412390813231468,0.2364539876580238,197833.65,0.0,0.0
interval_top10pct_cells,pigs,79,11,31.533248137505076,30.46826427546325,0.16034789072184624,0.18385129570960998,169667.15189873418,0.0,0.0
interval_top10pct_cells,scooter-black,43,9,26.221830202271523,24.738689420891895,0.1635156597855479,0.20753913819789888,185150.3023255814,0.09829995698704153,-0.0053588401439578215
interval_top10pct_cells,shooting,40,6,34.35039679112229,32.68306439099093,0.1691849095746875,0.2797676801681519,202892.225,0.0,0.0
interval_top10pct_cells,soapbox,99,14,30.37829782107452,29.306711032083605,0.15610182691704144,0.20843754708766937,201184.48484848486,0.0,0.0
interval_top90pct_cells,bike-packing,69,11,25.90887042149261,25.084459228698876,0.19768622193647467,0.22394593358039855,150230.15942028986,0.0012980233842156963,-0.0001794164595396719
interval_top90pct_cells,blackswan,50,8,29.84928276586321,29.40026119056854,0.16459796249866485,0.18240012377500534,197432.94,0.0,0.0
interval_top90pct_cells,bmx-trees,80,13,30.195559195296426,26.31155101800206,0.14645609967410564,0.21557936668395997,206339.8875,0.0267627416355829,-0.0011221550405025593
interval_top90pct_cells,breakdance,84,12,25.456154199737064,25.061835275510724,0.17638299241662025,0.19735483825206757,123353.40476190476,0.0,0.0
