sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
motocross-jump,28,30.652790746708266,0.7814261317253113,0.9550372362136841,0.3900201618671417,234163,30.652790746708266,0.3900201618671417,35.19256815427076,0.08759275078773499,4.539777407562493,-0.30242741107940674,0,1,1,3.6836632373428344
india,36,31.894847864230428,0.7984851002693176,0.9615222811698914,0.3636569380760193,247423,31.894847864230428,0.3636569380760193,38.75012772478594,0.06957460194826126,6.8552798605555125,-0.294082336127758,0,1,1,3.421598761520386
motocross-jump,11,29.957049043297424,0.745908260345459,0.9613288044929504,0.3424365222454071,251962,31.093844153032897,0.3180253207683563,32.04508293647096,0.261177122592926,2.088033893173538,-0.08125939965248108,0,1,1,3.087970444908142
india,37,32.1998711488545,0.8073639273643494,0.9680047035217285,0.33437663316726685,248468,32.1998711488545,0.33437663316726685,34.7971341828969,0.26106834411621094,2.597263034042399,-0.07330828905105591,0,1,1,2.856892663345337
motocross-jump,27,32.07748506416102,0.8398149609565735,0.9715079665184021,0.34950196743011475,233001,32.07748506416102,0.34950196743011475,33.94027747829837,0.27069470286369324,1.8627924141373526,-0.07880726456642151,0,1,1,2.850059348602295
motocross-jump,19,29.915211997419004,0.8004189133644104,0.9670195579528809,0.30602461099624634,264542,31.18002113030128,0.2642105519771576,32.64666048148088,0.2124582827091217,2.7314484840618753,-0.09356632828712463,0,1,1,2.6113322199249267
motocross-jump,10,30.574945492189947,0.7782253623008728,0.9658850431442261,0.33097678422927856,232116,32.37013359337854,0.25162285566329956,29.818047854969283,0.3538079261779785,-0.7568976372206642,0.02283114194869995,0,1,1,2.4618556845855712
motocross-jump,29,32.46901433020109,0.8387160897254944,0.9712040424346924,0.33016031980514526,230914,32.46901433020109,0.33016031980514526,34.699388493032906,0.21286994218826294,2.230374162831815,-0.11729037761688232,0,1,1,2.4214863961029054
mbike-trick,69,28.66584570333019,0.8038447499275208,0.969908595085144,0.3353968560695648,212087,28.66584570333019,0.3353968560695648,29.899528613152967,0.23132158815860748,1.2336829098227753,-0.10407526791095734,0,1,0,2.3079371213912965
india,35,32.86326495477151,0.8469998240470886,0.9767317175865173,0.3087174594402313,245846,32.86326495477151,0.3087174594402313,35.417559729696904,0.19825972616672516,2.5542947749253955,-0.11045773327350616,0,1,1,2.291269188804627
