parameter,shape,numel,policy,matched_rule,reason
model.decoder.transformer_decoder.positional_embedding,"[1, 4608, 768]",3538944,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.cls_embedding,"[1, 2, 768]",1536,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.layernorm1.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.cross_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.mlp.c_fc.weight,"[3072, 768]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.mlp.c_proj.weight,"[768, 3072]",2359296,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.0.mlp_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.self_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.self_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.self_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.self_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.self_attn_ln.weight,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.cross_attn.packed_proj.weight,"[2304, 768]",1769472,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.cross_attn.packed_proj.bias,[2304],2304,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.cross_attn.out_proj.weight,"[768, 768]",589824,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
model.decoder.transformer_decoder.transformer.resblocks.1.cross_attn.out_proj.bias,[768],768,train,model.decoder,Temporal/dynamic token decoder for endpoint-conditioned long-GOP adaptation.
