sequence,total_frames,schedule,frame_index,measurement_type,measurement_key,left_index,right_index,segment_length,normalized_time,is_keyframe,notes
bike-packing,69,uniform_gap2,0,q12_keyframe_payload,keyframe::bike-packing:00000,0,0,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,1,stage158_residual_payload,residual::bike-packing:00001:00000:00002,0,2,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,2,q12_keyframe_payload,keyframe::bike-packing:00002,2,2,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,3,stage158_residual_payload,residual::bike-packing:00003:00002:00004,2,4,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,4,q12_keyframe_payload,keyframe::bike-packing:00004,4,4,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,5,stage158_residual_payload,residual::bike-packing:00005:00004:00006,4,6,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,6,q12_keyframe_payload,keyframe::bike-packing:00006,6,6,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,7,stage158_residual_payload,residual::bike-packing:00007:00006:00008,6,8,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,8,q12_keyframe_payload,keyframe::bike-packing:00008,8,8,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,9,stage158_residual_payload,residual::bike-packing:00009:00008:00010,8,10,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,10,q12_keyframe_payload,keyframe::bike-packing:00010,10,10,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,11,stage158_residual_payload,residual::bike-packing:00011:00010:00012,10,12,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,12,q12_keyframe_payload,keyframe::bike-packing:00012,12,12,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,13,stage158_residual_payload,residual::bike-packing:00013:00012:00014,12,14,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,14,q12_keyframe_payload,keyframe::bike-packing:00014,14,14,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,15,stage158_residual_payload,residual::bike-packing:00015:00014:00016,14,16,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,16,q12_keyframe_payload,keyframe::bike-packing:00016,16,16,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,17,stage158_residual_payload,residual::bike-packing:00017:00016:00018,16,18,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,18,q12_keyframe_payload,keyframe::bike-packing:00018,18,18,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,19,stage158_residual_payload,residual::bike-packing:00019:00018:00020,18,20,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,20,q12_keyframe_payload,keyframe::bike-packing:00020,20,20,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,21,stage158_residual_payload,residual::bike-packing:00021:00020:00022,20,22,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,22,q12_keyframe_payload,keyframe::bike-packing:00022,22,22,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,23,stage158_residual_payload,residual::bike-packing:00023:00022:00024,22,24,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,24,q12_keyframe_payload,keyframe::bike-packing:00024,24,24,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,25,stage158_residual_payload,residual::bike-packing:00025:00024:00026,24,26,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,26,q12_keyframe_payload,keyframe::bike-packing:00026,26,26,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,27,stage158_residual_payload,residual::bike-packing:00027:00026:00028,26,28,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,28,q12_keyframe_payload,keyframe::bike-packing:00028,28,28,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,29,stage158_residual_payload,residual::bike-packing:00029:00028:00030,28,30,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,30,q12_keyframe_payload,keyframe::bike-packing:00030,30,30,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,31,stage158_residual_payload,residual::bike-packing:00031:00030:00032,30,32,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,32,q12_keyframe_payload,keyframe::bike-packing:00032,32,32,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,33,stage158_residual_payload,residual::bike-packing:00033:00032:00034,32,34,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,34,q12_keyframe_payload,keyframe::bike-packing:00034,34,34,0,0.0,1,measure transmitted q12 keyframe anchor payload
bike-packing,69,uniform_gap2,35,stage158_residual_payload,residual::bike-packing:00035:00034:00036,34,36,2,0.5,0,measure Stage158 entropy residual payload for recovered non-keyframe
bike-packing,69,uniform_gap2,36,q12_keyframe_payload,keyframe::bike-packing:00036,36,36,0,0.0,1,measure transmitted q12 keyframe anchor payload
