measurement_scope,measurement_key,schedule,sequence,frame_index,left_index,right_index,segment_length
payload_single_keyframe,keyframe::bike-packing:00002,uniform_gap2,bike-packing,2,2,2,0
payload_single_keyframe,keyframe::bike-packing:00006,uniform_gap6,bike-packing,6,6,6,0
payload_single_keyframe,keyframe::bike-packing:00010,uniform_gap2,bike-packing,10,10,10,0
payload_single_keyframe,keyframe::bike-packing:00014,uniform_gap2,bike-packing,14,14,14,0
payload_single_keyframe,keyframe::bike-packing:00018,uniform_gap6,bike-packing,18,18,18,0
payload_single_keyframe,keyframe::bike-packing:00022,uniform_gap2,bike-packing,22,22,22,0
payload_single_keyframe,keyframe::bike-packing:00026,uniform_gap2,bike-packing,26,26,26,0
payload_single_keyframe,keyframe::bike-packing:00030,uniform_gap6,bike-packing,30,30,30,0
payload_single_keyframe,keyframe::bike-packing:00034,uniform_gap2,bike-packing,34,34,34,0
payload_single_keyframe,keyframe::bike-packing:00038,uniform_gap2,bike-packing,38,38,38,0
payload_single_keyframe,keyframe::bike-packing:00042,uniform_gap6,bike-packing,42,42,42,0
payload_single_keyframe,keyframe::bike-packing:00050,uniform_gap2,bike-packing,50,50,50,0
payload_single_keyframe,keyframe::bike-packing:00054,uniform_gap6,bike-packing,54,54,54,0
payload_single_keyframe,keyframe::bike-packing:00058,uniform_gap2,bike-packing,58,58,58,0
payload_single_keyframe,keyframe::bike-packing:00062,uniform_gap2,bike-packing,62,62,62,0
payload_single_keyframe,keyframe::bike-packing:00066,uniform_gap6,bike-packing,66,66,66,0
payload_single_keyframe,keyframe::blackswan:00002,uniform_gap2,blackswan,2,2,2,0
payload_single_keyframe,keyframe::blackswan:00006,uniform_gap6,blackswan,6,6,6,0
payload_single_keyframe,keyframe::blackswan:00010,uniform_gap2,blackswan,10,10,10,0
payload_single_keyframe,keyframe::blackswan:00014,uniform_gap2,blackswan,14,14,14,0
payload_single_keyframe,keyframe::blackswan:00018,uniform_gap6,blackswan,18,18,18,0
payload_single_keyframe,keyframe::blackswan:00022,uniform_gap2,blackswan,22,22,22,0
payload_single_keyframe,keyframe::blackswan:00026,uniform_gap2,blackswan,26,26,26,0
payload_single_keyframe,keyframe::blackswan:00030,uniform_gap6,blackswan,30,30,30,0
payload_single_keyframe,keyframe::blackswan:00034,uniform_gap2,blackswan,34,34,34,0
payload_single_keyframe,keyframe::blackswan:00038,uniform_gap2,blackswan,38,38,38,0
payload_single_keyframe,keyframe::blackswan:00042,uniform_gap6,blackswan,42,42,42,0
payload_single_keyframe,keyframe::blackswan:00046,uniform_gap2,blackswan,46,46,46,0
payload_single_keyframe,keyframe::bmx-trees:00002,uniform_gap2,bmx-trees,2,2,2,0
payload_single_keyframe,keyframe::bmx-trees:00006,uniform_gap6,bmx-trees,6,6,6,0
payload_single_keyframe,keyframe::bmx-trees:00010,uniform_gap2,bmx-trees,10,10,10,0
payload_single_keyframe,keyframe::bmx-trees:00014,uniform_gap2,bmx-trees,14,14,14,0
payload_single_keyframe,keyframe::bmx-trees:00018,uniform_gap6,bmx-trees,18,18,18,0
payload_single_keyframe,keyframe::bmx-trees:00022,uniform_gap2,bmx-trees,22,22,22,0
payload_single_keyframe,keyframe::bmx-trees:00026,uniform_gap2,bmx-trees,26,26,26,0
payload_single_keyframe,keyframe::bmx-trees:00030,uniform_gap6,bmx-trees,30,30,30,0
payload_single_keyframe,keyframe::bmx-trees:00034,uniform_gap2,bmx-trees,34,34,34,0
payload_single_keyframe,keyframe::bmx-trees:00038,uniform_gap2,bmx-trees,38,38,38,0
payload_single_keyframe,keyframe::bmx-trees:00042,uniform_gap6,bmx-trees,42,42,42,0
payload_single_keyframe,keyframe::bmx-trees:00046,uniform_gap2,bmx-trees,46,46,46,0
payload_single_keyframe,keyframe::bmx-trees:00050,uniform_gap2,bmx-trees,50,50,50,0
payload_single_keyframe,keyframe::bmx-trees:00054,uniform_gap6,bmx-trees,54,54,54,0
payload_single_keyframe,keyframe::bmx-trees:00058,uniform_gap2,bmx-trees,58,58,58,0
payload_single_keyframe,keyframe::bmx-trees:00062,uniform_gap2,bmx-trees,62,62,62,0
payload_single_keyframe,keyframe::bmx-trees:00066,uniform_gap6,bmx-trees,66,66,66,0
payload_single_keyframe,keyframe::bmx-trees:00070,uniform_gap2,bmx-trees,70,70,70,0
payload_single_keyframe,keyframe::bmx-trees:00074,uniform_gap2,bmx-trees,74,74,74,0
payload_single_keyframe,keyframe::bmx-trees:00078,uniform_gap6,bmx-trees,78,78,78,0
payload_single_keyframe,keyframe::breakdance:00002,uniform_gap2,breakdance,2,2,2,0
payload_single_keyframe,keyframe::breakdance:00006,uniform_gap6,breakdance,6,6,6,0
payload_single_keyframe,keyframe::breakdance:00010,uniform_gap2,breakdance,10,10,10,0
payload_single_keyframe,keyframe::breakdance:00014,uniform_gap2,breakdance,14,14,14,0
payload_single_keyframe,keyframe::breakdance:00018,uniform_gap6,breakdance,18,18,18,0
payload_single_keyframe,keyframe::breakdance:00022,uniform_gap2,breakdance,22,22,22,0
payload_single_keyframe,keyframe::breakdance:00026,uniform_gap2,breakdance,26,26,26,0
payload_single_keyframe,keyframe::breakdance:00030,uniform_gap6,breakdance,30,30,30,0
payload_single_keyframe,keyframe::breakdance:00034,uniform_gap2,breakdance,34,34,34,0
payload_single_keyframe,keyframe::breakdance:00038,uniform_gap2,breakdance,38,38,38,0
payload_single_keyframe,keyframe::breakdance:00042,uniform_gap6,breakdance,42,42,42,0
payload_single_keyframe,keyframe::breakdance:00046,uniform_gap2,breakdance,46,46,46,0
payload_single_keyframe,keyframe::breakdance:00050,uniform_gap2,breakdance,50,50,50,0
payload_single_keyframe,keyframe::breakdance:00054,uniform_gap6,breakdance,54,54,54,0
payload_single_keyframe,keyframe::breakdance:00058,uniform_gap2,breakdance,58,58,58,0
payload_single_keyframe,keyframe::breakdance:00062,uniform_gap2,breakdance,62,62,62,0
