measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count
residual::bike-packing:00001:00000:00002,bike-packing,1,0,2,2,0.5,uniform_gap2,1
residual::bike-packing:00001:00000:00004,bike-packing,1,0,4,4,0.25,uniform_gap4,1
residual::bike-packing:00001:00000:00006,bike-packing,1,0,6,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00001:00000:00008,bike-packing,1,0,8,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00001:00000:00016,bike-packing,1,0,16,16,0.0625,uniform_gap16,1
residual::bike-packing:00002:00000:00004,bike-packing,2,0,4,4,0.5,uniform_gap4,1
residual::bike-packing:00002:00000:00006,bike-packing,2,0,6,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00002:00000:00008,bike-packing,2,0,8,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00002:00000:00016,bike-packing,2,0,16,16,0.125,uniform_gap16,1
residual::bike-packing:00003:00000:00004,bike-packing,3,0,4,4,0.75,uniform_gap4,1
residual::bike-packing:00003:00000:00006,bike-packing,3,0,6,6,0.5,uniform_gap6,1
residual::bike-packing:00003:00000:00008,bike-packing,3,0,8,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00003:00000:00016,bike-packing,3,0,16,16,0.1875,uniform_gap16,1
residual::bike-packing:00003:00002:00004,bike-packing,3,2,4,2,0.5,uniform_gap2,1
residual::bike-packing:00004:00000:00006,bike-packing,4,0,6,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00004:00000:00008,bike-packing,4,0,8,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00004:00000:00016,bike-packing,4,0,16,16,0.25,uniform_gap16,1
residual::bike-packing:00005:00000:00006,bike-packing,5,0,6,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00005:00000:00008,bike-packing,5,0,8,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00005:00000:00016,bike-packing,5,0,16,16,0.3125,uniform_gap16,1
residual::bike-packing:00005:00004:00006,bike-packing,5,4,6,2,0.5,uniform_gap2,1
residual::bike-packing:00005:00004:00008,bike-packing,5,4,8,4,0.25,uniform_gap4,1
residual::bike-packing:00006:00000:00008,bike-packing,6,0,8,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00006:00000:00016,bike-packing,6,0,16,16,0.375,uniform_gap16,1
residual::bike-packing:00006:00004:00008,bike-packing,6,4,8,4,0.5,uniform_gap4,1
residual::bike-packing:00007:00000:00008,bike-packing,7,0,8,8,0.875,stage165_adaptive uniform_gap8,2
residual::bike-packing:00007:00000:00016,bike-packing,7,0,16,16,0.4375,uniform_gap16,1
residual::bike-packing:00007:00004:00008,bike-packing,7,4,8,4,0.75,uniform_gap4,1
residual::bike-packing:00007:00006:00008,bike-packing,7,6,8,2,0.5,uniform_gap2,1
residual::bike-packing:00007:00006:00012,bike-packing,7,6,12,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00008:00000:00016,bike-packing,8,0,16,16,0.5,uniform_gap16,1
residual::bike-packing:00008:00006:00012,bike-packing,8,6,12,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00009:00000:00016,bike-packing,9,0,16,16,0.5625,uniform_gap16,1
residual::bike-packing:00009:00006:00012,bike-packing,9,6,12,6,0.5,uniform_gap6,1
residual::bike-packing:00009:00008:00010,bike-packing,9,8,10,2,0.5,uniform_gap2,1
residual::bike-packing:00009:00008:00012,bike-packing,9,8,12,4,0.25,uniform_gap4,1
residual::bike-packing:00009:00008:00016,bike-packing,9,8,16,8,0.125,stage165_adaptive uniform_gap8,2
residual::bike-packing:00010:00000:00016,bike-packing,10,0,16,16,0.625,uniform_gap16,1
residual::bike-packing:00010:00006:00012,bike-packing,10,6,12,6,0.6666666666666666,uniform_gap6,1
residual::bike-packing:00010:00008:00012,bike-packing,10,8,12,4,0.5,uniform_gap4,1
residual::bike-packing:00010:00008:00016,bike-packing,10,8,16,8,0.25,stage165_adaptive uniform_gap8,2
residual::bike-packing:00011:00000:00016,bike-packing,11,0,16,16,0.6875,uniform_gap16,1
residual::bike-packing:00011:00006:00012,bike-packing,11,6,12,6,0.8333333333333334,uniform_gap6,1
residual::bike-packing:00011:00008:00012,bike-packing,11,8,12,4,0.75,uniform_gap4,1
residual::bike-packing:00011:00008:00016,bike-packing,11,8,16,8,0.375,stage165_adaptive uniform_gap8,2
residual::bike-packing:00011:00010:00012,bike-packing,11,10,12,2,0.5,uniform_gap2,1
residual::bike-packing:00012:00000:00016,bike-packing,12,0,16,16,0.75,uniform_gap16,1
residual::bike-packing:00012:00008:00016,bike-packing,12,8,16,8,0.5,stage165_adaptive uniform_gap8,2
residual::bike-packing:00013:00000:00016,bike-packing,13,0,16,16,0.8125,uniform_gap16,1
residual::bike-packing:00013:00008:00016,bike-packing,13,8,16,8,0.625,stage165_adaptive uniform_gap8,2
residual::bike-packing:00013:00012:00014,bike-packing,13,12,14,2,0.5,uniform_gap2,1
residual::bike-packing:00013:00012:00016,bike-packing,13,12,16,4,0.25,uniform_gap4,1
residual::bike-packing:00013:00012:00018,bike-packing,13,12,18,6,0.16666666666666666,uniform_gap6,1
residual::bike-packing:00014:00000:00016,bike-packing,14,0,16,16,0.875,uniform_gap16,1
residual::bike-packing:00014:00008:00016,bike-packing,14,8,16,8,0.75,stage165_adaptive uniform_gap8,2
residual::bike-packing:00014:00012:00016,bike-packing,14,12,16,4,0.5,uniform_gap4,1
residual::bike-packing:00014:00012:00018,bike-packing,14,12,18,6,0.3333333333333333,uniform_gap6,1
residual::bike-packing:00015:00000:00016,bike-packing,15,0,16,16,0.9375,uniform_gap16,1
residual::bike-packing:00015:00008:00016,bike-packing,15,8,16,8,0.875,stage165_adaptive uniform_gap8,2
