schedule,sequence,frame_index,final_type,measurement_key,psnr,ssim,ms_ssim,lpips,payload_bytes
uniform_gap2,bike-packing,0,q12_keyframe,keyframe::bike-packing:00000,26.079283846778374,0.8400600552558899,0.9858327507972717,0.18571901321411133,0
uniform_gap2,bike-packing,1,stage158_residual_recovery,residual::bike-packing:00001:00000:00002,26.192307194825467,0.841898500919342,0.984575092792511,0.1916462481021881,144931
uniform_gap2,bike-packing,2,q12_keyframe,keyframe::bike-packing:00002,26.253660760444593,0.8476635813713074,0.9862802028656006,0.18079394102096558,0
uniform_gap2,bike-packing,3,stage158_residual_recovery,residual::bike-packing:00003:00002:00004,26.11613665448968,0.8386049270629883,0.9830875992774963,0.1983473002910614,147378
uniform_gap2,bike-packing,4,q12_keyframe,keyframe::bike-packing:00004,26.419333409621636,0.8502992987632751,0.986646294593811,0.1807929277420044,0
uniform_gap2,bike-packing,5,stage158_residual_recovery,residual::bike-packing:00005:00004:00006,26.290428705365656,0.8255360722541809,0.9815595746040344,0.21260161697864532,142911
uniform_gap2,bike-packing,6,q12_keyframe,keyframe::bike-packing:00006,26.683049248231292,0.850507915019989,0.9864611029624939,0.1816236674785614,0
uniform_gap2,bike-packing,7,stage158_residual_recovery,residual::bike-packing:00007:00006:00008,26.240066919609237,0.8228158950805664,0.9812828898429871,0.22011026740074158,138882
uniform_gap2,bike-packing,8,q12_keyframe,keyframe::bike-packing:00008,26.682567321615608,0.8535167574882507,0.9868981242179871,0.18134839832782745,0
uniform_gap2,bike-packing,9,stage158_residual_recovery,residual::bike-packing:00009:00008:00010,26.25635534762135,0.8298130631446838,0.9822349548339844,0.20314760506153107,159709
uniform_gap2,bike-packing,10,q12_keyframe,keyframe::bike-packing:00010,26.64035650914893,0.854788064956665,0.9870686531066895,0.17449705302715302,0
uniform_gap2,bike-packing,11,stage158_residual_recovery,residual::bike-packing:00011:00010:00012,26.107465046121334,0.8327586054801941,0.982528030872345,0.2035403996706009,170920
uniform_gap2,bike-packing,12,q12_keyframe,keyframe::bike-packing:00012,26.370589071153965,0.851966917514801,0.9868340492248535,0.17273931205272675,0
uniform_gap2,bike-packing,13,stage158_residual_recovery,residual::bike-packing:00013:00012:00014,26.09442665598028,0.8245612978935242,0.9815497994422913,0.20571783185005188,159801
uniform_gap2,bike-packing,14,q12_keyframe,keyframe::bike-packing:00014,26.893108470896436,0.8558729290962219,0.9871460795402527,0.17654360830783844,0
uniform_gap2,bike-packing,15,stage158_residual_recovery,residual::bike-packing:00015:00014:00016,26.514512580333967,0.8158062100410461,0.9801185727119446,0.22025980055332184,152493
uniform_gap2,bike-packing,16,q12_keyframe,keyframe::bike-packing:00016,27.405523730322216,0.8591346740722656,0.987363874912262,0.17478793859481812,0
uniform_gap2,bike-packing,17,stage158_residual_recovery,residual::bike-packing:00017:00016:00018,26.701401254043283,0.8289160132408142,0.9815418720245361,0.217492014169693,144485
uniform_gap2,bike-packing,18,q12_keyframe,keyframe::bike-packing:00018,27.201092238712796,0.8592743277549744,0.9873775839805603,0.18062852323055267,0
uniform_gap2,bike-packing,19,stage158_residual_recovery,residual::bike-packing:00019:00018:00020,26.168441443605097,0.8129675388336182,0.9796353578567505,0.22249658405780792,163820
uniform_gap2,bike-packing,20,q12_keyframe,keyframe::bike-packing:00020,26.567272080467824,0.8608012795448303,0.9876415729522705,0.17014195024967194,0
uniform_gap2,bike-packing,21,stage158_residual_recovery,residual::bike-packing:00021:00020:00022,25.597244875977914,0.8242924213409424,0.9811943173408508,0.21129517257213593,163167
uniform_gap2,bike-packing,22,q12_keyframe,keyframe::bike-packing:00022,25.410683945209005,0.8464797139167786,0.9862368702888489,0.17287872731685638,0
uniform_gap2,bike-packing,23,stage158_residual_recovery,residual::bike-packing:00023:00022:00024,25.249944694307,0.8352200388908386,0.9831675887107849,0.19302310049533844,156154
uniform_gap2,bike-packing,24,q12_keyframe,keyframe::bike-packing:00024,25.50536865204191,0.8474324345588684,0.9862033128738403,0.17434729635715485,0
uniform_gap2,bike-packing,25,stage158_residual_recovery,residual::bike-packing:00025:00024:00026,25.24042201011779,0.8307929039001465,0.9825734496116638,0.19738821685314178,150522
uniform_gap2,bike-packing,26,q12_keyframe,keyframe::bike-packing:00026,25.22533159798886,0.8445329666137695,0.9858877062797546,0.17601166665554047,0
uniform_gap2,bike-packing,27,stage158_residual_recovery,residual::bike-packing:00027:00026:00028,25.13916650126415,0.8391619324684143,0.9838709235191345,0.18744316697120667,146860
uniform_gap2,bike-packing,28,q12_keyframe,keyframe::bike-packing:00028,25.04689704461814,0.8408592343330383,0.9856444597244263,0.17758719623088837,0
uniform_gap2,bike-packing,29,stage158_residual_recovery,residual::bike-packing:00029:00028:00030,25.058328949837648,0.8399724364280701,0.9843878149986267,0.18309253454208374,144944
uniform_gap2,bike-packing,30,q12_keyframe,keyframe::bike-packing:00030,25.04453550839765,0.8416983485221863,0.985533595085144,0.1816052794456482,0
uniform_gap2,bike-packing,31,stage158_residual_recovery,residual::bike-packing:00031:00030:00032,25.1185631512994,0.8401498794555664,0.9836564064025879,0.19212807714939117,162031
